"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg'"
6,0.426137007217904
6.05,0.555672043451381
6.1,0.684121572755048
6.15,0.81113282907199
6.2,0.936409406925766
6.25,1.05970493005952
6.3,1.18081751074932
6.35,1.29958494028661
6.4,1.41588086167699
6.45,1.52961063633995
6.5,1.64070844666545
6.55,1.74913412818092
6.6,1.85487058950826
6.65,1.95792120582511
6.7,2.05830767099914
6.75,2.15606776632501
6.8,2.25125350655598
6.85,2.34392914231074
6.9,2.43416958199811
6.95,2.52205880612444
7,2.60768811707438
7.05,2.69115519014481
7.1,2.77256225532446
7.15,2.85201534925625
7.2,2.92962288817722
7.25,3.00549484353998
7.3,3.07974169035901
7.35,3.15247360284464
7.4,3.22379974349877
7.45,3.29382754706643
7.5,3.36266193969756
7.55,3.43040510859593
7.6,3.49715582070519
7.65,3.56300906413058
7.7,3.62805573436837
7.75,3.69238234551995
7.8,3.75607070933461
7.85,3.81919792589448
7.9,3.88183603350706
7.95,3.94405213688129
8,4.00590813346349
8.05,4.06746081793207
8.1,4.12876188085774
8.15,4.18985794509864
8.2,4.25079047305107
8.25,4.31159615769926
8.3,4.37230669078452
8.35,4.43294909814537
8.4,4.49354586996377
8.45,4.55411496760112
8.5,4.61467010412853
8.55,4.67522089152829
8.6,4.73577297053665
8.65,4.79632834917351
8.7,4.85688531819419
8.75,4.91743892543984
8.8,4.977980969124
8.85,5.03850036259172
8.9,5.09898310709212
8.95,5.15941268526694
9,5.21977010201958
9.05,5.28003407668064
9.1,5.34018121828338
9.15,5.40018610201876
9.2,5.46002151554775
9.25,5.51965831338902
9.3,5.57906581340924
9.35,5.63821146397438
9.4,5.69706116602799
9.45,5.75557922190644
9.5,5.81372807677057
9.55,5.87146861599032
9.6,5.92875983677339
9.65,5.98555893372403
9.7,6.04182120990881
9.75,6.09750019137203
9.8,6.15254746035939
9.85,6.20691305728512
9.9,6.26054567043022
9.95,6.31339303254015
10,6.36540272479784
10.05,6.41652290677988
10.1,6.46670357925661
10.15,6.51589781463089
10.2,6.56406356488429
10.25,6.61116522319742
10.3,6.65717555193197
10.35,6.7020774771834
10.4,6.74586554924962
10.45,6.78854724290931
10.5,6.83014357725325
10.55,6.87068898003812
10.6,6.91023059297599
10.65,6.94882678802377
10.7,6.98654480111817
10.75,7.02345781391817
10.8,7.0596421608207
10.85,7.09517346103414
10.9,7.13012374767826
10.95,7.16455841097893
11,7.19853347302646
11.05,7.23209384387649
11.1,7.26527173094024
11.15,7.29808571235395
11.2,7.33054050819232
11.25,7.36262687731437
11.3,7.39432213090571
11.35,7.42559062197202
11.4,7.45638468954706
11.45,7.48664551065702
11.5,7.51630411288838
11.55,7.5452825281959
11.6,7.57349478906245
11.65,7.60084816554249
11.7,7.62724441628334
11.75,7.6525809786521
11.8,7.67675254988656
11.85,7.69965217173824
11.9,7.72117317708364
11.95,7.74121038656012
12,7.75966190766893
12.05,7.77643058522247
12.1,7.79142549890935
12.15,7.80456327057108
12.2,7.8157691762209
12.25,7.82497806117279
12.3,7.83213480842619
12.35,7.83719468595363
12.4,7.84012335374825
12.45,7.8408965713318
12.5,7.83949974391732
12.55,7.83592762762541
12.6,7.83018395296042
12.65,7.82228130430571
12.7,7.81224112931556
12.75,7.80009423531749
12.8,7.78588123611758
12.85,7.76965327705318
12.9,7.75147263665436
12.95,7.73141340856085
13,7.70956172372806
13.05,7.68601573386549
13.1,7.66088533553276
13.15,7.63429099313822
13.2,7.60636268085863
13.25,7.57723803386537
13.3,7.54706024533199
13.35,7.51597586065187
13.4,7.48413238540239
13.45,7.45167583421871
13.5,7.41874849980282
13.55,7.38548699739679
13.6,7.35202056150087
13.65,7.31846991438997
13.7,7.28494639549825
13.75,7.25155183530249
13.8,7.21837851895278
13.85,7.18551007936087
13.9,7.15302234001763
13.95,7.12098443656221
14,7.08946037044995
14.05,7.05851029147343
14.1,7.02819201875876
