"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg'"
6,-5.13772681882046
6.05,-5.00157165466509
6.1,-4.85913780380586
6.15,-4.71132973689838
6.2,-4.55896639288403
6.25,-4.40279089451378
6.3,-4.2434780893563
6.35,-4.08164143585768
6.4,-3.9178382563193
6.45,-3.75257423413283
6.5,-3.58630744434543
6.55,-3.41945161981692
6.6,-3.25237942697209
6.65,-3.08542458555599
6.7,-2.91888469488197
6.75,-2.75302295587124
6.8,-2.58807047355056
6.85,-2.42422818299119
6.9,-2.26166823678415
6.95,-2.10053600109027
7,-1.94095173636127
7.05,-1.78301208783868
7.1,-1.62679168086896
7.15,-1.47234469933245
7.2,-1.31970660743053
7.25,-1.16889541222787
7.3,-1.01991327017304
7.35,-0.872748010573887
7.4,-0.72737442478862
7.45,-0.583756004611743
7.5,-0.441845871141111
7.55,-0.301588500475054
7.6,-0.162920798527587
7.65,-0.0257734844507798
7.7,0.109927999408569
7.75,0.244261971854502
7.8,0.377309709044263
7.85,0.509154297909714
7.9,0.639879843373715
7.95,0.769570384182119
8,0.898309136499779
8.05,1.02617771590247
8.1,1.15325544493783
8.15,1.27961859447544
8.2,1.40533987986279
8.25,1.53048774582304
8.3,1.65512597389262
8.35,1.7793132643874
8.4,1.90310252260741
8.45,2.02654094655016
8.5,2.14966906727838
8.55,2.27252120536752
8.6,2.3951246367907
8.65,2.51749962451526
8.7,2.63965929984483
8.75,2.76160955022495
8.8,2.8833489382361
8.85,3.00486889220275
8.9,3.12615356783098
8.95,3.24718014108058
9,3.36791910764303
9.05,3.48833448445912
9.1,3.60838419069853
9.15,3.72802074526683
9.2,3.847191512594
9.25,3.96583979664095
9.3,4.08390503381542
9.35,4.20132415694033
9.4,4.31803218621882
9.45,4.43396327854656
9.5,4.54905166372842
9.55,4.66323285459113
9.6,4.77644441366262
9.65,4.88862710308144
9.7,4.99972569999798
9.75,5.10968975222982
9.8,5.21847427746487
9.85,5.32604006583732
9.9,5.43235372188829
9.95,5.53738745111122
10,5.64111842069921
10.05,5.74352751557662
10.1,5.84459770214453
10.15,5.94431175623208
10.2,6.04264917516751
10.25,6.13958263871942
10.3,6.23507372961584
10.35,6.32906833516523
10.4,6.42149207349437
10.45,6.51224680439274
10.5,6.60120815558059
10.55,6.68822469312351
10.6,6.77311690145368
10.65,6.85567406840703
10.7,6.93564807097659
10.75,7.01274527436053
10.8,7.08662120144954
10.85,7.15688041540147
10.9,7.2230827291827
10.95,7.28475587392574
11,7.341413350931
11.05,7.3925764577421
11.1,7.43779923090408
11.15,7.47669272010992
11.2,7.50894452070529
11.25,7.53432677980761
11.3,7.55268770499436
11.35,7.56392367144137
11.4,7.56793526237424
11.45,7.56457807415034
11.5,7.55362323828932
11.55,7.53474225860947
11.6,7.50752304792844
11.65,7.47151400624494
11.7,7.42628418899917
11.75,7.37148402240417
11.8,7.30689481087528
11.85,7.23245887324976
11.9,7.14829102157336
11.95,7.0546723874304
12,6.95203294568845
12.05,6.84092656299929
12.1,6.72200339949671
12.15,6.59598189739696
12.2,6.46362274671487
12.25,6.32570594001654
12.3,6.18301110577564
12.35,6.0363019955952
12.4,5.88631372488395
12.45,5.73374414297767
12.5,5.57924743762583
12.55,5.42343063234154
12.6,5.26685184087378
12.65,5.11002036827835
12.7,4.95339779765785
12.75,4.79740014951993
12.8,4.64240019882176
12.85,4.48873080656291
12.9,4.33668727312757
12.95,4.18653051172262
13,4.03848951783823
13.05,3.89276333767331
13.1,3.74952342353321
13.15,3.6089146120866
13.2,3.47105677264908
13.25,3.33604536472324
13.3,3.20395216447363
13.35,3.07482580707046
13.4,2.94869217494227
13.45,2.8255547977468
13.5,2.70539558661102
13.55,2.58817529478749
13.6,2.4738349604536
13.65,2.36229668887054
13.7,2.25346589698929
13.75,2.14723254234006
13.8,2.04347395619802
13.85,1.94205693431421
13.9,1.84284064716279
13.95,1.7456790988797
14,1.6504242327455
14.05,1.5569283136105
14.1,1.46504688080286
14.15,1.37464081798068
14.2,1.28557858916071
14.25,1.19773821127507
14.3,1.11100868538888
14.35,1.02529110982226
14.4,0.940499773197978
14.45,0.856562797865409
14.5,0.773422296063456
14.55,0.691034358644293
14.6,0.609369091002105
14.65,0.528410692674018
14.7,0.448155836219508
14.75,0.368613871891683
14.8,0.289805765250692
14.85,0.21176291209478
14.9,0.134525933990726
14.95,0.0581432856281406
15,-0.0173301703907493
15.05,-0.0918359241048215
15.1,-0.165312808193381
15.15,-0.23770060466761
15.2,-0.308942857926219
15.25,-0.378989830419496
15.3,-0.447802507402148
15.35,-0.515356909727428
15.4,-0.58164762473177
15.45,-0.646693454846303
15.5,-0.710540776342115
15.55,-0.773268318031269
15.6,-0.834990491405537
15.65,-0.895860014268446
15.7,-0.956069890810194
15.75,-1.01585272296418
15.8,-1.07547903187121
15.85,-1.13525348746748
15.9,-1.19550828757024
15.95,-1.25659537115168
16,-1.31887622352373
16.05,-1.38271057629343
16.1,-1.44844442140868
16.15,-1.5163979095577
16.2,-1.58685441194998
16.25,-1.66005060238239
16.3,-1.73616982462845
16.35,-1.81533726557726
16.4,-1.89761941299622
16.45,-1.98302491118402
16.5,-2.07150953129657
16.55,-2.1629829676259
16.6,-2.25731674862801
16.65,-2.35435315948256
16.7,-2.45391479741478
16.75,-2.55581227439163
16.8,-2.65985215760671
16.85,-2.76584237711033
16.9,-2.87359660728067
16.95,-2.98293620646868
17,-3.09369084484405
17.05,-3.20569798504742
17.1,-3.31879908377301
17.15,-3.43283733883097
17.2,-3.54765147588242
17.25,-3.663071889967
17.3,-3.77891330338085
17.35,-3.89496991214822
17.4,-4.01100902206108
17.45,-4.12676553408818
17.5,-4.24193750669903
17.55,-4.35618356731374
17.6,-4.46912060715826
17.65,-4.58032607857326
17.7,-4.68934296030833
17.75,-4.79568884350155
17.8,-4.89887033520083
17.85,-4.99840325877749
17.9,-5.09384057560206
17.95,-5.18480381210164
18,-5.27102138912199
