"Freq [GHz]","dB(St11) []"
6,-0.349473759215417
6.05,-0.356264300634152
6.1,-0.36306016418455
6.15,-0.369864174746971
6.2,-0.376679417192073
6.25,-0.383509231216623
6.3,-0.390357206339859
6.35,-0.397227177102015
6.4,-0.404123218504631
6.45,-0.411049641730416
6.5,-0.418010990178849
6.55,-0.425012035852387
6.6,-0.432057776126835
6.65,-0.439153430938461
6.7,-0.446304440419785
6.75,-0.453516463015351
6.8,-0.460795374108516
6.85,-0.46814726519033
6.9,-0.475578443601684
6.95,-0.4830954328805
7,-0.490704973746315
7.05,-0.498414025755781
7.1,-0.506229769663752
7.15,-0.514159610526237
7.2,-0.522211181583387
7.25,-0.530392348962786
7.3,-0.538711217245829
7.35,-0.547176135942743
7.4,-0.555795706924996
7.45,-0.564578792867343
7.5,-0.573534526755608
7.55,-0.582672322520658
7.6,-0.592001886863716
7.65,-0.601533232343387
7.7,-0.61127669180041
7.75,-0.621242934202389
7.8,-0.631442981997556
7.85,-0.641888230073869
7.9,-0.65259046642807
7.95,-0.663561894657749
8,-0.67481515839929
8.05,-0.686363367844758
8.1,-0.69822012848224
8.15,-0.710399572216269
8.2,-0.722916391038478
8.25,-0.73578587343312
8.3,-0.749023943717961
8.35,-0.762647204538221
8.4,-0.776672982750218
8.45,-0.791119378951519
8.5,-0.806005320937104
8.55,-0.821350621384904
8.6,-0.837176040100963
8.65,-0.853503351183025
8.7,-0.870355415493043
8.75,-0.887756258863359
8.8,-0.905731156498712
8.85,-0.924306724077202
8.9,-0.943511016097766
8.95,-0.963373632070452
9,-0.983925831198666
9.05,-1.00520065626052
9.1,-1.02723306745938
9.15,-1.05006008708238
9.2,-1.0737209558809
9.25,-1.09825730216812
9.3,-1.12371332471802
9.35,-1.15013599064682
9.4,-1.17757524956286
9.45,-1.20608426538539
9.5,-1.23571966735683
9.55,-1.26654182190756
9.6,-1.29861512717811
9.65,-1.3320083321617
9.7,-1.36679488260007
9.75,-1.4030532959499
9.8,-1.44086756793474
9.85,-1.48032761341041
9.9,-1.52152974449951
9.95,-1.56457718919493
10,-1.60958065389211
10.05,-1.65665893358607
10.1,-1.70593957376274
10.15,-1.75755958832264
10.2,-1.81166623820082
10.25,-1.868417875687
10.3,-1.92798485980507
10.35,-1.9905505484788
10.4,-2.05631237359103
10.45,-2.12548300543326
10.5,-2.19829161344143
10.55,-2.27498523051871
10.6,-2.35583022865736
10.65,-2.44111391398585
10.7,-2.53114624978689
10.75,-2.6262617164544
10.8,-2.72682131778689
10.85,-2.83321474345125
10.9,-2.9458626978994
10.95,-3.06521940648052
11,-3.19177530996033
11.05,-3.32605995912404
11.1,-3.46864512156282
11.15,-3.62014811305201
11.2,-3.78123536597677
11.25,-3.9526262467821
11.3,-4.13509713295781
11.35,-4.32948575682578
11.4,-4.53669581706464
11.45,-4.7577018473334
11.5,-4.99355431104244
11.55,-5.24538485663703
11.6,-5.51441160967226
11.65,-5.80194428201911
11.7,-6.10938872163674
11.75,-6.43825027147762
11.8,-6.79013489389475
11.85,-7.16674635193574
11.9,-7.56987666735067
11.95,-8.001385349258
12,-8.46316010952759
12.05,-8.95704731933529
12.1,-9.48473333517926
12.15,-10.0475465791354
12.2,-10.6461329544241
12.25,-11.279931840896
12.3,-11.9463465388814
12.35,-12.6394697127057
12.4,-13.3482229123626
12.45,-14.0538865974396
12.5,-14.7274133609714
12.55,-15.3278606165045
12.6,-15.8046321265569
12.65,-16.1065843680328
12.7,-16.197646336094
12.75,-16.0713749422689
12.8,-15.7537626561893
12.85,-15.2919578865583
12.9,-14.7377879991752
12.95,-14.135885361124
13,-13.5192169187235
13.05,-12.9096369336232
13.1,-12.320390830048
13.15,-11.7587498002172
13.2,-11.2281070877281
13.25,-10.7294541881423
13.3,-10.2623559310571
13.35,-9.8255712125257
13.4,-9.41743879382926
13.45,-9.03611252426599
13.5,-8.67970183656814
13.55,-8.34635330592524
13.6,-8.03429583539973
13.65,-7.74186357829872
13.7,-7.46750538983818
13.75,-7.20978627631285
13.8,-6.96738423620914
13.85,-6.73908459328028
13.9,-6.52377311246299
13.95,-6.3204286830383
14,-6.12811603629237
14.05,-5.9459787666253
14.1,-5.7732328015711
14.15,-5.60916038992508
14.2,-5.4531046307245
14.25,-5.30446453817554
14.3,-5.16269062175233
14.35,-5.02728095213498
14.4,-4.89777767952767
14.45,-4.77376396935692
14.5,-4.65486132019707
14.55,-4.54072722922924
14.6,-4.4310531711084
14.65,-4.32556285646249
14.7,-4.22401073617368
14.75,-4.12618071697151
14.8,-4.03188505264875
14.85,-3.94096337339668
14.9,-3.85328181341239
14.95,-3.76873219418581
15,-3.68723121792641
15.05,-3.60871962272142
15.1,-3.53316124859273
15.15,-3.46054196208964
15.2,-3.39086838694834
15.25,-3.32416639024904
15.3,-3.26047927801087
15.35,-3.19986566184803
15.4,-3.14239696961914
15.45,-3.08815458818748
15.5,-3.03722664542208
15.55,-2.98970446096606
15.6,-2.94567872017117
15.65,-2.90523545154189
15.7,-2.86845191318351
15.75,-2.83539251588378
15.8,-2.80610492719618
15.85,-2.78061650995202
15.9,-2.75893124814013
15.95,-2.74102730191
16,-2.72685531140785
16.05,-2.7163375372048
16.1,-2.70936788530553
16.15,-2.70581282016857
16.2,-2.70551312348741
16.25,-2.70828641352371
16.3,-2.71393030311915
16.35,-2.72222604699332
16.4,-2.73294251238384
16.45,-2.74584030213623
16.5,-2.76067586546566
16.55,-2.77720544725957
16.6,-2.79518874972548
16.65,-2.81439220780072
16.7,-2.8345918093827
16.75,-2.85557542070893
16.8,-2.87714460416104
16.85,-2.89911593898452
16.9,-2.92132187407799
16.95,-2.94361115581069
17,-2.96584888290532
17.05,-2.98791624522532
17.1,-3.00971000448081
17.15,-3.03114177316133
17.2,-3.05213714417244
17.25,-3.07263471839943
17.3,-3.09258507135938
17.35,-3.11194969373233
17.4,-3.13069993427165
17.45,-3.14881596765958
17.5,-3.16628580447928
17.55,-3.18310435572172
17.6,-3.19927256017605
17.65,-3.21479657965855
17.7,-3.22968706428163
17.75,-3.24395848779267
17.8,-3.25762855135344
17.85,-3.27071765291358
17.9,-3.28324841848297
17.95,-3.29524529106358
18,-3.30673417269799
