"Freq [GHz]","dB(St11) []"
0.45,-0.1711340093059
0.45225,-0.174796159195988
0.4545,-0.178541735470702
0.45675,-0.1823728902053
0.459,-0.186291838441772
0.46125,-0.190300860241478
0.4635,-0.194402302810937
0.46575,-0.198598582703562
0.468,-0.202892188100292
0.47025,-0.207285681172021
0.4725,-0.211781700527077
0.47475,-0.216382963746908
0.477,-0.22109227001341
0.47925,-0.22591250283139
0.4815,-0.230846632849823
0.48375,-0.235897720785706
0.486,-0.241068920454413
0.48825,-0.246363481910753
0.4905,-0.25178475470485
0.49275,-0.257336191257395
0.495,-0.263021350358808
0.49725,-0.268843900797115
0.4995,-0.274807625119468
0.50175,-0.280916423532528
0.504,-0.287174317947015
0.50625,-0.293585456171988
0.5085,-0.300154116264686
0.51075,-0.306884711041865
0.513,-0.313781792758882
0.51525,-0.320850057963
0.5175,-0.328094352527591
0.51975,-0.335519676874225
0.522,-0.343131191389846
0.52425,-0.350934222046497
0.5265,-0.358934266231425
0.52875,-0.367136998795522
0.531,-0.37554827832851
0.53325,-0.384174153669501
0.5355,-0.393020870661814
0.53775,-0.40209487916144
0.54,-0.411402840308615
0.54225,-0.420951634072564
0.5445,-0.430748367079539
0.54675,-0.440800380734925
0.549,-0.451115259650281
0.55125,-0.461700840386707
0.5535,-0.472565220526265
0.55575,-0.483716768083518
0.558,-0.495164131269685
0.56025,-0.506916248622309
0.5625,-0.518982359513627
0.56475,-0.53137201505142
0.567,-0.544095089386307
0.56925,-0.557161791440028
0.5715,-0.570582677069556
0.57375,-0.584368661682358
0.576,-0.598531033318476
0.57825,-0.613081466215524
0.5805,-0.628032034873161
0.58275,-0.643395228633816
0.585,-0.659183966797097
0.58725,-0.675411614285426
0.5895,-0.692091997879029
0.59175,-0.709239423038584
0.594,-0.726868691334376
0.59625,-0.744995118500917
0.5985,-0.763634553136463
0.60075,-0.782803396067083
0.603,-0.802518620395185
0.60525,-0.822797792252646
0.6075,-0.843659092278961
0.60975,-0.865121337844883
0.612,-0.887204006042288
0.61425,-0.909927257461034
0.6165,-0.933311960773684
0.61875,-0.957379718148961
0.621,-0.982152891514829
0.62325,-1.00765462969204
0.6255,-1.03390889641882
0.62775,-1.06094049928734
0.63,-1.08877511961235
0.63225,-1.11743934325221
0.6345,-1.14696069240213
0.63675,-1.17736765837952
0.639,-1.20868973542042
0.64125,-1.24095745550646
0.6435,-1.27420242424062
0.64575,-1.3084573577904
0.648,-1.34375612091632
0.65025,-1.38013376610349
0.6525,-1.41762657381392
0.65475,-1.45627209387674
0.657,-1.49610918803404
0.65925,-1.53717807365952
0.6615,-1.57952036866806
0.66375,-1.62317913763446
0.666,-1.66819893914052
0.66825,-1.71462587437104
0.6705,-1.76250763698043
0.67275,-1.81189356425411
0.675,-1.86283468959111
0.67725,-1.91538379633774
0.6795,-1.96959547300603
0.68175,-2.0255261699152
0.684,-2.08323425730046
0.68625,-2.14278008493993
0.6885,-2.20422604335805
0.69075,-2.26763662667347
0.693,-2.33307849716942
0.69525,-2.40062055167659
0.6975,-2.47033398987218
0.69975,-2.54229238461367
0.702,-2.61657175444313
0.70425,-2.693250638416
0.7065,-2.77241017342927
0.70875,-2.85413417424556
0.711,-2.9385092164338
0.71325,-3.02562472247166
0.7155,-3.11557305128171
0.71775,-3.20844959149895
0.72,-3.30435285879494
0.72225,-3.40338459760798
0.7245,-3.50564988765302
0.72675,-3.61125725560351
0.729,-3.72031879235107
0.73125,-3.83295027625374
0.7335,-3.94927130277603
0.73575,-4.06940542090076
0.738,-4.19348027664704
0.74025,-4.32162776395456
0.7425,-4.45398418308246
0.74475,-4.59069040650982
0.747,-4.73189205210096
0.74925,-4.87773966299346
0.7515,-5.02838889325711
0.75375,-5.18400069783043
0.756,-5.34474152452876
0.75825,-5.51078350499008
0.7605,-5.68230464021947
0.76275,-5.85948897483705
0.765,-6.04252675212737
0.76725,-6.23161453940872
0.7695,-6.42695530992712
0.77175,-6.62875846322926
0.774,-6.83723976051625
0.77625,-7.05262114449151
0.7785,-7.27513040425421
0.78075,-7.50500063430126
0.783,-7.74246942196914
0.78525,-7.98777767876129
0.7875,-8.24116800680391
0.78975,-8.50288246067995
0.792,-8.77315952526308
0.79425,-9.05223007962011
0.7965,-9.34031205279439
0.79875,-9.63760339604143
0.801,-9.94427289416685
0.80325,-10.2604482121773
0.8055,-10.5862004191401
0.80775,-10.9215240473108
0.81,-11.2663115335911
0.81225,-11.620320662564
0.8145,-11.9831334107403
0.81675,-12.3541044305771
0.819,-12.732297401981
0.82125,-13.1164077737056
0.8235,-13.5046712633149
0.82575,-13.8947592432043
0.828,-14.283665288515
0.83025,-14.6675922281111
0.8325,-15.0418563938437
0.83475,-15.4008351800477
0.837,-15.7379939492878
0.83925,-16.0460349993027
0.8415,-16.3172084034624
0.84375,-16.5438044482936
0.846,-16.7188055380296
0.84825,-16.8366170660175
0.8505,-16.8937418141162
0.85275,-16.8892410050419
0.855,-16.8248600846059
0.85725,-16.7047841157475
0.8595,-16.5350904278413
0.86175,-16.323038575046
0.864,-16.0763529348778
0.86625,-15.8026175029809
0.8685,-15.5088433104246
0.87075,-15.2012144910427
0.873,-14.8849843692489
0.87525,-14.5644792714706
0.8775,-14.2431688409019
0.87975,-13.9237699570145
0.882,-13.6083614088191
0.88425,-13.2984952989599
0.8865,-12.9952977416712
0.88875,-12.6995557984271
0.891,-12.4117902289585
0.89325,-12.1323150470808
0.8955,-11.8612855021175
0.89775,-11.5987362789879
0.9,-11.3446116364096
0.90225,-11.0987890147345
0.9045,-10.8610974186578
0.90675,-10.631331655947
0.909,-10.4092633106841
0.91125,-10.1946491554391
0.9135,-9.98723756199605
0.91575,-9.78677335233967
0.918,-9.59300143696186
0.92025,-9.40566951233016
0.9225,-9.22453002998917
0.92475,-9.04934160312433
0.927,-8.87986997989191
0.92925,-8.71588868426926
0.9315,-8.55717940289259
0.93375,-8.40353217895904
0.936,-8.25474546070438
