"Freq [GHz]","dB(St11) []"
0.45,-0.0531027720330636
0.45225,-0.0541162783323958
0.4545,-0.055149397586304
0.45675,-0.0562025521115508
0.459,-0.0572761744636143
0.46125,-0.0583707077128726
0.4635,-0.0594866057290955
0.46575,-0.0606243334744372
0.468,-0.0617843673052533
0.47025,-0.0629671952830015
0.4725,-0.0641733174945694
0.47475,-0.0654032463822901
0.477,-0.0666575070839956
0.47925,-0.0679366377834588
0.4815,-0.0692411900715218
0.48375,-0.0705717293183249
0.486,-0.0719288350569452
0.48825,-0.0733131013789072
0.4905,-0.0747251373418834
0.49275,-0.0761655673900636
0.495,-0.0776350317875762
0.49725,-0.0791341870654325
0.4995,-0.0806637064824562
0.50175,-0.0822242805006378
0.504,-0.0838166172754647
0.50625,-0.0854414431617064
0.5085,-0.0870995032351752
0.51075,-0.0887915618310617
0.513,-0.090518403099359
0.51525,-0.0922808315780306
0.5175,-0.0940796727844749
0.51975,-0.0959157738259895
0.522,-0.0977900040298386
0.52425,-0.0997032555936594
0.5265,-0.101656444256894
0.52875,-0.103650509993997
0.531,-0.10568641773019
0.53325,-0.107765158080543
0.5355,-0.109887748113258
0.53775,-0.112055232137939
0.54,-0.114268682519826
0.54225,-0.116529200520846
0.5445,-0.118837917168498
0.54675,-0.121195994153533
0.549,-0.123604624757487
0.55125,-0.126065034811135
0.5535,-0.12857848368499
0.55575,-0.131146265313018
0.558,-0.133769709250727
0.56025,-0.136450181768958
0.5625,-0.139189086984623
0.56475,-0.141987868029753
0.567,-0.144848008260277
0.56925,-0.147771032505979
0.5715,-0.150758508363129
0.57375,-0.153812047531427
0.576,-0.156933307196791
0.57825,-0.160123991461805
0.5805,-0.163385852825492
0.58275,-0.166720693714323
0.585,-0.170130368066324
0.58725,-0.173616782970263
0.5895,-0.177181900362008
0.59175,-0.180827738780173
0.594,-0.184556375183261
0.59625,-0.18836994683064
0.5985,-0.192270653229752
0.60075,-0.196260758152034
0.603,-0.200342591720144
0.60525,-0.204518552569213
0.6075,-0.208791110084904
0.60975,-0.213162806721159
0.612,-0.217636260400741
0.61425,-0.222214167001609
0.6165,-0.226899302932497
0.61875,-0.231694527800992
0.621,-0.236602787177719
0.62325,-0.241627115460236
0.6255,-0.246770638840502
0.62775,-0.252036578379814
0.63,-0.257428253195367
0.63225,-0.262949083762694
0.6345,-0.268602595338396
0.63675,-0.27439242150781
0.639,-0.280322307862361
0.64125,-0.286396115811569
0.6435,-0.292617826534899
0.64575,-0.29899154507877
0.648,-0.305521504604284
0.65025,-0.312212070791496
0.6525,-0.319067746406128
0.65475,-0.326093176035009
0.657,-0.333293150996664
0.65925,-0.340672614433719
0.6615,-0.348236666594087
0.66375,-0.355990570308107
0.666,-0.363939756669095
0.66825,-0.372089830925024
0.6705,-0.380446578589362
0.67275,-0.389015971779334
0.675,-0.397804175790203
0.67725,-0.406817555914485
0.6795,-0.416062684515271
0.68175,-0.425546348363196
0.684,-0.43527555624691
0.68625,-0.445257546867224
0.6885,-0.455499797025468
0.69075,-0.466010030116941
0.693,-0.476796224940683
0.69525,-0.487866624837153
0.6975,-0.49922974716581
0.69975,-0.510894393134908
0.702,-0.522869657996224
0.70425,-0.535164941617842
0.7065,-0.54778995944848
0.70875,-0.560754753887207
0.711,-0.574069706072885
0.71325,-0.587745548107914
0.7155,-0.601793375731458
0.71775,-0.616224661457467
0.72,-0.631051268193466
0.72225,-0.646285463356238
0.7245,-0.661939933501084
0.72675,-0.678027799481588
0.729,-0.694562632157284
0.73125,-0.711558468666881
0.7335,-0.729029829285129
0.73575,-0.746991734881725
0.738,-0.765459725000854
0.74025,-0.784449876580487
0.7425,-0.803978823330579
0.74475,-0.824063775789762
0.747,-0.844722542080218
0.74925,-0.865973549380737
0.7515,-0.887835866138008
0.75375,-0.910329225036463
0.756,-0.933474046747013
0.75825,-0.957291464475134
0.7605,-0.981803349328758
0.76275,-1.00703233652655
0.765,-1.03300185246693
0.76725,-1.05973614267825
0.7695,-1.08726030067057
0.77175,-1.11560029770893
0.774,-1.14478301352843
0.77625,-1.17483626801062
0.7785,-1.20578885384106
0.78075,-1.2376705701673
0.783,-1.27051225727637
0.78525,-1.30434583231098
0.7875,-1.33920432604284
0.78975,-1.3751219207219
0.792,-1.41213398901992
0.79425,-1.4502771340868
0.7965,-1.48958923073821
0.79875,-1.53010946779327
0.801,-1.57187839158132
0.80325,-1.61493795063767
0.8055,-1.65933154160859
0.80775,-1.70510405638752
0.81,-1.75230193050553
0.81225,-1.80097319280115
0.8145,-1.85116751639714
0.81675,-1.90293627101463
0.819,-1.95633257665873
0.82125,-2.01141135871402
0.8235,-2.0682294044934
0.82575,-2.12684542128992
0.828,-2.18732009598819
0.83025,-2.24971615630003
0.8325,-2.31409843369854
0.83475,-2.38053392813511
0.837,-2.44909187463618
0.83925,-2.51984381188956
