"Freq [GHz]","dB(St11) []"
0.45,-0.0938825767855517
0.45225,-0.0956987733510972
0.4545,-0.0975507638615005
0.45675,-0.0994393337278411
0.459,-0.101365287688798
0.46125,-0.103329450335989
0.4635,-0.105332666654988
0.46575,-0.107375802582442
0.468,-0.109459745579889
0.47025,-0.11158540522473
0.4725,-0.113753713818966
0.47475,-0.115965627016251
0.477,-0.118222124467859
0.47925,-0.120524210488151
0.4815,-0.122872914740236
0.48375,-0.125269292942399
0.486,-0.127714427596035
0.48825,-0.130209428735768
0.4905,-0.132755434702473
0.49275,-0.135353612939935
0.495,-0.138005160815972
0.49725,-0.140711306468755
0.4995,-0.143473309679187
0.50175,-0.146292462770199
0.504,-0.149170091533837
0.50625,-0.152107556187044
0.5085,-0.155106252357107
0.51075,-0.158167612097718
0.513,-0.161293104936693
0.51525,-0.16448423895636
0.5175,-0.167742561907712
0.51975,-0.171069662359447
0.522,-0.174467170883035
0.52425,-0.177936761275042
0.5265,-0.181480151817867
0.52875,-0.185099106580263
0.531,-0.188795436758913
0.53325,-0.192571002062395
0.5355,-0.196427712139027
0.53775,-0.200367528049957
0.54,-0.204392463789084
0.54225,-0.208504587851289
0.5445,-0.212706024850664
0.54675,-0.216998957190333
0.549,-0.221385626785627
0.55125,-0.225868336842334
0.5535,-0.230449453691933
0.55575,-0.235131408685628
0.558,-0.239916700149175
0.56025,-0.244807895400508
0.5625,-0.249807632832265
0.56475,-0.254918624061322
0.567,-0.260143656147609
0.56925,-0.265485593884451
0.5715,-0.27094738216283
0.57375,-0.276532048411982
0.576,-0.282242705118863
0.57825,-0.288082552429075
0.5805,-0.294054880831904
0.58275,-0.300163073932268
0.585,-0.306410611312371
0.58725,-0.312801071486018
0.5895,-0.319338134948621
0.59175,-0.326025587325942
0.594,-0.332867322624842
0.59625,-0.339867346589284
0.5985,-0.347029780164975
0.60075,-0.354358863076162
0.603,-0.361858957518111
0.60525,-0.369534551969
0.6075,-0.377390265124993
0.60975,-0.385430849962335
0.612,-0.393661197930532
0.61425,-0.402086343280634
0.6165,-0.410711467532862
0.61875,-0.419541904087854
0.621,-0.428583142985956
0.62325,-0.437840835819044
0.6255,-0.44732080079953
0.62775,-0.457029027991226
0.63,-0.466971684706946
0.63225,-0.477155121077713
0.6345,-0.487585875798676
0.63675,-0.498270682056806
0.639,-0.509216473645612
0.64125,-0.520430391272226
0.6435,-0.531919789062237
0.64575,-0.543692241267813
0.648,-0.555755549184646
0.65025,-0.568117748283438
0.6525,-0.580787115561619
0.65475,-0.593772177121129
0.657,-0.607081715978107
0.65925,-0.620724780110442
0.6615,-0.634710690749063
0.66375,-0.649049050919055
0.666,-0.663749754236559
0.66825,-0.678822993967505
0.6705,-0.694279272354198
0.67275,-0.710129410215804
0.675,-0.726384556828701
0.67725,-0.74305620009266
0.6795,-0.760156176988774
0.68175,-0.777696684334927
0.684,-0.795690289844569
0.68625,-0.814149943494413
0.6885,-0.833088989206549
0.69075,-0.85252117685033
0.693,-0.872460674569231
0.69525,-0.892922081437604
0.6975,-0.913920440452197
0.69975,-0.935471251862887
0.702,-0.957590486846939
0.70425,-0.980294601530774
0.7065,-1.00360055136294
0.70875,-1.02752580584157
0.711,-1.05208836359939
0.71325,-1.07730676784885
0.7155,-1.1032001221896
0.71775,-1.12978810678001
0.72,-1.15709099487433
0.72225,-1.18512966972605
0.7245,-1.21392564185823
0.72675,-1.24350106670051
0.729,-1.27387876259247
0.73125,-1.30508222915226
0.7335,-1.33713566600909
0.73575,-1.37006399189767
0.738,-1.4038928641123
0.74025,-1.43864869831788
0.7425,-1.47435868871474
0.74475,-1.51105082855398
0.747,-1.54875393099968
0.74925,-1.5874976503342
0.7515,-1.62731250350281
0.75375,-1.66822989199384
0.756,-1.71028212405085
0.75825,-1.75350243721344
0.7605,-1.7979250211841
0.76275,-1.84358504101905
0.765,-1.89051866064179
0.76725,-1.93876306667959
0.7695,-1.98835649262418
0.77175,-2.03933824331985
0.774,-2.09174871978417
0.77625,-2.14562944436865
0.7785,-2.20102308626977
0.78075,-2.25797348740355
0.783,-2.31652568866053
0.78525,-2.37672595656182
0.7875,-2.43862181034144
0.78975,-2.50226204948457
0.792,-2.56769678175693
0.79425,-2.63497745176572
0.7965,-2.70415687009894
0.79875,-2.77528924309573
0.801,-2.84843020330735
0.80325,-2.92363684071491
0.8055,-3.00096773477682
0.80775,-3.08048298738547
0.81,-3.16224425681931
0.81225,-3.24631479278167
0.8145,-3.33275947262336
0.81675,-3.4216448388488
