"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.20266607844643
2,3.17279394269716
4,3.14174467938317
6,3.11008311733845
8,3.07837498573973
10,3.04716299434558
12,3.01694090956873
14,2.98812683761566
16,2.96103714375826
18,2.93586255415265
20,2.91264796815698
22,2.8912773351327
24,2.87146462346925
26,2.85275146012789
28,2.83451149827292
30,2.81596104444796
32,2.79617501248461
34,2.77410692433662
36,2.74861148196077
38,2.71846819660863
40,2.68240466528352
42,2.63911829353181
44,2.58729553520785
46,2.52562800957394
48,2.45282512737404
50,2.36762308466966
52,2.26879025250134
54,2.15512909864313
56,2.02547482950232
58,1.87869094492642
60,1.71366186744007
62,1.52928275082821
64,1.32444649945993
66,1.098027944743
68,0.848865030710714
70,0.575736755858497
72,0.277337499081842
74,-0.0477527820428086
76,-0.40110315935659
78,-0.784472028022174
80,-1.19985420279007
82,-1.64953619952666
84,-2.1361613502814
86,-2.66280658346575
88,-3.2330726093382
90,-3.85118844860716
92,-4.52212875583196
94,-5.25173605244313
96,-6.04682493174737
98,-6.91521047782633
100,-7.86552315148715
102,-8.90648865123043
104,-10.0449313164399
106,-11.2808293119582
108,-12.5959071971195
110,-13.929898260427
112,-15.1422673389075
114,-15.9911994552246
116,-16.2286893713746
118,-15.8157232872189
120,-14.9650694535062
122,-13.9383648261235
124,-12.9056336564527
126,-11.9460661352813
128,-11.0874451814883
130,-10.3342270251275
132,-9.68167541431218
134,-9.12212309682043
136,-8.64755280643443
138,-8.25056946746929
140,-7.92469357765559
142,-7.66438066677496
144,-7.46494094373926
146,-7.3224327891597
148,-7.23356006425658
150,-7.19558433074505
152,-7.20625513326173
154,-7.26375839745259
156,-7.36668203802022
158,-7.51399783861735
160,-7.70505901427764
162,-7.93961335466485
164,-8.21783236692584
166,-8.5403573400104
168,-8.90836369280111
170,-9.3236452524288
172,-9.78871999950731
174,-10.3069577305817
176,-10.882726637679
178,-11.5215467359969
180,-12.2302157420892
