"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-1.49209809208399
1.005,-1.37789338084879
1.01,-1.2761703046405
1.015,-1.18556001284997
1.02,-1.10486525135478
1.025,-1.03304081744135
1.03,-0.969175451807349
1.035,-0.912475242276701
1.04,-0.862248536433313
1.045,-0.817892313715824
1.05,-0.778879943049783
1.055,-0.744750242894167
1.06,-0.715097761097291
1.065,-0.689564197816547
1.07,-0.667830902592607
1.075,-0.649612384010799
1.08,-0.634650775577092
1.085,-0.622711203582368
1.09,-0.613578001610586
1.095,-0.607051712342926
1.1,-0.602946811266095
1.105,-0.601090079961564
1.11,-0.601319550108161
1.115,-0.603483934384602
1.12,-0.607442458094492
1.125,-0.613065006190339
1.13,-0.620232504676039
1.135,-0.628837462948298
1.14,-0.638784613988609
1.145,-0.649991601694988
1.15,-0.662389678190729
1.155,-0.675924387818507
1.16,-0.690556227982959
1.165,-0.706261289484855
1.17,-0.723031890152259
1.175,-0.740877225298174
1.18,-0.759824066901586
1.185,-0.779917550668664
1.19,-0.801222096656731
1.195,-0.823822515389325
1.2,-0.847825357848255
1.205,-0.873360574889199
1.21,-0.900583559935019
1.215,-0.929677658599123
1.22,-0.960857240327769
1.225,-0.994371440028357
1.23,-1.03050869115141
1.235,-1.06960218390142
1.24,-1.11203638931065
1.245,-1.15825478457343
1.25,-1.20876888414682
1.255,-1.26416860129768
1.26,-1.32513379504447
1.265,-1.39244652682099
1.27,-1.46700293798439
1.275,-1.54982255754138
1.28,-1.64205091689444
1.285,-1.74494803238591
1.29,-1.85984976788769
1.295,-1.98808012165128
1.3,-2.13077876192884
1.305,-2.28858913467781
1.31,-2.46113137620972
1.315,-2.64617517065849
1.32,-2.83846939826944
1.325,-3.02835735926827
1.33,-3.20071243228513
1.335,-3.33535417717528
1.34,-3.41046351340729
1.345,-3.40946886120587
1.35,-3.32882609019237
1.355,-3.18146713356745
1.36,-2.99268241774782
1.365,-2.79108978223948
1.37,-2.60054871468663
1.375,-2.43651704350509
1.38,-2.30642195618832
1.385,-2.21191110050391
1.39,-2.15126296607114
1.395,-2.12120324932251
1.4,-2.11802918846412
1.405,-2.13820250267785
1.41,-2.17860562093986
1.415,-2.23661067894291
1.42,-2.31005652221201
1.425,-2.39718785859486
1.43,-2.49658462044513
1.435,-2.60709464311526
1.44,-2.7277748143485
1.445,-2.85784191852802
1.45,-2.99663263685736
1.455,-3.14357150667614
1.46,-3.29814551326329
1.465,-3.45988408611351
1.47,-3.62834345043766
1.475,-3.80309447458812
1.48,-3.98371332653962
1.485,-4.16977439827085
1.49,-4.36084507553292
1.495,-4.55648202520232
1.5,-4.75622874728993
1.505,-4.95961419761564
1.51,-5.16615233343128
1.515,-5.37534247041656
1.52,-5.58667036733427
1.525,-5.7996099754789
1.53,-6.01362580470784
1.535,-6.22817586681461
1.54,-6.44271516061047
1.545,-6.65669966158627
1.55,-6.86959077274992
1.555,-7.08086018264937
1.56,-7.28999506240905
1.565,-7.4965035168336
1.57,-7.69992018658448
1.575,-7.89981188070049
1.58,-8.095783103112
1.585,-8.28748132515005
1.59,-8.47460185013313
1.595,-8.65689211738445
1.6,-8.83415530244846
1.605,-9.00625308813493
1.61,-9.17310750685856
1.615,-9.33470178731705
1.62,-9.49108017592662
1.625,-9.64234674315779
1.63,-9.78866322426713
1.635,-9.93024598021259
1.64,-10.0673621953801
1.645,-10.2003254523044
1.65,-10.3294908387032
1.655,-10.4552497485034
1.66,-10.5780245365044
1.665,-10.6982631768954
1.67,-10.8164340604839
1.675,-10.9330210459138
1.68,-11.0485188581173
1.685,-11.163428904436
1.69,-11.2782555566902
1.695,-11.3935029271065
1.7,-11.5096721482332
1.705,-11.6272591522479
1.71,-11.7467529335764
1.715,-11.8686342704545
1.72,-11.9933748757373
1.725,-12.1214369445824
1.73,-12.2532730661873
1.735,-12.3893264681658
1.74,-12.5300315649923
1.745,-12.6758147859022
1.75,-12.8270956624101
1.755,-12.9842881609768
1.76,-13.147802252169
1.765,-13.3180457138187
1.77,-13.4954261721879
1.775,-13.6803533920189
1.78,-13.8732418337097
1.785,-14.0745135038764
1.79,-14.2846011344992
1.795,-14.503951736034
1.8,-14.7330305817366
1.805,-14.972325694577
1.81,-15.2223529252325
1.815,-15.4836617307196
1.82,-15.7568417895027
1.825,-16.0425306220931
1.83,-16.3414224284567
1.835,-16.6542784080513
1.84,-16.981938899187
1.845,-17.3253377674662
1.85,-17.6855195964787
1.855,-18.0636603993229
1.86,-18.4610927936608
1.865,-18.8793368904009
1.87,-19.3201385731553
1.875,-19.7855174472633
1.88,-20.2778275978401
1.885,-20.7998355481541
1.89,-21.3548216640088
1.895,-21.946714052448
1.9,-22.5802683340707
1.905,-23.2613135280495
1.91,-23.9970954573724
1.915,-24.7967678348664
1.92,-25.6721137926806
1.925,-26.6386395676862
1.93,-27.717293490409
1.935,-28.9372848734197
1.94,-30.3409422810007
1.945,-31.9925819812993
1.95,-33.9957277780346
1.955,-36.527980679395
1.96,-39.9010402109361
1.965,-44.3769852961727
