"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.29153776057054
2,3.26903602060525
4,3.24582932428448
6,3.22183619144457
8,3.19699461322449
10,3.17126461207996
12,3.14463032452491
14,3.11710153288314
16,3.08871455963278
18,3.05953242656582
20,3.02964417315251
22,2.9991632266518
24,2.96822472321283
26,2.93698169688719
28,2.90560008406604
30,2.87425253542764
32,2.84311108577772
34,2.81233880221521
36,2.78208060891558
38,2.75245356654171
40,2.72353695822128
42,2.69536259351271
44,2.6679057782094
46,2.64107740394095
48,2.61471758274105
50,2.58859118726923
52,2.56238556077155
54,2.53571053995754
56,2.5081007999246
58,2.4790203960536
60,2.44786925634036
62,2.41399127988538
64,2.37668363080659
66,2.33520678502479
68,2.28879488930252
70,2.23666602308458
72,2.17803200708104
74,2.11210746994093
76,2.03811795762568
78,1.95530694206283
80,1.86294165084661
82,1.76031769455156
84,1.64676251088077
86,1.52163767520591
88,1.38434014609754
90,1.23430252402009
92,1.07099240373367
94,0.89391089848354
96,0.702590409034939
98,0.496591705017915
100,0.275500381497385
102,0.0389227513519173
104,-0.213518765353102
106,-0.482190690016022
108,-0.767453900363456
110,-1.06966933038838
112,-1.38920386320205
114,-1.72643631291986
116,-2.08176338031106
118,-2.45560545680258
120,-2.8484121431873
122,-3.26066734327015
124,-3.69289378835228
126,-4.1456568449032
128,-4.61956745328806
130,-5.11528403758018
132,-5.63351321222457
134,-6.17500908700738
136,-6.74057093337937
138,-7.33103891826804
140,-7.94728753123523
142,-8.59021622138098
144,-9.26073661355703
146,-9.95975547514896
148,-10.6881523271223
150,-11.446750177903
152,-12.2362771822843
154,-13.057315830465
156,-13.9102340214162
158,-14.7950880019667
160,-15.711478581063
162,-16.6583253669879
164,-17.6334921213044
166,-18.6331385239767
168,-19.6505751083307
170,-20.6742516461529
172,-21.68436043717
174,-22.6476210181171
176,-23.5108443105221
178,-24.1971403491075
180,-24.6140388286412
