"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.60140518757305
2,3.56673848332155
4,3.53032111345148
6,3.49280876952012
8,3.45484667351142
10,3.4170431048971
12,3.37994177603733
14,3.34399444259274
16,3.30953528993723
18,3.2767586610113
20,3.24570155935725
22,3.21623206971888
24,3.1880444112234
26,3.16066082380664
28,3.13343995326415
30,3.1055909142909
32,3.07619183427829
34,3.04421145224383
36,3.00853227873602
38,2.96797389935361
40,2.92131519239292
42,2.8673144856271
44,2.80472695335255
46,2.73231881473054
48,2.64887811171062
50,2.5532220056353
52,2.44420063334309
54,2.32069761180911
56,2.1816272855484
58,2.02592878532944
60,1.85255692158224
62,1.66046988006568
64,1.448613626095
66,1.21590285796313
68,0.961198276783404
70,0.683279851084117
72,0.380815637943453
74,0.0523255616750582
76,-0.303860675130506
78,-0.689652691087337
80,-1.10725711922823
82,-1.5592460760314
84,-2.04863938365059
86,-2.57900454478273
88,-3.15457971305328
90,-3.78042625035211
92,-4.46261849316645
94,-5.2084778283875
96,-6.0268527500749
98,-6.92842729304997
100,-7.92598321756918
102,-9.03438170255694
104,-10.2695894050864
106,-11.64486049763
108,-13.1589434173166
110,-14.7636679549763
112,-16.2903349544109
114,-17.3619318116727
116,-17.5349259404048
118,-16.7901155818536
120,-15.5600427674163
122,-14.2366433362894
124,-13.0015466534905
126,-11.9092565037435
128,-10.9638851538962
130,-10.1536617898647
132,-9.46359096129872
134,-8.87958503844349
136,-8.3895463315147
138,-7.98342077269403
140,-7.65294728986641
142,-7.39135508925439
144,-7.19309018339394
146,-7.05359135554276
148,-6.96911496680155
150,-6.93660205364074
152,-6.95358049204848
154,-7.01809604377605
156,-7.12866753716352
158,-7.28426282293446
160,-7.4842933656874
162,-7.72862638525983
164,-8.01761438586262
166,-8.35214274173813
168,-8.7336967545201
170,-9.16445019340379
172,-9.64737753258809
174,-10.1863912580861
176,-10.7865021118441
178,-11.4539900785476
180,-12.1965479127209
