"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-2.36332261196155
1.005,-2.13785235355148
1.01,-1.94230229842096
1.015,-1.77206098798162
1.02,-1.62334208720607
1.025,-1.4930264013895
1.03,-1.3785359409343
1.035,-1.27773317356022
1.04,-1.1888401253455
1.045,-1.11037315869871
1.05,-1.04109015930018
1.055,-0.979947569468572
1.06,-0.926065258648569
1.065,-0.87869765720147
1.07,-0.83720992341136
1.075,-0.801058185367742
1.08,-0.769773114180304
1.085,-0.74294625420086
1.09,-0.720218668162507
1.095,-0.701271556918139
1.1,-0.685818589833773
1.105,-0.673599736988762
1.11,-0.664376431754129
1.115,-0.657927915438846
1.12,-0.654048627846697
1.125,-0.652546512109424
1.13,-0.653242102322686
1.135,-0.655968261344197
1.14,-0.660570436216489
1.145,-0.666907302013063
1.15,-0.674851672668765
1.155,-0.684291569919807
1.16,-0.695131358471187
1.165,-0.707292875961498
1.17,-0.720716508871045
1.175,-0.735362188761245
1.18,-0.75121030579382
1.185,-0.768262557297762
1.19,-0.786542767572284
1.195,-0.806097730917002
1.2,-0.826998143271006
1.205,-0.849339699383908
1.21,-0.873244442974876
1.215,-0.898862467888864
1.22,-0.926374079969065
1.225,-0.955992543405286
1.23,-0.987967552833443
1.235,-1.02258959448156
1.24,-1.06019538696102
1.245,-1.10117462515557
1.25,-1.14597828833279
1.255,-1.19512881344003
1.26,-1.24923247028082
1.265,-1.3089942939394
1.27,-1.37523590625895
1.275,-1.44891644516773
1.28,-1.53115653158319
1.285,-1.62326458223766
1.29,-1.72676354516346
1.295,-1.8434138065127
1.3,-1.97522376063239
1.305,-2.12443197372309
1.31,-2.29343186228158
1.315,-2.48458839119291
1.32,-2.69986348825247
1.325,-2.94012315777056
1.33,-3.20395909719669
1.335,-3.48587403687593
1.34,-3.77388570932081
1.345,-4.04722604701742
1.35,-4.27597632817676
1.355,-4.42551100577249
1.36,-4.46730065044414
1.365,-4.39212465155514
1.37,-4.21632896881238
1.375,-3.9753074533303
1.38,-3.70928904635234
1.385,-3.45142269201788
1.39,-3.22304508389467
1.395,-3.03463930491956
1.4,-2.88907326089257
1.405,-2.78480990200705
1.41,-2.71823878149999
1.415,-2.68509889749711
1.42,-2.6812343477106
1.425,-2.70293440841357
1.43,-2.74704210183446
1.435,-2.81094650771605
1.44,-2.89252436643512
1.445,-2.9900654645702
1.45,-3.10219847323601
1.455,-3.22782430605031
1.46,-3.36605918827365
1.465,-3.51618733376144
1.47,-3.67762217669948
1.475,-3.8498748218194
1.48,-4.0325284002604
1.485,-4.2252171648703
1.49,-4.42760933918704
1.495,-4.63939290835403
1.5,-4.86026369231666
1.505,-5.08991516830686
1.51,-5.32802961273269
1.515,-5.57427021615588
1.52,-5.82827389364475
1.525,-6.08964457092132
1.53,-6.35794677852961
