CutName,Theta_deg,Phi_deg,Freq_GHz,Gain_dBi,Ldir,Ldri,L1,Sdir,Sref,Wdri,SimulationIndex,SimulationID
Phi90,0,90,2.25,3.22302098990534,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,2,90,2.25,3.18364473410862,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,4,90,2.25,3.14237662180499,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,6,90,2.25,3.09982648073301,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,8,90,2.25,3.05665014486552,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,10,90,2.25,3.01352647433037,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,12,90,2.25,2.97113024380039,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,14,90,2.25,2.93010199148422,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,16,90,2.25,2.89101629955333,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,18,90,2.25,2.85435028103614,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,20,90,2.25,2.82045421999297,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,22,90,2.25,2.78952630264326,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,24,90,2.25,2.76159316101906,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,26,90,2.25,2.7364975342955,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,28,90,2.25,2.71389377894058,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,30,90,2.25,2.69325130056366,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,32,90,2.25,2.67386532786812,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,34,90,2.25,2.65487389048282,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,36,90,2.25,2.63527946559813,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,38,90,2.25,2.61397355868241,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,40,90,2.25,2.58976248037897,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,42,90,2.25,2.56139274326556,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,44,90,2.25,2.52757477704892,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,46,90,2.25,2.48700399113774,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
Phi90,48,90,2.25,2.43837854690938,16.0033585429136,44.6666527698643,17.8282685457804,16.8120416056144,16.7740134149998,2.41420009235775,72,sim_072
