"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.65404750591231
2,3.64718468651735
4,3.6390816603332
6,3.62993979367627
8,3.61988767579318
10,3.60897074096228
12,3.59714270406333
14,3.58425931292693
16,3.57007478539463
18,3.55424112642466
20,3.53631032869287
22,3.51573926960259
24,3.49189694848469
26,3.4640735763751
28,3.43149094739484
30,3.39331348862347
32,3.34865940083605
34,3.29661135656516
36,3.23622630235883
38,3.16654400549248
40,3.08659407933891
42,2.99540130598798
44,2.89198914244477
46,2.77538134386093
48,2.64460166258169
50,2.49867158627469
52,2.33660606437333
54,2.15740714245048
56,1.96005538175573
58,1.74349888806699
60,1.50663971097676
62,1.24831730069582
64,0.967288621097317
66,0.662204409072653
68,0.331580932363078
70,-0.0262335813139912
72,-0.413098907161284
74,-0.831130552288562
76,-1.28275702823548
78,-1.77078895263978
80,-2.29850287008178
82,-2.86974331820941
84,-3.48904712880736
86,-4.16179370353231
88,-4.89438269194608
90,-5.69443282663907
92,-6.57097456026743
94,-7.53455460074582
96,-8.59703218457493
98,-9.7704975302588
100,-11.0638648115881
102,-12.4735689212704
104,-13.9604151968231
106,-15.4007177442739
108,-16.5243956244423
110,-16.9690161109995
112,-16.5914448988706
114,-15.6430238594145
116,-14.4811766055054
118,-13.3282066683015
120,-12.2761057913793
122,-11.3505994388908
124,-10.5510892495508
126,-9.8683379395166
128,-9.29136510540084
130,-8.80989452961887
132,-8.41507281553016
134,-8.09954800597058
136,-7.85733463268014
138,-7.68362906519708
140,-7.57463519777954
142,-7.52741975424019
144,-7.53980103092947
146,-7.61026965895061
148,-7.73793885526919
150,-7.92252218241792
152,-8.16433807593938
154,-8.46434198338992
156,-8.82418881054729
158,-9.24633051196898
160,-9.73415610421489
162,-10.2921839458252
164,-10.9263180400316
166,-11.6441788625742
168,-12.4555074144627
170,-13.3725976544231
172,-14.4105759961122
174,-15.5869374309248
176,-16.918531886501
178,-18.4106335592082
180,-20.0232344873325
