"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.80907845804095
2,3.78713120141263
4,3.76341732999628
6,3.73787709837629
8,3.71046488528945
10,3.6811515584837
12,3.64992657788415
14,3.61679975804397
16,3.58180259865468
18,3.54498908120927
20,3.50643582212456
22,3.46624146936923
24,3.42452523272309
26,3.38142444906862
28,3.33709110527399
30,3.29168727351307
32,3.24537945775843
34,3.19833190504607
36,3.15069899891634
38,3.10261692157865
40,3.05419484067958
42,3.0055059396722
44,2.95657866063148
46,2.90738855808576
48,2.85785116642849
50,2.80781625840141
52,2.75706381774892
54,2.7053019686601
56,2.65216700456703
58,2.59722554832129
60,2.53997876507406
62,2.47986844847966
64,2.41628471860177
66,2.34857501181554
68,2.2760540113846
70,2.19801416121799
72,2.11373642075677
74,2.02250095032685
76,1.92359745717103
78,1.81633497652749
80,1.70005090437385
82,1.57411913514691
84,1.43795718691375
86,1.29103221775831
88,1.13286585155028
90,0.963037740761032
92,0.781187801167518
94,0.58701706097426
96,0.380287077864148
98,0.160817894225484
100,-0.0715154747629565
102,-0.316787992152089
104,-0.57503091869198
106,-0.84623937889808
108,-1.13038099390119
110,-1.42740533950739
112,-1.73725392634792
114,-2.0598703424719
116,-2.39521015238424
118,-2.74325011524762
120,-3.10399627264937
122,-3.47749046511475
124,-3.86381486613487
126,-4.26309416969222
128,-4.67549512590736
130,-5.10122318047565
132,-5.5405160256633
134,-5.99363390075924
136,-6.46084647391501
138,-6.9424160803496
140,-7.43857696808816
142,-7.94950999413649
144,-8.47531190058623
146,-9.01595785628189
148,-9.57125534446359
150,-10.1407866751712
152,-10.7238363713301
154,-11.3192984109799
156,-11.9255568659947
158,-12.5403320832548
160,-13.1604837669311
162,-13.7817633286418
164,-14.3985129189393
166,-15.0033213859558
168,-15.5866732863693
170,-16.1366711568462
172,-16.638973205379
174,-17.0771515119857
176,-17.4336928896801
178,-17.691760711613
180,-17.837556266551
