"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.27196337357729
2,3.25445584664496
4,3.23617095407646
6,3.21702766310003
8,3.19695447849743
10,3.17589162465144
12,3.15379303320738
14,3.13062808159248
16,3.10638301399774
18,3.0810619638845
20,3.05468748690209
22,3.02730050668206
24,2.99895957477002
26,2.96973935140569
28,2.93972822725357
30,2.90902502849772
32,2.87773477940541
34,2.84596353728354
36,2.81381236353753
38,2.78137054909838
40,2.74870826954437
42,2.71586890059053
44,2.68286127336102
46,2.64965218588484
48,2.6161595078278
50,2.58224621588083
52,2.54771567540465
54,2.51230843992464
56,2.47570077622485
58,2.43750504362074
60,2.39727196770822
62,2.35449475864698
64,2.30861493904798
66,2.2590296731557
68,2.20510033202749
70,2.14616199155707
72,2.08153354204283
74,2.01052808816606
76,1.93246333377878
78,1.8466716729105
80,1.75250974264244
82,1.64936723092751
84,1.53667476964237
86,1.41391077763143
88,1.28060714874512
90,1.13635370539934
92,0.980801359405973
94,0.813663939902247
96,0.634718664834801
98,0.443805249654826
100,0.240823666773598
102,0.0257305939094855
104,-0.201465379636549
106,-0.440709681463353
108,-0.691908666114582
110,-0.954937300759719
112,-1.22964736287335
114,-1.51587582656336
116,-1.81345305644459
118,-2.12221037676831
120,-2.44198654367833
122,-2.77263262428949
124,-3.11401478095181
126,-3.4660144740044
128,-3.82852563080558
130,-4.20144837989525
132,-4.5846790119669
134,-4.97809589798505
136,-5.38154116346355
138,-5.79479798234715
140,-6.21756341291258
142,-6.64941675495819
144,-7.08978347136783
146,-7.53789480365307
148,-7.99274334313757
150,-8.45303502691715
152,-8.91713834666783
154,-9.38303202910713
156,-9.84825311041632
158,-10.309848218661
160,-10.764332018106
162,-11.2076581458518
164,-11.635209517254
166,-12.0418164330701
168,-12.4218121872072
170,-12.7691363483148
172,-13.0774948299314
174,-13.3405823312452
176,-13.5523658066304
178,-13.7074169195808
180,-13.8012678515647
