"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.1064759822197
2,3.07187757314102
4,3.03759162322133
6,3.00415523976541
8,2.97207655177226
10,2.94181256499984
12,2.91374573820812
14,2.8881605229696
16,2.86522128402693
18,2.8449530736331
20,2.82722664352028
22,2.8117488330665
24,2.79805908730415
26,2.78553237392106
28,2.77338824386043
30,2.76070528361865
32,2.74643980242755
34,2.72944733117052
36,2.7085054046679
38,2.68233615103298
40,2.64962739469187
42,2.60905125208619
44,2.55927951417729
46,2.49899542362292
48,2.42690173172188
50,2.3417251375831
52,2.24221735829646
54,2.12715315348742
56,1.99532563762567
58,1.84553917065458
60,1.67660003563376
62,1.48730500445437
64,1.27642777054686
66,1.0427030990776
68,0.78480841530377
70,0.501342422357674
72,0.190800210492465
74,-0.148455809901616
76,-0.518229947462814
78,-0.920533154202027
80,-1.35762982660665
82,-1.83209245172524
84,-2.34686480399801
86,-2.90533360996152
88,-3.51140668811121
90,-4.16959130476642
92,-4.88505727874509
94,-5.66364975308718
96,-6.51177487285619
98,-7.43599294412283
100,-8.44196560748448
102,-9.53201282200319
104,-10.6997773385068
106,-11.9193118569682
108,-13.1254394163146
110,-14.1885808760776
112,-14.9137384954666
114,-15.1227210598509
116,-14.7948028698843
118,-14.0869093981847
120,-13.2020313053479
122,-12.2863749847693
124,-11.4176972303797
126,-10.6292256777876
128,-9.93120911799869
130,-9.32343754049623
132,-8.80148116508992
134,-8.35958224071259
136,-7.99192190144085
138,-7.69312899433296
140,-7.4584448693959
142,-7.2837382492356
144,-7.16546042335419
146,-7.10058222949528
148,-7.08653138836231
150,-7.12113806519376
152,-7.20259163183039
154,-7.32940946395388
156,-7.50041777397044
158,-7.71474423417443
160,-7.97182211603712
162,-8.27140563928522
164,-8.61359601231228
166,-8.99887704189666
168,-9.42815785724945
170,-9.90281761691358
172,-10.4247418740917
174,-10.9963302795982
176,-11.6204360026682
178,-12.3001598034263
180,-13.0383489879642
