"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.26593297922706
2,3.26428104112453
4,3.26205647513656
6,3.25954575242266
8,3.25696907068949
10,3.25446554193984
12,3.25208011218253
14,3.24975301247099
16,3.24731240919094
18,3.24447072274745
20,3.24082483484726
22,3.23586013056423
24,3.22895805172733
26,3.21940660184849
28,3.20641306363273
30,3.18911808319288
32,3.16661024510262
34,3.13794030395844
36,3.10213433777711
38,3.05820522803954
40,3.00516203067485
42,2.94201696327301
44,2.86778988118481
46,2.78151023813833
48,2.68221661928656
50,2.56895399389957
52,2.44076886204714
54,2.29670246752372
56,2.13578222204613
58,1.95701143779066
60,1.75935740059482
62,1.5417377375784
64,1.30300494203926
66,1.04192881497083
68,0.757176464197624
70,0.447289364701722
72,0.11065682116957
74,-0.254515021218799
76,-0.650239706653697
78,-1.07879390783756
80,-1.54276946414846
82,-2.04513604665492
84,-2.58931675963622
86,-3.17927903056972
88,-3.819642514163
90,-4.51580346051451
92,-5.27406884421003
94,-6.10177842335417
96,-7.00735700185224
98,-8.00015487086505
100,-9.08973656529692
102,-10.2838155729735
104,-11.5829817998156
106,-12.9682247355697
108,-14.3744034082615
110,-15.6470877885994
112,-16.5215882345732
114,-16.7405120454189
116,-16.2930395635183
118,-15.4277579215408
120,-14.4164447733515
122,-13.4228648810876
124,-12.5182641354844
126,-11.7251213041268
128,-11.0449643966608
130,-10.4716053907709
132,-9.99676772152442
134,-9.612308160962
136,-9.31099849013888
138,-9.08672053854053
140,-8.93443693296437
142,-8.85008971036189
144,-8.83048956486261
146,-8.87322066729006
148,-8.97657036039683
150,-9.13948711487098
152,-9.36156859944945
154,-9.64308233295028
156,-9.98502330113977
158,-10.3892159917752
160,-10.8584728364497
162,-11.3968278035865
164,-12.0098742318951
166,-12.7052522690635
168,-13.4933573859662
170,-14.3883835010978
172,-15.4098801328647
174,-16.5850937219169
176,-17.9524212720871
178,-19.5659352747624
180,-21.4978810825217
