"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-1.27698217019293
1.005,-1.18953159265156
1.01,-1.10945959251573
1.015,-1.03664123214966
1.02,-0.97090236981353
1.025,-0.912023657317047
1.03,-0.859745490434524
1.035,-0.81377375073319
1.04,-0.773786147177508
1.045,-0.739438945383421
1.05,-0.710373862683515
1.055,-0.686224908508805
1.06,-0.666624961604241
1.065,-0.651211897268352
1.07,-0.639634107602326
1.075,-0.63155529369951
1.08,-0.626658448523045
1.085,-0.624648990464683
1.09,-0.625257047811639
1.095,-0.628238931307869
1.1,-0.633377863765895
1.105,-0.640484060841741
1.11,-0.649394274796034
1.115,-0.659970923124817
1.12,-0.672100926752096
1.125,-0.685694378942421
1.13,-0.700683157504827
1.135,-0.717019580726584
1.14,-0.734675193364653
1.145,-0.753639754422121
1.15,-0.77392048464867
1.155,-0.795541619783203
1.16,-0.818544306286381
1.165,-0.842986870220647
1.17,-0.868945487338721
1.175,-0.896515283495589
1.18,-0.925811899264567
1.185,-0.956973561138901
1.19,-0.990163713968874
1.195,-1.02557428538497
1.2,-1.06342967298082
1.205,-1.10399156903186
1.21,-1.14756476539445
1.215,-1.19450411240497
1.22,-1.24522283856761
1.225,-1.30020246919965
1.23,-1.36000460511446
1.235,-1.42528482361105
1.24,-1.4968089188268
1.245,-1.57547156194399
1.25,-1.66231715319477
1.255,-1.7585620141696
1.26,-1.86561588007869
1.265,-1.98509846383125
1.27,-2.11884294063556
1.275,-2.26887132888282
1.28,-2.43731502034384
1.285,-2.62623446067965
1.29,-2.8372622826592
1.295,-3.07095357415228
1.3,-3.325685851924
1.305,-3.59595212545918
1.31,-3.87004672027432
1.315,-4.12767094546202
1.32,-4.33907819273219
1.325,-4.4686096147495
1.33,-4.48485623337448
1.335,-4.3747477519132
1.34,-4.15230509456201
1.345,-3.85409860109359
1.35,-3.5245538236056
1.355,-3.20184621152047
1.36,-2.9112608285168
1.365,-2.66544534314979
1.37,-2.46786110230357
1.375,-2.31654106512559
1.38,-2.2069327324996
1.385,-2.13367070968653
1.39,-2.0915270055269
1.395,-2.07583773916524
1.4,-2.08263549872726
1.405,-2.10863413963308
1.41,-2.1511502667999
1.415,-2.20800570795052
1.42,-2.27743217348968
1.425,-2.35798685194739
1.43,-2.44848142863704
1.435,-2.54792412703403
1.44,-2.65547322892101
1.445,-2.77040023642564
1.45,-2.89206092644423
1.455,-3.01987277881377
1.46,-3.15329752124923
1.465,-3.29182777753154
1.47,-3.43497701323447
1.475,-3.58227214262141
1.48,-3.73324829462143
1.485,-3.88744534044555
1.49,-4.04440586602166
1.495,-4.2036743339792
1.5,-4.36479722652762
1.505,-4.52732399554291
1.51,-4.69080867209626
1.515,-4.85481200656205
1.52,-5.01890402394256
1.525,-5.1826668884653
1.53,-5.34569797795733
1.535,-5.50761307296113
1.54,-5.66804956890881
1.545,-5.82666962271949
1.55,-5.98316314864763
1.555,-6.1372505827059
1.56,-6.28868534100396
1.565,-6.4372559052104
1.57,-6.58278747820754
1.575,-6.72514316480417
1.58,-6.86422464584874
1.585,-6.99997232879905
1.59,-7.13236497317137
1.595,-7.26141880462774
1.6,-7.38718614604904
1.605,-7.50975360709421
1.61,-7.62923988486645
1.615,-7.74579323693446
1.62,-7.85958869380247
1.625,-7.97082508088752
1.63,-8.07972192022273
1.635,-8.18651627970632
1.64,-8.29145963312314
1.645,-8.39481478783464
1.65,-8.49685292946246
1.655,-8.5978508245799
1.66,-8.69808821384216
1.665,-8.79784541954058
1.67,-8.8974011835917
1.675,-8.9970307447198
1.68,-9.09700415723137
1.685,-9.19758484839951
1.69,-9.29902840710543
1.695,-9.40158159298944
1.7,-9.50548155288031
1.705,-9.61095522960176
1.71,-9.71821894728793
1.715,-9.82747815695953
1.72,-9.93892732620327
1.725,-10.0527499572532
1.73,-10.1691187184966
1.735,-10.2881956753347
1.74,-10.4101326073565
1.745,-10.5350713998642
1.75,-10.6631444988942
1.755,-10.7944754199613
1.76,-10.9291793018033
1.765,-11.0673634973992
1.77,-11.2091281954702
1.775,-11.3545670665457
1.78,-11.5037679284876
1.785,-11.6568134271137
1.79,-11.8137817282598
1.795,-11.9747472182627
1.8,-12.1397812104478
1.805,-12.308952655773
1.81,-12.4823288563049
1.815,-12.6599761807156
1.82,-12.8419607814636
1.825,-13.0283493137901
1.83,-13.2192096571074
1.835,-13.4146116397934
1.84,-13.6146277688324
1.845,-13.8193339661564
1.85,-14.0288103139564
1.855,-14.2431418116299
1.86,-14.4624191474285
1.865,-14.686739488252
1.87,-14.9162072914025
1.875,-15.1509351424607
1.88,-15.3910446237621
1.885,-15.6366672182174
1.89,-15.8879452534216
1.895,-16.1450328910954
1.9,-16.408097166857
1.905,-16.6773190850637
1.91,-16.9528947729197
1.915,-17.2350366970705
1.92,-17.523974944353
1.925,-17.8199585659792
1.93,-18.1232569808892
1.935,-18.43416142884
1.94,-18.7529864563587
1.945,-19.0800714080762
1.95,-19.4157818809028
1.955,-19.7605110772226
1.96,-20.1146809632631
1.965,-20.4787430964832
1.97,-20.8531789262074
1.975,-21.2384992877028
1.98,-21.6352426913701
1.985,-22.0439718414545
1.99,-22.4652675825348
1.995,-22.8997191388013
2,-23.3479090416339
2.005,-23.5930759858983
2.01,-23.8135512184316
2.015,-23.9958535573199
2.02,-24.1241700313152
2.025,-24.1814445414298
2.03,-24.1513297173182
2.035,-24.0207886097106
2.04,-23.7826727594421
2.045,-23.4373355865243
2.05,-22.9925869741043
2.055,-22.4620099887961
2.06,-21.8623607942321
2.065,-21.2109897180416
2.07,-20.5239343938472
2.075,-19.8148758562141
2.08,-19.0948169761373
2.085,-18.3722224235905
2.09,-17.6533831214192
2.095,-16.9428443997677
2.1,-16.2438100138446
2.105,-15.5584848536066
2.11,-14.8883481165659
2.115,-14.2343625251911
2.12,-13.5971301870725
2.125,-12.9770062910754
2.13,-12.3741805566629
2.135,-11.7887345232443
2.14,-11.2206809812307
2.145,-10.6699903303666
2.15,-10.1366074495936
2.155,-9.62046174763377
2.16,-9.1214723823266
2.165,-8.63955013578134
2.17,-8.17459706501323
2.175,-7.72650477659657
2.18,-7.29515197054706
2.185,-6.88040174225189
2.19,-6.48209900702978
