"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-2.59626172024017
1.005,-2.30694735584042
1.01,-2.06026081898863
1.015,-1.84904458013888
1.02,-1.66747705269987
1.025,-1.51082064083098
1.03,-1.37521461430056
1.035,-1.25750664841301
1.04,-1.15511666981958
1.045,-1.06592716613208
1.05,-0.988194900040595
1.055,-0.920479797250511
1.06,-0.861587549906628
1.065,-0.810523152579529
1.07,-0.766453156986711
1.075,-0.728674899979565
1.08,-0.696591338614875
1.085,-0.669690429512556
1.09,-0.647528229647334
1.095,-0.629715083129524
1.1,-0.61590440256735
1.105,-0.605783661903238
1.11,-0.599067296606696
1.115,-0.595491262357131
1.12,-0.594809039860259
1.125,-0.596788895826373
1.13,-0.601212222700053
1.135,-0.607872786425734
1.14,-0.616576715861286
1.145,-0.627143072306906
1.15,-0.639404845147811
1.155,-0.653210231133119
1.16,-0.668424070801924
1.165,-0.684929335732199
1.17,-0.70262858373685
1.175,-0.721445324585374
1.18,-0.741325264858655
1.185,-0.762237425785619
1.19,-0.784175151244659
1.195,-0.807157043777748
1.2,-0.83122788410228
1.205,-0.856459604244479
1.21,-0.882952396410489
1.215,-0.91083604963003
1.22,-0.940271614719192
1.225,-0.971453505822674
1.23,-1.00461215407902
1.235,-1.04001733568277
1.24,-1.0779823018207
1.245,-1.11886883923003
1.25,-1.16309338268327
1.255,-1.21113427580712
1.26,-1.26354021894906
1.265,-1.32093982596262
1.27,-1.38405199113494
1.275,-1.45369636814567
1.28,-1.53080256070673
1.285,-1.61641541620047
1.29,-1.71169177376152
1.295,-1.81788064308783
1.3,-1.93627334557555
1.305,-2.06810168517073
1.31,-2.21434983177953
1.315,-2.3754294155214
1.32,-2.55065114824062
1.325,-2.737423601973
1.33,-2.93015440641331
1.335,-3.11898571011417
1.34,-3.28884284861946
1.345,-3.41979213550994
1.35,-3.49000898093785
1.355,-3.48186776444392
1.36,-3.38922996173456
1.365,-3.22157169634574
1.37,-3.00157606022059
1.375,-2.7574839128057
1.38,-2.51502086643808
1.385,-2.29270426832595
1.39,-2.10104616044583
1.395,-1.94410405194944
1.4,-1.8217008885299
1.405,-1.73135542148815
1.41,-1.66962482953074
1.415,-1.63290657045216
1.42,-1.61785293347151
1.425,-1.62154509682915
1.43,-1.64153330794837
1.435,-1.67581056839956
1.44,-1.72275859358526
1.445,-1.78108660090905
1.45,-1.8497728234804
1.455,-1.92801280893728
1.46,-2.01517556807142
1.465,-2.11076722850171
1.47,-2.21440128066631
1.475,-2.32577435767221
1.48,-2.44464654009903
1.485,-2.57082530370617
1.49,-2.70415237383369
1.495,-2.84449288852341
1.5,-2.99172639268715
1.505,-3.14573928563616
1.51,-3.30641842517597
1.515,-3.47364565586883
1.52,-3.64729307988902
1.525,-3.82721892890761
1.53,-4.01326392706801
1.535,-4.2052480604046
1.54,-4.40296768872276
1.545,-4.60619295340091
1.55,-4.81466544993897
1.555,-5.02809614828496
1.56,-5.24616355774143
1.565,-5.46851214711586
1.57,-5.69475104507141
1.575,-5.92445306047702
1.58,-6.15715407784239
1.585,-6.39235289826816
1.59,-6.62951161106277
1.595,-6.86805659425338
1.6,-7.10738025228399
1.605,-7.34684360455342
1.61,-7.58577983714025
1.615,-7.82349891999441
1.62,-8.05929337102262
1.625,-8.29244521519721
1.63,-8.52223414014068
1.635,-8.7479467897949
1.64,-8.96888706651714
1.645,-9.18438723284108
1.65,-9.39381952272234
1.655,-9.59660789562197
1.66,-9.79223950371258
1.665,-9.98027540150654
1.67,-10.1603600160016
1.675,-10.3322289193752
1.68,-10.4957145071624
1.685,-10.6507492802419
1.69,-10.7973665519189
1.695,-10.9356985412676
1.7,-11.0659719576019
1.705,-11.1885013148486
1.71,-11.3036803264593
1.715,-11.4119718121278
1.72,-11.5138965919407
1.725,-11.6100218511021
1.73,-11.7009494325047
1.735,-11.7873044616983
1.74,-11.8697246375047
1.745,-11.948850440367
1.75,-12.0253164275368
1.755,-12.0997437059501
1.76,-12.1727336048353
1.765,-12.2448625135073
1.77,-12.3166778064909
1.775,-12.3886947477733
1.78,-12.4613942473442
1.785,-12.5352213344066
1.79,-12.6105842106806
1.795,-12.6878537520353
1.8,-12.7673633354357
1.805,-12.8494088793228
1.81,-12.9342489978335
1.815,-13.0221051818097
1.82,-13.1131619317297
1.825,-13.2075667791799
1.83,-13.3054301441308
1.835,-13.4068249851318
1.84,-13.51178620878
1.845,-13.6203098137519
1.85,-13.7323517537001
1.855,-13.8478265128929
1.86,-13.9666053991438
1.865,-14.0885145709336
1.87,-14.2133328302821
1.875,-14.3407892304907
1.88,-14.470560568908
1.885,-14.6022688597918
1.89,-14.7354789113411
1.895,-14.8696961638607
1.9,-15.0043649820502
1.905,-15.138867632056
1.91,-15.2725242106742
1.915,-15.4045938262301
1.92,-15.5342773531368
1.925,-15.6607220886336
1.93,-15.7830286233934
1.935,-15.9002601899216
1.94,-16.0114546670664
1.945,-16.115639290977
1.95,-16.2118479521442
1.955,-16.2991407505376
1.96,-16.3766252497341
1.965,-16.4434786377839
1.97,-16.4989697956674
1.975,-16.5424801254665
1.98,-16.5735219301478
1.985,-16.5917531877026
1.99,-16.596987733111
1.995,-16.5892001432002
2,-16.568524984651
2.005,-16.4886780004748
2.01,-16.4038352833219
2.015,-16.3135276284565
2.02,-16.2172665700072
2.025,-16.114549818588
2.03,-16.0048679315573
2.035,-15.8877121829571
2.04,-15.7625835295755
2.045,-15.6290024903557
2.05,-15.4865196737716
2.055,-15.3347266088679
2.06,-15.1732664687888
2.065,-15.0018442295854
2.07,-14.8202357899168
2.075,-14.6282955947889
2.08,-14.425962361183
2.085,-14.2132625934997
2.09,-13.9903116958598
2.095,-13.7573126262133
2.1,-13.5145521809514
2.105,-13.2623951345093
2.11,-13.0012765736087
2.115,-12.7316928505265
2.12,-12.4541916283753
