CutName,Theta_deg,Phi_deg,Freq_GHz,Gain_dBi,Ldir,Ldri,L1,Sdir,Sref,Wdri,SimulationIndex,SimulationID
Phi90,0,90,2.25,3.48898396932406,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,2,90,2.25,3.50552553933583,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,4,90,2.25,3.52087213340592,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,6,90,2.25,3.53525013360533,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,8,90,2.25,3.54880274259147,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,10,90,2.25,3.56157696808497,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,12,90,2.25,3.57351316197457,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,14,90,2.25,3.58443776193973,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,16,90,2.25,3.59405967929162,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,18,90,2.25,3.60197052446297,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,20,90,2.25,3.60764858887138,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,22,90,2.25,3.61046623958403,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,24,90,2.25,3.60970016017365,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,26,90,2.25,3.60454370951402,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,28,90,2.25,3.59412058226169,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,30,90,2.25,3.57749894171513,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,32,90,2.25,3.55370524910109,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
Phi90,34,90,2.25,3.52173711745152,14.7285051864043,45.2875509854685,17.5427720343148,13.6604178393816,22.1524328664277,3.45458541759815,173,sim_173
