"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.49420580813221
2,3.46429077675797
4,3.4338475800589
6,3.40333129381856
8,3.37315986794459
10,3.34369431131402
12,3.31521855383837
14,3.28792007344872
16,3.26187242132112
18,3.23702072947863
20,3.21317113577848
22,3.18998482020368
24,3.16697703465505
26,3.14352115822538
28,3.11885745921166
30,3.09210593139312
32,3.06228232621307
34,3.02831634403824
36,2.98907088288924
38,2.94336126555002
40,2.88997345961285
42,2.82768044798793
44,2.75525607649578
46,2.67148587927532
48,2.57517454519035
50,2.46514982784805
52,2.34026281204399
54,2.19938452836319
56,2.04139895600179
58,1.86519247359669
60,1.66963981081604
62,1.45358652025957
64,1.21582792828189
66,0.955084430325724
68,0.669972863612085
70,0.358973506297768
72,0.0203920021080898
74,-0.347684827037911
76,-0.747440766157323
78,-1.18139166719238
80,-1.6524594320394
82,-2.16406235473908
84,-2.72022688474902
86,-3.32572729368597
88,-3.98626110694387
90,-4.70866873396379
92,-5.50120332580936
94,-6.37384561346498
96,-7.33862246501616
98,-8.40978397226543
100,-9.60340260591748
102,-10.935145807361
104,-12.4127351727622
106,-14.0138745882167
108,-15.6300170771267
110,-16.9668942393598
112,-17.5467159584163
114,-17.1224070515969
116,-16.0125106163143
118,-14.6835884996227
120,-13.3978030790669
122,-12.2465907172775
124,-11.246446194227
126,-10.388611451572
128,-9.65806196424801
130,-9.03988532041415
132,-8.5211018966647
134,-8.09093300054371
136,-7.74058866276102
138,-7.46294835571746
140,-7.25225738068777
142,-7.10387248548416
144,-7.014059671781
146,-6.97983788715708
148,-6.99886065593147
150,-7.06932859431578
152,-7.1899273135713
154,-7.35978679187401
156,-7.57845969831554
158,-7.84591734666135
160,-8.16256294769106
162,-8.52926260552008
164,-8.94739498903634
166,-9.41892058793344
168,-9.94647041942835
170,-10.5334508271633
172,-11.1841530223383
174,-11.9038374633786
176,-12.6987209276402
178,-13.5756981932403
180,-14.5414121664448
