Ldir,Ldri,L1,Sdir,Sref,Wdri,SimulationID,S11_File,S11F0_File,PeakGain_File,GainPhi90_File,GainPhi0_File,ProcessedS11_File,ScalarMetrics_File,Patterns_File,Objectives_File,MainPlane,Gmain_Source,S11_Source,Gmain_dBi,Gmain_Cut_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,SLL_dB,HPBW_deg,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,Objective1_Neg_Gmain,Objective2_SLL,Objective3_HPBW,Objective4_AbsS11,Timestamp,Success
15.8244349346803,41.7505944028418,15.8949169496869,16.8615101996022,20.359282252174,3.31607522840624,sim_011,W:\Formal\Yagi\DATA\results\sim_011_S11.csv,W:\Formal\Yagi\DATA\results\sim_011_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_011_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_011_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_011_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_011_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_011_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_011_patterns.csv,W:\Formal\Yagi\DATA\results\sim_011_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,4.09139452147779,3.80907845804096,2.13312976053023,20.1470445557356,-10.9504905247137,NaN,-4.40153206033794,4.40153206033794,0.602453312995749,-4.09139452147779,-10.9504905247137,NaN,0.602453312995749,2026-04-13 11:25:16,1
16.9223483530171,43.7492300849884,18.4762622562722,14.2568606275206,19.8300425717461,3.88373916949126,sim_012,W:\Formal\Yagi\DATA\results\sim_012_S11.csv,W:\Formal\Yagi\DATA\results\sim_012_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_012_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_012_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_012_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_012_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_012_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_012_patterns.csv,W:\Formal\Yagi\DATA\results\sim_012_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.98593238812517,3.39282442355956,1.2134398896501,11.6339340794526,-10.751970209692,NaN,-3.26188727140773,3.26188727140773,0.68691916989749,-3.98593238812517,-10.751970209692,NaN,0.68691916989749,2026-04-13 11:26:04,1
16.3859335174644,43.2851948751545,14.7676661263725,16.3450256718317,18.7509115581748,3.42245322429102,sim_013,W:\Formal\Yagi\DATA\results\sim_013_S11.csv,W:\Formal\Yagi\DATA\results\sim_013_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_013_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_013_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_013_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_013_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_013_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_013_patterns.csv,W:\Formal\Yagi\DATA\results\sim_013_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.94834913493495,3.63828403703013,2.53333792509369,12.0544930464523,-10.76108405207,NaN,-5.55855701900998,5.55855701900998,0.52731745704017,-3.94834913493495,-10.76108405207,NaN,0.52731745704017,2026-04-13 11:26:48,1
17.8063755660385,43.3069503778924,15.4323455846463,12.1504693407809,18.0062541066992,4.14301986320189,sim_014,W:\Formal\Yagi\DATA\results\sim_014_S11.csv,W:\Formal\Yagi\DATA\results\sim_014_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_014_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_014_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_014_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_014_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_014_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_014_patterns.csv,W:\Formal\Yagi\DATA\results\sim_014_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,4.21644281510611,3.54063746316197,0.606605047947616,12.7329578334238,-9.94636421646853,NaN,-2.48357705724211,2.48357705724211,0.751313421449493,-4.21644281510611,-9.94636421646853,NaN,0.751313421449493,2026-04-13 11:27:18,1
16.2484833351943,45.9095699486102,16.9715098971941,16.5259113259517,17.6836489843501,4.43057769514614,sim_015,W:\Formal\Yagi\DATA\results\sim_015_S11.csv,W:\Formal\Yagi\DATA\results\sim_015_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_015_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_015_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_015_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_015_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_015_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_015_patterns.csv,W:\Formal\Yagi\DATA\results\sim_015_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.75316415317812,3.60633235918803,2.16246065720761,16.1838594733838,-11.1651431217717,NaN,-5.13305326438115,5.13305326438115,0.55379284043119,-3.75316415317812,-11.1651431217717,NaN,0.55379284043119,2026-04-13 11:28:01,1
16.5501571656932,42.8423291779407,15.6306010340953,15.782342071591,16.9838179809998,4.31832078010456,sim_016,W:\Formal\Yagi\DATA\results\sim_016_S11.csv,W:\Formal\Yagi\DATA\results\sim_016_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_016_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_016_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_016_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_016_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_016_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_016_patterns.csv,W:\Formal\Yagi\DATA\results\sim_016_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.68014232691939,3.4066890686313,2.11901648795652,12.4319545908874,-10.4454492953581,NaN,-5.20067011259699,5.20067011259699,0.54949847865431,-3.68014232691939,-10.4454492953581,NaN,0.54949847865431,2026-04-13 11:28:46,1
17.3017103159418,42.2243301969539,14.6855013951164,12.1100712777024,18.4202594306363,2.59098798984093,sim_017,W:\Formal\Yagi\DATA\results\sim_017_S11.csv,W:\Formal\Yagi\DATA\results\sim_017_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_017_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_017_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_017_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_017_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_017_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_017_patterns.csv,W:\Formal\Yagi\DATA\results\sim_017_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.93057615487564,3.31939155735442,1.41021214631533,10.2761985283344,-0.00952335321631015,NaN,-3.56261855684733,3.56261855684733,0.663543000279719,-3.93057615487564,-0.00952335321631015,NaN,0.663543000279719,2026-04-13 11:29:18,1
14.705249644694,45.9370459184773,14.8049725791932,15.1350063397284,18.4118123880345,2.63344219148021,sim_018,W:\Formal\Yagi\DATA\results\sim_018_S11.csv,W:\Formal\Yagi\DATA\results\sim_018_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_018_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_018_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_018_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_018_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_018_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_018_patterns.csv,W:\Formal\Yagi\DATA\results\sim_018_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.93600249434641,3.56049541389743,3.14291240026513,9.98310645592494,-11.5005149115905,NaN,-7.77512996766613,7.77512996766613,0.40854838834266,-3.93600249434641,-11.5005149115905,NaN,0.40854838834266,2026-04-13 11:30:13,1
16.4360202924554,43.6761196855517,16.889032775409,13.3565398139625,21.2206234939817,4.07379580657954,sim_019,W:\Formal\Yagi\DATA\results\sim_019_S11.csv,W:\Formal\Yagi\DATA\results\sim_019_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_019_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_019_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_019_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_019_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_019_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_019_patterns.csv,W:\Formal\Yagi\DATA\results\sim_019_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,4.19630432605927,3.45093926324135,1.4636954174267,10.7899523884247,-10.9656838678526,NaN,-3.30696701756812,3.30696701756812,0.683363296540154,-4.19630432605927,-10.9656838678526,NaN,0.683363296540154,2026-04-13 11:31:17,1
17.2005844055512,46.1115149696691,15.5445542565205,16.2771484717621,16.9434133783829,2.3738565737356,sim_020,W:\Formal\Yagi\DATA\results\sim_020_S11.csv,W:\Formal\Yagi\DATA\results\sim_020_S11F0.csv,W:\Formal\Yagi\DATA\results\sim_020_PeakGain.csv,W:\Formal\Yagi\DATA\results\sim_020_GainPhi90.csv,W:\Formal\Yagi\DATA\results\sim_020_GainPhi0.csv,W:\Formal\Yagi\DATA\results\sim_020_s11_processed.csv,W:\Formal\Yagi\DATA\results\sim_020_scalar_metrics.csv,W:\Formal\Yagi\DATA\results\sim_020_patterns.csv,W:\Formal\Yagi\DATA\results\sim_020_four_objectives.csv,Phi90,ATK_OBJ_PeakGain,ATK_OBJ_S11_F0,3.64746072137477,3.48416653755123,2.40117391297321,14.5027015670276,-11.1602022368158,NaN,-6.02991488997297,6.02991488997297,0.499464074259907,-3.64746072137477,-11.1602022368158,NaN,0.499464074259907,2026-04-13 11:31:57,1
