"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.93169297920398
2,3.90444420551397
4,3.87685069607877
6,3.84885475591069
8,3.82040276100335
10,3.79144842616181
12,3.76195577163157
14,3.73190169439327
16,3.70127804206068
18,3.67009308104045
20,3.63837224757689
22,3.60615807222201
24,3.57350917681396
26,3.54049825967758
28,3.50720901052012
30,3.47373193179309
32,3.44015908770157
34,3.40657785414711
36,3.37306380020128
38,3.33967289071094
40,3.30643325597433
42,3.27333682324375
44,3.240331141229
46,3.20731174846985
48,3.17411543622737
50,3.14051473486355
52,3.10621390995347
54,3.07084669306073
56,3.03397589649355
58,2.99509497708594
60,2.95363152744665
62,2.90895259045712
64,2.86037161958137
66,2.80715684796077
68,2.74854078584265
70,2.6837305394548
72,2.61191863424421
74,2.5322940294732
76,2.4440530267232
78,2.34640979874986
80,2.23860629425154
82,2.11992130570037
84,1.9896785192503
86,1.84725339636383
88,1.69207876536434
90,1.52364902743966
92,1.34152290605172
94,1.1453246920067
96,0.934743959631783
98,0.70953375371159
100,0.469507273135368
102,0.21453310647053
104,-0.0554708925443424
106,-0.340544965206779
108,-0.640695879814135
110,-0.955906229702015
112,-1.28614434931226
114,-1.63137455925274
116,-1.9915674139501
118,-2.36670959402598
120,-2.75681306186423
122,-3.16192308418365
124,-3.58212471990068
126,-4.01754737388232
128,-4.46836702449755
130,-4.934805740751
132,-5.41712810744845
134,-5.91563416763848
136,-6.43064846367954
138,-6.96250470571139
140,-7.5115255151923
142,-8.07799658137243
144,-8.66213443578592
146,-9.26404690808433
148,-9.88368520113002
150,-10.5207864536658
152,-11.1748056998657
154,-11.8448363531817
156,-12.5295188010523
158,-13.2269374241273
160,-13.9345072730273
162,-14.6488524666132
164,-15.3656785121345
166,-16.0796392008301
168,-16.7841943368239
170,-17.471446793757
172,-18.1319382797455
174,-18.754380408799
176,-19.3253179361025
178,-19.8287898006275
180,-20.2461926656383
