"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,2.8708684928991
2,2.8207775809858
4,2.77296079400627
6,2.72763878765909
8,2.6850046227154
10,2.64522187299406
12,2.60842209653923
14,2.57470165925088
16,2.54411795668344
18,2.51668514420861
20,2.49236955389658
22,2.47108504250561
24,2.45268857202124
26,2.43697636503061
28,2.42368099520563
30,2.41246976328677
32,2.40294466882567
34,2.39464421853406
36,2.38704721798149
38,2.37957858243423
40,2.37161708502437
42,2.36250484733369
44,2.35155827941988
46,2.3380801017775
48,2.32137203604759
50,2.30074773615479
52,2.27554554512598
54,2.24514070042135
56,2.2089566656087
58,2.16647533129701
60,2.11724589633964
62,2.06089230537502
64,1.99711917622076
66,1.92571619749908
68,1.84656101162912
70,1.75962062061341
72,1.66495136231854
74,1.56269750416016
76,1.4530884905475
78,1.33643486177906
80,1.21312283751868
82,1.08360753062074
84,0.948404731277125
86,0.808081183106117
88,0.663243269241642
90,0.514524045984144
92,0.362568612176274
94,0.208017890166667
96,0.0514910207447982
98,-0.106433265045287
100,-0.265235752760831
102,-0.424475604491579
104,-0.583808093640025
106,-0.743000243000267
108,-0.901943388196777
110,-1.06066178695842
112,-1.21931660040401
114,-1.37820486973309
116,-1.53775346756236
118,-1.69850837292636
120,-1.86111995450783
122,-2.02632520560173
124,-2.19492802778382
126,-2.36777869719634
128,-2.54575357462722
130,-2.72973595925753
132,-2.92059876551322
134,-3.11918945412267
136,-3.32631739974694
138,-3.54274364846975
140,-3.76917281998313
142,-4.00624674350236
144,-4.25453927760969
146,-4.51455164076238
148,-4.78670745535912
150,-5.07134656565052
152,-5.36871650854822
154,-5.67896027631249
156,-6.00209869213415
158,-6.33800530886377
160,-6.68637123284854
162,-7.04665668629556
164,-7.41802551402648
166,-7.79925835740107
168,-8.18864014758041
170,-8.58381843677974
172,-8.98163176608805
174,-9.37791308438405
176,-9.76728389862397
178,-10.1429719721772
180,-10.4967091544131
