"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.30986820413811
2,3.28523487239016
4,3.25953927512595
6,3.23277893227153
8,3.20496922285138
10,3.17614405863462
12,3.14635616537335
14,3.1156769472363
16,3.08419590339003
18,3.05201956026472
20,3.01926987983983
22,2.98608210430397
24,2.95260200164748
26,2.91898248596676
28,2.88537960107629
30,2.85194787663524
32,2.81883509209002
34,2.78617651438852
36,2.75408870905415
38,2.7226630585975
40,2.69195915466714
42,2.66199825778642
44,2.63275703801826
46,2.60416181887372
48,2.57608354344383
50,2.54833366538196
52,2.52066113856267
54,2.49275063983312
56,2.46422211219143
58,2.43463166465172
60,2.40347381394148
62,2.37018500575256
64,2.33414831259036
66,2.29469917340453
68,2.25113201807099
70,2.20270760726519
72,2.14866091424817
74,2.08820937789487
76,2.02056136395917
78,1.94492468214518
80,1.86051501835389
82,1.76656415322296
84,1.66232784896387
86,1.54709329615924
88,1.4201860206172
90,1.28097615786821
92,1.12888400988469
94,0.963384805654912
96,0.784012594938652
98,0.590363213472302
100,0.382096268681126
102,0.158936108206446
104,-0.0793282501095561
106,-0.332844228089139
108,-0.601697813864841
110,-0.885916652986037
112,-1.1854740171401
114,-1.50029352368032
116,-1.8302544339511
118,-2.17519730862938
120,-2.53492974519292
122,-2.90923186803644
124,-3.29786118814491
126,-3.70055639957484
128,-4.11703963759674
130,-4.54701669161271
132,-4.99017464808159
134,-5.44617643739165
136,-5.9146517759823
138,-6.39518403233319
140,-6.88729260326269
142,-7.39041046514965
144,-7.90385666225681
146,-8.42680360907715
148,-8.95823921097811
150,-9.49692393858492
152,-10.0413431109342
154,-10.5896547268174
156,-11.1396332030445
158,-11.6886093075359
160,-12.2334064225181
162,-12.7702731368171
164,-13.2948123253275
166,-13.8019079047027
168,-14.2856533239296
170,-14.7392918603184
172,-15.155189163439
174,-15.5248732751639
176,-15.8391935673239
178,-16.0886595173926
180,-16.2640092126308
