SimulationIndex,SimulationID,f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_Source,Gmain_Source,MainPlane,Gmain_dBi,Gmain_Cut_dBi,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,SLL_dB,HPBW_deg,SideLobeSuppression_dB,MainLobeTheta_deg,SideLobeTheta_deg,SideLobeGain_dBi,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,Objective1_Neg_Gmain,Objective2_SLL,Objective3_HPBW,Objective4_AbsS11,Gmain_Phi0_dBi,SLL_Phi0_dB,HPBW_Phi0_deg,Gmain_Phi90_dBi,SLL_Phi90_dB,HPBW_Phi90_deg,Ldir,Ldri,L1,Sdir,Sref,Wdri
11,sim_011,2.25,2.25,2.25,-4.40153206033794,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.09139452147779,3.80907845804096,4.09139452147779,2.13312976053023,20.1470445557356,-10.9504905247137,NaN,10.9504905247137,0,144,-7.14141206667275,-4.40153206033794,4.40153206033794,0.602453312995749,-4.09139452147779,-10.9504905247137,NaN,0.602453312995749,3.80907845804095,-0.0219472566283199,NaN,3.80907845804096,-10.9504905247137,NaN,15.8244349346803,41.7505944028418,15.8949169496869,16.8615101996022,20.359282252174,3.31607522840624
12,sim_012,2.25,2.25,2.25,-3.26188727140773,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.98593238812517,3.39282442355956,3.98593238812517,1.2134398896501,11.6339340794526,-10.751970209692,NaN,10.751970209692,0,146,-7.35914578613242,-3.26188727140773,3.26188727140773,0.68691916989749,-3.98593238812517,-10.751970209692,NaN,0.68691916989749,3.39282442355955,-0.0229755490102903,NaN,3.39282442355956,-10.751970209692,NaN,16.9223483530171,43.7492300849884,18.4762622562722,14.2568606275206,19.8300425717461,3.88373916949126
13,sim_013,2.25,2.25,2.25,-5.55855701900998,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.94834913493495,3.63828403703013,3.94834913493495,2.53333792509369,12.0544930464523,-10.76108405207,NaN,10.76108405207,0,148,-7.12280001503983,-5.55855701900998,5.55855701900998,0.52731745704017,-3.94834913493495,-10.76108405207,NaN,0.52731745704017,3.63828403703013,-0.0234490227765001,NaN,3.63828403703013,-10.76108405207,NaN,16.3859335174644,43.2851948751545,14.7676661263725,16.3450256718317,18.7509115581748,3.42245322429102
14,sim_014,2.25,2.25,2.25,-2.48357705724211,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.21644281510611,3.54063746316197,4.21644281510611,0.606605047947616,12.7329578334238,-9.94636421646853,NaN,9.94636421646853,26,146,-6.40572675330656,-2.48357705724211,2.48357705724211,0.751313421449493,-4.21644281510611,-9.94636421646853,NaN,0.751313421449493,3.39609343534913,-0.0291308638731502,NaN,3.54063746316197,-9.94636421646853,NaN,17.8063755660385,43.3069503778924,15.4323455846463,12.1504693407809,18.0062541066992,4.14301986320189
15,sim_015,2.25,2.25,2.25,-5.13305326438115,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.75316415317812,3.60633235918803,3.75316415317812,2.16246065720761,16.1838594733838,-11.1651431217717,NaN,11.1651431217717,0,150,-7.55881076258367,-5.13305326438115,5.13305326438115,0.55379284043119,-3.75316415317812,-11.1651431217717,NaN,0.55379284043119,3.60633235918803,-0.01914782350552,NaN,3.60633235918803,-11.1651431217717,NaN,16.2484833351943,45.9095699486102,16.9715098971941,16.5259113259517,17.6836489843501,4.43057769514614
16,sim_016,2.25,2.25,2.25,-5.20067011259699,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.68014232691939,3.4066890686313,3.68014232691939,2.11901648795652,12.4319545908874,-10.4454492953581,NaN,10.4454492953581,0,150,-7.03876022672676,-5.20067011259699,5.20067011259699,0.54949847865431,-3.68014232691939,-10.4454492953581,NaN,0.54949847865431,3.4066890686313,-0.0181114081482097,NaN,3.4066890686313,-10.4454492953581,NaN,16.5501571656932,42.8423291779407,15.6306010340953,15.782342071591,16.9838179809998,4.31832078010456
17,sim_017,2.25,2.25,2.25,-3.56261855684733,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.93057615487564,3.31939155735442,3.93057615487564,1.41021214631533,10.2761985283344,-0.00952335321631015,NaN,0.00952335321631015,22,0,3.30986820413811,-3.56261855684733,3.56261855684733,0.663543000279719,-3.93057615487564,-0.00952335321631015,NaN,0.663543000279719,3.30986820413811,-0.0246333317479497,NaN,3.31939155735442,-0.00952335321631015,NaN,17.3017103159418,42.2243301969539,14.6855013951164,12.1100712777024,18.4202594306363,2.59098798984093
18,sim_018,2.25,2.25,2.25,-7.77512996766613,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.93600249434641,3.56049541389743,3.93600249434641,3.14291240026513,9.98310645592494,-11.5005149115905,NaN,11.5005149115905,0,148,-7.94001949769311,-7.77512996766613,7.77512996766613,0.40854838834266,-3.93600249434641,-11.5005149115905,NaN,0.40854838834266,3.56049541389742,-0.0234223706644197,NaN,3.56049541389743,-11.5005149115905,NaN,14.705249644694,45.9370459184773,14.8049725791932,15.1350063397284,18.4118123880345,2.63344219148021
19,sim_019,2.25,2.25,2.25,-3.30696701756812,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.19630432605927,3.45093926324135,4.19630432605927,1.4636954174267,10.7899523884247,-10.9656838678526,NaN,10.9656838678526,0,142,-7.51474460461129,-3.30696701756812,3.30696701756812,0.683363296540154,-4.19630432605927,-10.9656838678526,NaN,0.683363296540154,3.45093926324135,-0.0245764819188801,NaN,3.45093926324135,-10.9656838678526,NaN,16.4360202924554,43.6761196855517,16.889032775409,13.3565398139625,21.2206234939817,4.07379580657954
20,sim_020,2.25,2.25,2.25,-6.02991488997297,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.64746072137477,3.48416653755123,3.64746072137477,2.40117391297321,14.5027015670276,-11.1602022368158,NaN,11.1602022368158,0,156,-7.67603569926456,-6.02991488997297,6.02991488997297,0.499464074259907,-3.64746072137477,-11.1602022368158,NaN,0.499464074259907,3.48416653755123,-0.0202079716788899,NaN,3.48416653755123,-11.1602022368158,NaN,17.2005844055512,46.1115149696691,15.5445542565205,16.2771484717621,16.9434133783829,2.3738565737356
21,sim_021,2.25,2.25,2.25,-5.23524742918151,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.09447796482576,3.41137520607874,4.09447796482576,2.54822398745307,8.82176814173758,-11.087070658289,NaN,11.087070658289,0,144,-7.67569545221024,-5.23524742918151,5.23524742918151,0.54731535001207,-4.09447796482576,-11.087070658289,NaN,0.54731535001207,3.41137520607874,-0.0256476544793101,NaN,3.41137520607874,-11.087070658289,NaN,15.1185770827896,44.1076844011796,15.0360889916723,13.1736656745277,19.2130996992491,3.70933996180163
22,sim_022,2.25,2.25,2.25,-4.51673055275795,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.23086742206562,3.85623001892459,4.23086742206562,2.33689427483723,20.0200486127134,-11.1719279929153,NaN,11.1719279929153,0,142,-7.31569797399075,-4.51673055275795,4.51673055275795,0.594515897653078,-4.23086742206562,-11.1719279929153,NaN,0.594515897653078,3.85623001892459,-0.02145966859125,NaN,3.85623001892459,-11.1719279929153,NaN,16.9746066172571,41.3667336402665,14.8397220848379,16.5501349869897,21.5830966434712,3.14075639383854
23,sim_023,2.25,2.25,2.25,-3.48399501710283,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.59068051798076,3.19957363718426,3.59068051798076,1.00745226994849,10.6022649689021,-9.40508162225665,NaN,9.40508162225665,0,146,-6.20550798507239,-3.48399501710283,3.48399501710283,0.669576571296416,-3.59068051798076,-9.40508162225665,NaN,0.669576571296416,3.19957363718426,-0.0242963984847999,NaN,3.19957363718426,-9.40508162225665,NaN,15.9297721794761,40.0171349496212,17.2605998390054,14.8379875664437,19.3214763954107,3.52112047300093
24,sim_024,2.25,2.25,2.25,-5.02601062167947,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.53239213922067,3.06030183372254,3.53239213922067,1.89348354232392,5.76568572977912,-10.4631410218806,NaN,10.4631410218806,0,152,-7.40283918815806,-5.02601062167947,5.02601062167947,0.560659866035368,-3.53239213922067,-10.4631410218806,NaN,0.560659866035368,3.06030183372254,-15.2696381438921,NaN,3.06030183372254,-10.4631410218806,NaN,17.3315705012205,45.5717378638622,16.6307132838133,12.0316792847216,16.8314889570456,3.36414788331844
