"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.60633235918803
2,3.5808540971244
4,3.55322044642331
6,3.52396380504055
8,3.49361450468397
10,3.46267997445013
12,3.43162231798894
14,3.4008352335073
16,3.37062138733111
18,3.34117147026499
20,3.3125461917105
22,3.28466237765924
24,3.25728412791015
26,3.23001966634316
28,3.20232411594666
30,3.17350799267276
32,3.14275079147504
34,3.10911868403255
36,3.07158509906783
38,3.02905283333798
40,2.98037634488976
42,2.92438299288314
44,2.85989218076889
46,2.78573159694644
48,2.70074999533111
50,2.60382618946724
52,2.49387412836375
54,2.36984406951354
56,2.23071996188277
58,2.07551320212552
60,1.90325293740588
62,1.71297306562363
64,1.50369603536908
66,1.27441347816504
68,1.02406361583312
70,0.751505273606748
72,0.455488188043135
74,0.134619116309986
76,-0.212676986694537
78,-0.588201777372042
80,-0.994035803177867
82,-1.43260031694289
84,-1.90673146628472
86,-2.41977073130713
88,-2.97567683387559
90,-3.5791660465114
92,-4.23588981983455
94,-4.95266052209585
96,-5.73773648509851
98,-6.60117247039702
100,-7.55521975112592
102,-8.61468917390692
104,-9.7969789774897
106,-11.1208492649608
108,-12.6012187873056
110,-14.2321801872886
112,-15.9385512716459
114,-17.4691889924229
116,-18.319858526071
118,-18.0844807569441
120,-17.0034651851784
122,-15.6190491222393
124,-14.2620610212006
126,-13.0482708281426
128,-11.9983725349668
130,-11.1021434398225
132,-10.3421553018108
134,-9.70134637211569
136,-9.16502501190908
138,-8.72107726894846
140,-8.3596600925182
142,-8.07280307061784
144,-7.85404801858683
146,-7.69815657147067
148,-7.60088420567001
150,-7.55881076258367
152,-7.5692170135962
154,-7.62999859010911
156,-7.73961081705634
158,-7.89704005702258
160,-8.1017989897947
162,-8.35394487960824
164,-8.65412143806516
166,-9.00362651695306
168,-9.40450971717565
170,-9.85970623089486
172,-10.3732159417542
174,-10.9503398660122
176,-11.5979885772937
178,-12.3250763257962
180,-13.1430008929312
