"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.23052421103127
2,3.2173174243047
4,3.20059757838311
6,3.18024129619997
8,3.15614417903752
10,3.12822348435357
12,3.09642107545137
14,3.06070661239812
16,3.02108092543447
18,2.97757947996646
20,2.93027580632124
22,2.8792847284945
24,2.82476518549095
26,2.76692239877332
28,2.70600910299827
30,2.64232552893889
32,2.57621781266275
34,2.50807450991732
36,2.43832092593159
38,2.36741103472213
40,2.29581686315238
42,2.22401535504229
44,2.15247290652991
46,2.08162796661141
48,2.01187231058138
50,1.94353179693776
52,1.87684758387308
54,1.81195888267408
56,1.74888833917224
58,1.68753104697426
60,1.6276480070514
62,1.56886457217824
64,1.5106740806194
66,1.45244653006719
68,1.39344181190159
70,1.33282675476245
72,1.26969504186255
74,1.20308898061412
76,1.1320221131821
78,1.05550174717481
80,0.972550633405703
82,0.88222719607902
84,0.783643904981814
86,0.675983549173688
88,0.558513313483499
90,0.430596665605532
92,0.291703131163603
94,0.141416069492094
96,-0.020561430422993
98,-0.194402429384196
100,-0.3801537174618
102,-0.577735053937682
104,-0.786940063445474
106,-1.00743881226056
108,-1.23878210375647
110,-1.48040752855187
112,-1.73164727840206
114,-1.99173768051587
116,-2.25983033003178
118,-2.53500459533392
120,-2.81628115019428
122,-3.10263605937796
124,-3.39301482576222
126,-3.68634571601362
128,-3.98155163856225
130,-4.27755987035474
132,-4.57330903059512
134,-4.86775288441984
136,-5.15986081979653
138,-5.44861515725569
140,-5.73300579384379
142,-6.01202301185641
144,-6.28464955860878
146,-6.5498532873153
148,-6.8065817100031
150,-7.05375973146766
152,-7.29029160290076
154,-7.51506776528271
156,-7.72697677326009
158,-7.92492194428892
160,-8.10784182456561
162,-8.27473307207503
164,-8.42467399895955
166,-8.55684685112257
168,-8.6705569698038
170,-8.76524728034141
172,-8.84050705005123
174,-8.89607447649938
176,-8.93183331278575
178,-8.94780430786617
180,-8.94413265519948
