"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.60184061506206
2,3.59911046178408
4,3.59486407550987
6,3.58945616060305
8,3.5831754376948
10,3.57622692043186
12,3.56871609188284
14,3.56063593551703
16,3.55185760852522
18,3.542125296155
20,3.53105547966794
22,3.51814052197109
24,3.50275616219258
26,3.48417224885185
28,3.46156585735898
30,3.43403584513981
32,3.40061789663847
34,3.36029918851743
36,3.31203194174099
38,3.25474529708171
40,3.18735512943522
42,3.10877158328382
44,3.0179042513666
46,2.91366502186941
48,2.79496868268945
50,2.66073139557255
52,2.50986714236161
54,2.34128220619666
56,2.15386768874089
58,1.94648998628592
60,1.71797905745266
62,1.46711421571114
64,1.19260707130683
66,0.893081127135979
68,0.567047397077403
70,0.212875256964462
72,-0.17124244891515
74,-0.587331243484416
76,-1.03768524253012
78,-1.52492747422876
80,-2.05208218986473
82,-2.62266102667342
84,-3.24076423508017
86,-3.91119606697826
88,-4.63958793652538
90,-5.43250984777932
92,-6.29752017373326
94,-7.24303400770385
96,-8.27772985887632
98,-9.40884714804261
100,-10.6379064877684
102,-11.9507125233647
104,-13.2960708490628
106,-14.5492583926781
108,-15.4830309323935
110,-15.8366556621089
112,-15.5254345710233
114,-14.7318433290483
116,-13.7238555573994
118,-12.6890938724365
120,-11.7191697620728
122,-10.8482428998441
124,-10.0837306072668
126,-9.42230432388424
128,-8.85708312813586
130,-8.38063480987892
132,-7.9861313428253
134,-7.66772236985501
136,-7.42059154149303
138,-7.24089636405542
140,-7.12567723157149
142,-7.07277142251524
144,-7.08074643157991
146,-7.14885823124467
148,-7.27703702709091
150,-7.46590280141333
152,-7.71681420358183
154,-8.03195675577627
156,-8.41447998015343
158,-8.86869834287707
160,-9.40037861079002
162,-10.0171474212193
164,-10.7290687657307
166,-11.5494616378997
168,-12.4960463620812
170,-13.5924880035312
172,-14.8701930163488
174,-16.3691746660268
176,-18.1322505030819
178,-20.1675733979284
180,-22.2856526730012
