f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,S11_Source,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,Gmain_Source,Ldir,Ldri,L1,Sdir,Sref,Wdri,SimulationIndex,SimulationID
2.25,2.25,2.25,-6.84803525534813,-6.84803525534813,6.84803525534813,0.45456734852779,ATK_OBJ_S11_F0,3.70574997441351,2.70049964682818,15.9277684823798,ATK_OBJ_PeakGain,16.4780976193736,46.4429218984761,15.4436123377551,16.4620281331706,17.0686230835941,2.02689807152893,1,sim_001
2.25,2.25,2.25,-2.89950911631129,-2.89950911631129,2.89950911631129,0.716183884253838,ATK_OBJ_S11_F0,4.13162964896155,1.00763836411656,13.6355801352589,ATK_OBJ_PeakGain,15.9995949675671,40.966908592481,17.4209010221495,15.6729083353522,21.5262843933931,4.09809888152892,2,sim_002
2.25,2.25,2.25,-3.05239832694026,-3.05239832694026,3.05239832694026,0.703687900499743,ATK_OBJ_S11_F0,3.82520835930312,0.856602606729149,11.6787326491249,ATK_OBJ_PeakGain,17.4887773994625,40.8281330595282,16.6544634695837,13.400812577224,19.4562031749708,3.99731068238866,3,sim_003
2.25,2.25,2.25,-3.5700707774282,-3.5700707774282,3.5700707774282,0.662973945370621,ATK_OBJ_S11_F0,4.11883963664428,1.60432885006279,9.72525944580143,ATK_OBJ_PeakGain,14.6422223844688,44.6105413149361,18.1869487529116,13.8283564046151,20.5293332891881,3.27838539377689,4,sim_004
2.25,2.25,2.25,-2.92823468638985,-2.92823468638985,2.92823468638985,0.713819266466224,ATK_OBJ_S11_F0,3.9712782882755,0.877332421356856,8.00018120626322,ATK_OBJ_PeakGain,14.8051612939182,41.2561763240714,17.2132123364901,12.533526977947,21.2421370371577,3.6653476338102,5,sim_005
2.25,2.25,2.25,-4.75177307405256,-4.75177307405256,4.75177307405256,0.578643856162921,ATK_OBJ_S11_F0,3.9635420301849,2.19287697547091,9.63449602049461,ATK_OBJ_PeakGain,17.5081743969223,44.2343806128009,15.2076773720214,12.2611671557439,19.4754594140151,3.15401279021361,6,sim_006
2.25,2.25,2.25,-6.74798886264993,-6.74798886264993,6.74798886264993,0.459833446384075,ATK_OBJ_S11_F0,3.55344966035248,2.52175965381877,5.15938402904357,ATK_OBJ_PeakGain,14.6918979214802,46.1519160179868,15.3125469300489,12.4532800271857,16.5027896678061,3.56036952255499,7,sim_007
2.25,2.25,2.25,-4.32040284817236,-4.32040284817236,4.32040284817236,0.6081067968687,ATK_OBJ_S11_F0,3.75886587319323,1.75369206140923,15.3962396164157,ATK_OBJ_PeakGain,17.0452442349556,43.3453506270756,17.9804329962926,16.3016979197147,18.1039046774329,3.79777727743251,8,sim_008
2.25,2.25,2.25,-3.3406433707316,-3.3406433707316,3.3406433707316,0.680718935435103,ATK_OBJ_S11_F0,3.62157911952151,0.918261677578393,15.2477091866125,ATK_OBJ_PeakGain,15.8520568617876,40.557490957181,17.6782113997705,16.9377271419122,18.8702799753608,4.20713353563102,9,sim_009
2.25,2.25,2.25,-5.23048564910848,-5.23048564910848,5.23048564910848,0.547615481599161,ATK_OBJ_S11_F0,3.74416841900345,2.19587641433543,7.50472993226724,ATK_OBJ_PeakGain,17.4142243156087,45.8653031628015,16.1160111731256,12.703781401439,17.2474507773521,4.33214787045286,10,sim_010
2.25,2.25,2.25,-4.40153206033794,-4.40153206033794,4.40153206033794,0.602453312995749,ATK_OBJ_S11_F0,4.09139452147779,2.13312976053023,20.1470445557356,ATK_OBJ_PeakGain,15.8244349346803,41.7505944028418,15.8949169496869,16.8615101996022,20.359282252174,3.31607522840624,11,sim_011
2.25,2.25,2.25,-3.26188727140773,-3.26188727140773,3.26188727140773,0.68691916989749,ATK_OBJ_S11_F0,3.98593238812517,1.2134398896501,11.6339340794526,ATK_OBJ_PeakGain,16.9223483530171,43.7492300849884,18.4762622562722,14.2568606275206,19.8300425717461,3.88373916949126,12,sim_012
2.25,2.25,2.25,-5.55855701900998,-5.55855701900998,5.55855701900998,0.52731745704017,ATK_OBJ_S11_F0,3.94834913493495,2.53333792509369,12.0544930464523,ATK_OBJ_PeakGain,16.3859335174644,43.2851948751545,14.7676661263725,16.3450256718317,18.7509115581748,3.42245322429102,13,sim_013
2.25,2.25,2.25,-2.48357705724211,-2.48357705724211,2.48357705724211,0.751313421449493,ATK_OBJ_S11_F0,4.21644281510611,0.606605047947616,12.7329578334238,ATK_OBJ_PeakGain,17.8063755660385,43.3069503778924,15.4323455846463,12.1504693407809,18.0062541066992,4.14301986320189,14,sim_014
2.25,2.25,2.25,-5.13305326438115,-5.13305326438115,5.13305326438115,0.55379284043119,ATK_OBJ_S11_F0,3.75316415317812,2.16246065720761,16.1838594733838,ATK_OBJ_PeakGain,16.2484833351943,45.9095699486102,16.9715098971941,16.5259113259517,17.6836489843501,4.43057769514614,15,sim_015
2.25,2.25,2.25,-5.20067011259699,-5.20067011259699,5.20067011259699,0.54949847865431,ATK_OBJ_S11_F0,3.68014232691939,2.11901648795652,12.4319545908874,ATK_OBJ_PeakGain,16.5501571656932,42.8423291779407,15.6306010340953,15.782342071591,16.9838179809998,4.31832078010456,16,sim_016
2.25,2.25,2.25,-3.56261855684733,-3.56261855684733,3.56261855684733,0.663543000279719,ATK_OBJ_S11_F0,3.93057615487564,1.41021214631533,10.2761985283344,ATK_OBJ_PeakGain,17.3017103159418,42.2243301969539,14.6855013951164,12.1100712777024,18.4202594306363,2.59098798984093,17,sim_017
2.25,2.25,2.25,-7.77512996766613,-7.77512996766613,7.77512996766613,0.40854838834266,ATK_OBJ_S11_F0,3.93600249434641,3.14291240026513,9.98310645592494,ATK_OBJ_PeakGain,14.705249644694,45.9370459184773,14.8049725791932,15.1350063397284,18.4118123880345,2.63344219148021,18,sim_018
2.25,2.25,2.25,-3.30696701756812,-3.30696701756812,3.30696701756812,0.683363296540154,ATK_OBJ_S11_F0,4.19630432605927,1.4636954174267,10.7899523884247,ATK_OBJ_PeakGain,16.4360202924554,43.6761196855517,16.889032775409,13.3565398139625,21.2206234939817,4.07379580657954,19,sim_019
2.25,2.25,2.25,-6.02991488997297,-6.02991488997297,6.02991488997297,0.499464074259907,ATK_OBJ_S11_F0,3.64746072137477,2.40117391297321,14.5027015670276,ATK_OBJ_PeakGain,17.2005844055512,46.1115149696691,15.5445542565205,16.2771484717621,16.9434133783829,2.3738565737356,20,sim_020
2.25,2.25,2.25,-5.23524742918151,-5.23524742918151,5.23524742918151,0.54731535001207,ATK_OBJ_S11_F0,4.09447796482576,2.54822398745307,8.82176814173758,ATK_OBJ_PeakGain,15.1185770827896,44.1076844011796,15.0360889916723,13.1736656745277,19.2130996992491,3.70933996180163,21,sim_021
