"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.6092125274829
2,3.58626379452533
4,3.56211113779993
6,3.53715631842075
8,3.51176028690359
10,3.48622414830978
12,3.46077022347893
14,3.43552426711587
16,3.41049990288738
18,3.38558624132847
20,3.36053945970643
22,3.33497885856453
24,3.30838759386582
26,3.28011795094874
28,3.24940071371342
30,3.21535792249615
32,3.1770181306349
34,3.13333317403841
36,3.08319545850461
38,3.02545483355631
40,2.95893423942664
42,2.88244346284672
44,2.79479049570657
46,2.694790140443
48,2.58126963429231
50,2.45307116385702
52,2.30905120896196
54,2.1480766911121
56,1.96901790956554
58,1.77073823021732
60,1.55208045164869
62,1.31184970974865
64,1.04879269587211
66,0.76157284928787
68,0.448741035047378
70,0.108701021896262
72,-0.260331184292365
74,-0.660375438185206
76,-1.09374472008564
78,-1.56311388910117
80,-2.07160298671138
82,-2.62287905242007
84,-3.22128140095107
86,-3.87197613025216
88,-4.58114554588905
90,-5.35621525587621
92,-6.20611090376435
94,-7.1415049856623
96,-8.17492840220884
98,-9.32039262903918
100,-10.5915603366912
102,-11.9959034217796
104,-13.518345040237
106,-15.080524307054
108,-16.463967934822
110,-17.2715082754179
112,-17.1765266278904
114,-16.313576260405
116,-15.1029513427287
118,-13.8549388472582
120,-12.7042525760886
122,-11.6897923268357
124,-10.8127961391147
126,-10.0625096912774
128,-9.42581159746904
130,-8.89045761693796
132,-8.44596378523807
134,-8.08366211639567
136,-7.79649894183079
138,-7.57878261884083
140,-7.42595079870672
142,-7.33437663710318
144,-7.30121522911109
146,-7.32428594902674
148,-7.40198545883326
150,-7.53322688398228
152,-7.71740188137712
154,-7.95436362490591
156,-8.24442998110616
158,-8.58840731587318
160,-8.98763644872322
162,-9.44406318315534
164,-9.9603363583155
166,-10.5399358749257
168,-11.1873301391132
170,-11.908153210346
172,-12.7093678756256
174,-13.599320523223
176,-14.5874441676171
178,-15.6829958581933
180,-16.8913062312249
