"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-1.38340310963264
1.005,-1.27526716495916
1.01,-1.18043680460951
1.015,-1.09720311265596
1.02,-1.02413623817965
1.025,-0.960035010346298
1.03,-0.903886284997775
1.035,-0.854831913571063
1.04,-0.812141712953449
1.045,-0.775191187268696
1.05,-0.743443039351068
1.055,-0.716431732316523
1.06,-0.693750535703035
1.065,-0.675040627246127
1.07,-0.659981928362302
1.075,-0.648285434344183
1.08,-0.639686862969889
1.085,-0.633941490450193
1.09,-0.630820073541427
1.095,-0.630105773220154
1.1,-0.631592000659848
1.105,-0.635081102804777
1.11,-0.640383795408454
1.115,-0.647319239071465
1.12,-0.655715641700353
1.125,-0.665411261777637
1.13,-0.676255683160278
1.135,-0.688111235234956
1.14,-0.700854442579269
1.145,-0.714377405239142
1.15,-0.728589032928873
1.155,-0.743416081926797
1.16,-0.758803969992438
1.165,-0.774717370199227
1.17,-0.791140607478588
1.175,-0.808077900785392
1.18,-0.825553508630638
1.185,-0.843611846387963
1.19,-0.862317650863401
1.195,-0.881756272069066
1.2,-0.902034175110073
1.205,-0.923279737796685
1.21,-0.945644433205988
1.215,-0.969304491993328
1.22,-0.994463147648322
1.225,-1.02135357967357
1.23,-1.05024268496133
1.235,-1.08143582584317
1.24,-1.11528272247536
1.245,-1.15218467313663
1.25,-1.19260329012591
1.255,-1.23707091502022
1.26,-1.2862027949997
1.265,-1.34071090697668
1.27,-1.4014189099087
1.275,-1.46927691312095
1.28,-1.54537326385311
1.285,-1.63093785637794
1.29,-1.72732667890569
1.295,-1.83596908478653
1.3,-1.95824571359489
1.305,-2.09524416403334
1.31,-2.24731164238659
1.315,-2.41329780434294
1.32,-2.58939000295066
1.325,-2.76757033489567
1.33,-2.93411313476307
1.335,-3.06928430770327
1.34,-3.15011803079446
1.345,-3.157471082758
1.35,-3.08513861686764
1.355,-2.9448486316225
1.36,-2.76237279318502
1.365,-2.56734249194177
1.37,-2.38401554628598
1.375,-2.22739031199299
1.38,-2.10398130718784
1.385,-2.01453876994902
1.39,-1.95671165724845
1.395,-1.92691126960467
1.4,-1.92137782510259
1.405,-1.93668944594486
1.41,-1.96994592663575
1.415,-2.01878705754687
1.42,-2.08133878091166
1.425,-2.15613590757266
1.43,-2.24204429953155
1.435,-2.33819178141622
1.44,-2.44391038823038
1.445,-2.5586896059946
1.45,-2.68213915657046
1.455,-2.81395963173082
1.46,-2.95391939701897
1.465,-3.10183642462635
1.47,-3.25756396941349
1.475,-3.42097923056895
1.48,-3.59197433047913
1.485,-3.77044909239097
1.49,-3.95630521450535
1.495,-4.14944152655088
1.5,-4.34975008162794
1.505,-4.55711288628332
1.51,-4.77139910952204
1.515,-4.99246264007161
1.52,-5.22013988326023
1.525,-5.45424770637003
1.53,-5.69458145587022
1.535,-5.94091298279975
1.54,-6.19298862480689
1.545,-6.45052710585664
1.55,-6.7132173281762
1.555,-6.98071604633433
1.56,-7.25264543109269
1.565,-7.52859055140397
1.57,-7.8080968271341
1.575,-8.09066753305155
1.58,-8.37576146638291
1.585,-8.66279092539103
1.59,-8.95112018401744
1.595,-9.24006468587768
1.6,-9.52889121704535
1.605,-9.81681934717153
1.61,-10.1030244473863
1.615,-10.3866425947852
1.62,-10.6667776500246
1.625,-10.9425107395083
1.63,-11.2129122808562
1.635,-11.4770565565194
1.64,-11.7340386667797
1.645,-11.9829934874065
1.65,-12.2231160338385
1.655,-12.45368241521
1.66,-12.6740703759626
1.665,-12.8837783004991
1.67,-13.0824415247654
1.675,-13.2698448763089
1.68,-13.4459305556487
1.685,-13.610800763873
1.69,-13.7647148446269
1.695,-13.9080811008609
1.7,-14.0414438204295
1.705,-14.1654663557419
1.71,-14.2809113182443
1.715,-14.3886190517531
1.72,-14.4894855402422
1.725,-14.5844408013322
