"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.3846182843073
2,3.37048924536946
4,3.35284644000221
6,3.3315627062911
8,3.30653541744634
10,3.27768841009675
12,3.24497400372497
14,3.20837508788751
16,3.16790722674882
18,3.12362070120244
20,3.07560237801929
22,3.02397726407849
24,2.96890957339566
26,2.91060310763085
28,2.84930072999656
30,2.78528270160645
32,2.71886365239634
34,2.65038798003733
36,2.58022351359452
38,2.50875334682798
40,2.43636583981598
42,2.36344290502538
44,2.29034682952407
46,2.21740602925034
48,2.14490027093741
50,2.07304601655432
52,2.00198262725921
54,1.93176019388551
56,1.86232972848381
58,1.79353635309996
60,1.72511596309687
62,1.65669563689968
64,1.58779783302027
66,1.51784818336977
68,1.44618648379397
70,1.37208031895506
72,1.29474065252314
74,1.213338669952
76,1.12702317638571
78,1.03493791629699
80,0.936238280004173
82,0.830106979594242
84,0.715768398383902
86,0.592501431988345
88,0.459650737020182
90,0.316636380757454
92,0.162961940374729
94,-0.00177886541245556
96,-0.177896913437859
98,-0.365603681611612
100,-0.565008431592078
102,-0.776116492626507
104,-0.998828588230732
106,-1.23294116363884
108,-1.4781476834452
110,-1.73404087263578
112,-2.00011586794647
114,-2.27577422881375
116,-2.56032872806195
118,-2.85300880367033
120,-3.15296650844024
122,-3.45928275048758
124,-3.77097358278169
126,-4.08699628453622
128,-4.4062549914851
130,-4.7276056847125
132,-5.04986044367845
134,-5.37179100715382
136,-5.69213185659664
138,-6.00958322153101
140,-6.32281457835871
142,-6.6304693386909
144,-6.93117146421244
146,-7.22353466949747
148,-7.50617466077409
150,-7.77772450581394
152,-8.03685276310927
154,-8.2822834727852
156,-8.51281661042329
158,-8.72734722831283
160,-8.9248813551402
162,-9.10454686791819
164,-9.26559801373876
166,-9.40741300506428
168,-9.52948503835268
170,-9.63140804193965
172,-9.7128592774475
174,-9.77358144862001
176,-9.81336710888129
178,-9.83204786697954
180,-9.82949020294531
