"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.89058023446288
2,3.88266946090648
4,3.87199049814759
6,3.85875630216996
8,3.84315665976407
10,3.8253468998954
12,3.80543607862766
14,3.78347520498137
16,3.75944613036868
18,3.73325173651189
20,3.70470801861698
22,3.67353856957361
24,3.63937183083834
26,3.60174129668331
28,3.56008865655119
30,3.51376965485399
32,3.46206225899821
34,3.4041765727791
36,3.33926582674742
38,3.26643772631793
40,3.18476544181309
42,3.09329757556147
44,2.99106652820183
46,2.87709479559642
48,2.7503988450119
50,2.60999033170847
52,2.45487451459937
54,2.28404580506341
56,2.09648043203614
58,1.89112622709874
60,1.6668895245976
62,1.42261913319505
64,1.15708726510203
66,0.868967204139783
68,0.55680734757698
70,0.219001059781186
72,-0.146248485714751
74,-0.540969643970452
76,-0.967471437497738
78,-1.42840271007026
80,-1.92682427845538
82,-2.46629804789201
84,-3.05099827245128
86,-3.68585153677559
88,-4.37671334737591
90,-5.13058960995327
92,-5.95590836844841
94,-6.86283458944547
96,-7.86358126617143
98,-8.97255682672496
100,-10.2058721187671
102,-11.5788486715326
104,-13.0977506721227
106,-14.7358592647577
108,-16.3736457368972
110,-17.6989675470045
112,-18.2331461487187
114,-17.7723843019213
116,-16.6669606376948
118,-15.3717030673256
120,-14.1309936321355
122,-13.027406865222
124,-12.0742533221219
126,-11.261853425845
128,-10.5750316419284
130,-9.99895675097184
132,-9.52078406411892
134,-9.12987168708583
136,-8.81755957252526
138,-8.57685534388845
140,-8.40213947472462
142,-8.28892004654594
144,-8.23363917693452
146,-8.23352486777119
148,-8.2864807601825
150,-8.39100737801787
152,-8.54615017414407
154,-8.75147148198498
156,-9.00704517102276
158,-9.31347442633431
160,-9.67193469767942
162,-10.0842455935368
164,-10.5529774233221
166,-11.0816002481264
168,-11.6746855032373
170,-12.3381716827311
172,-13.0797036012917
174,-13.9090416990692
176,-14.8384918097549
178,-15.88316373546
180,-17.0604444748003
