"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-1.46366867460711
1.005,-1.33699612657016
1.01,-1.22857996260248
1.015,-1.13616802574868
1.02,-1.05764189539779
1.025,-0.991058197595908
1.03,-0.934669496492022
1.035,-0.88693016334891
1.04,-0.846491870592
1.045,-0.81219244072086
1.05,-0.783040873259893
1.055,-0.75820057481194
1.06,-0.736972166760324
1.065,-0.718776745224957
1.07,-0.703140102600893
1.075,-0.689678165992371
1.08,-0.678083740858204
1.085,-0.668114546414033
1.09,-0.659582474639516
1.095,-0.652343982651291
1.1,-0.646291527462303
1.105,-0.641345964074667
1.11,-0.63744984576883
1.115,-0.634561584265186
1.12,-0.632650443375119
1.125,-0.631692350253876
1.13,-0.631666511998359
1.135,-0.632552821799504
1.14,-0.634330028909577
1.145,-0.636974631950519
1.15,-0.640460437825815
1.155,-0.644758711243323
1.16,-0.649838825062121
1.165,-0.655669311364141
1.17,-0.66221920865897
1.175,-0.669459602481656
1.18,-0.677365264564942
1.185,-0.685916308819014
1.19,-0.695099799154165
1.195,-0.704911263164253
1.2,-0.715356085342382
1.205,-0.726450772561761
1.21,-0.738224102141917
1.215,-0.750718178482875
1.22,-0.76398943797123
1.225,-0.778109654016257
1.23,-0.793167005368334
1.235,-0.809267282286401
1.24,-0.826535317862677
1.245,-0.845116747280497
1.25,-0.865180217554154
1.255,-0.886920196085839
1.26,-0.91056055992021
1.265,-0.936359190369025
1.27,-0.964613850272532
1.275,-0.99566968165979
1.28,-1.0299287224055
1.285,-1.06786188182982
1.29,-1.11002379174505
1.295,-1.15707076441647
1.3,-1.20978154412222
1.305,-1.2690792426259
1.31,-1.33605005474955
1.315,-1.41194871082678
1.32,-1.49816991700195
1.325,-1.59614625043769
1.33,-1.70710409940905
1.335,-1.83157632327404
1.34,-1.9685662551523
1.345,-2.11437356465477
1.35,-2.26147676041933
1.355,-2.39853422453689
1.36,-2.51289168807795
1.365,-2.59564003275172
1.37,-2.64629411031093
1.375,-2.67315830356873
1.38,-2.68906314756928
1.385,-2.70617030911261
1.39,-2.7330857908383
1.395,-2.77457070037882
1.4,-2.83254281843066
1.405,-2.90724385349401
1.41,-2.99810758459076
1.415,-3.10428213985295
1.42,-3.22490042217742
1.425,-3.35919941093335
1.43,-3.50655912529677
1.435,-3.66650321061908
1.44,-3.83868366973559
1.445,-4.0228609258713
1.45,-4.21888431635342
1.455,-4.42667503642282
1.46,-4.64621208218295
1.465,-4.87752109281203
1.47,-5.12066574436227
1.475,-5.37574128505489
1.48,-5.64286981762121
1.485,-5.92219697629975
1.49,-6.21388969075201
1.495,-6.51813476601974
1.5,-6.83513803242295
1.505,-7.16512383009016
1.51,-7.50833458819722
1.515,-7.8650302369881
1.52,-8.23548714804172
1.525,-8.61999623003557
1.53,-9.01885970603837
1.535,-9.43238595364591
1.54,-9.8608815865608
1.545,-10.3046396760649
1.55,-10.763922627914
1.555,-11.2389377129748
1.56,-11.7298025620253
1.565,-12.2364970405423
1.57,-12.7587967961076
1.575,-13.2961824418691
1.58,-13.8477169331521
1.585,-14.4118825620654
1.59,-14.9863689121072
1.595,-15.5678055930191
1.6,-16.1514412568861
1.605,-16.7307873110527
1.61,-17.297275790047
1.615,-17.8400290944815
1.62,-18.3458991697417
1.625,-18.7999797110609
1.63,-19.1867733785935
1.635,-19.4920402402736
1.64,-19.7050472572495
1.645,-19.820601220207
1.65,-19.8401299884146
1.655,-19.7713663052556
1.66,-19.6267679653691
1.665,-19.4212977933475
1.67,-19.1702911040728
1.675,-18.8878912543093
1.68,-18.586184665115
1.685,-18.2749211479816
1.69,-17.9616153279869
1.695,-17.6518412163715
1.7,-17.3495889575085
1.705,-17.0576092275318
1.71,-16.7777114418383
1.715,-16.5110062053581
1.72,-16.258094733066
1.725,-16.0192129592106
1.73,-15.7943391610836
1.735,-15.5832732455573
1.74,-15.385694528005
1.745,-15.2012034317106
1.75,-15.0293512863985
1.755,-14.869661378935
1.76,-14.7216436053444
1.765,-14.5848044603881
1.77,-14.4586536417707
1.775,-14.3427082058146
1.78,-14.2364949611783
1.785,-14.1395516039509
1.79,-14.0514269637334
1.795,-13.9716806329859
1.8,-13.8998821812633
1.805,-13.8356101048481
1.81,-13.7784506254758
1.815,-13.7279964255194
1.82,-13.6838453883302
1.825,-13.645599399352
1.83,-13.6128632545852
1.835,-13.5852437167886
1.84,-13.5623487555718
1.845,-13.5437870045159
1.85,-13.5291674660639
1.855,-13.5180994926521
1.86,-13.5101930699608
1.865,-13.5050594248779
1.87,-13.5023119764648
1.875,-13.5015676426398
1.88,-13.5024485082607
1.885,-13.5045838517296
1.89,-13.5076125171805
1.895,-13.5111856079359
1.9,-13.5149694645586
1.905,-13.5186488779706
1.91,-13.5219304754093
1.915,-13.5245462052128
1.92,-13.5262568364134
1.925,-13.5268553817498
1.93,-13.5261703487766
1.935,-13.5240687239254
1.94,-13.5204585990697
1.945,-13.5152913595029
1.95,-13.5085633660229
1.955,-13.5003170814501
1.96,-13.4906416124715
1.965,-13.4796726600197
1.97,-13.4675918941047
1.975,-13.4546257907141
1.98,-13.4410439877479
1.985,-13.4271572327919
1.99,-13.4133150069806
1.995,-13.3999029156641
2,-13.3873399378257
2.005,-13.3760756222155
2.01,-13.3665873092138
2.015,-13.3593774438573
2.02,-13.3549710275952
2.025,-13.3539132343942
2.03,-13.3567671906914
2.035,-13.3641118879204
2.04,-13.3765401598014
2.045,-13.3946566124584
2.05,-13.4190753408457
2.055,-13.4504171958093
2.06,-13.4893062765754
2.065,-13.5363652056069
2.07,-13.5922085858579
2.075,-13.6574338302598
2.08,-13.7326082712746
2.085,-13.8182510812316
2.09,-13.9148080340352
2.095,-14.0226164853741
2.1,-14.1418571155681
2.105,-14.2724879596559
2.11,-14.4141550873305
2.115,-14.5660731476728
2.12,-14.7268682412606
2.125,-14.8943760150039
2.13,-15.0653909612349
2.135,-15.2353710918551
2.14,-15.3981189871145
2.145,-15.5454895989459
2.15,-15.6672186866853
2.155,-15.7510164473302
2.16,-15.7831042332924
2.165,-15.7493411950708
2.17,-15.6369396126809
2.175,-15.4364986920326
2.18,-15.1438070449405
2.185,-14.7607825268956
2.19,-14.2951775716219
2.195,-13.7591716116242
2.2,-13.1673867327712
2.205,-12.5349570827236
2.21,-11.8760806747023
2.215,-11.203185515415
2.22,-10.5266242723064
2.225,-9.85472387857668
2.23,-9.19402279777094
2.235,-8.54957478991666
2.24,-7.92524724311011
2.245,-7.32397936660893
2.25,-6.74798886264993
2.255,-6.19892828742088
2.26,-5.67799806360457
2.265,-5.18602501821645
2.27,-4.72351529374606
2.275,-4.2906895790387
2.28,-3.88750735956135
2.285,-3.5136855359283
2.29,-3.16871541154553
2.295,-2.85188076354429
2.3,-2.56227853552375
2.305,-2.29884267670953
2.31,-2.06037084595557
2.315,-1.84555313110661
2.32,-1.6530016111699
2.325,-1.48127949073335
2.33,-1.32892862117065
2.335,-1.19449443613938
2.34,-1.07654761153912
2.345,-0.973702060440529
2.35,-0.884629151600904
2.355,-0.808068270511669
2.36,-0.742834012590248
2.365,-0.68782040815791
2.37,-0.642002634675331
2.375,-0.604436683783643
2.38,-0.574257430733977
2.385,-0.550675512872375
2.39,-0.532973371376164
2.395,-0.520500753683334
2.4,-0.512669918179289
2.405,-0.50895073101852
2.41,-0.508865799301577
2.415,-0.511985745950412
2.42,-0.51792469953615
2.425,-0.526336046556287
2.43,-0.536908473528066
2.435,-0.549362310951629
2.44,-0.563446179887999
2.445,-0.578933933834481
2.45,-0.595621883089058
2.455,-0.613326285301714
2.46,-0.631881083930425
2.465,-0.651135875467971
2.47,-0.670954086268469
2.475,-0.691211340337023
2.48,-0.711794000369076
2.485,-0.732597865491233
2.49,-0.753527010462433
2.495,-0.774492752467051
2.5,-0.795412733010406
2.505,-0.816210103783288
2.51,-0.836812806661594
2.515,-0.857152939240603
2.52,-0.877166198455363
2.525,-0.896791395907737
2.53,-0.915970039501354
2.535,-0.934645976873405
2.54,-0.952765096915265
2.545,-0.970275086375971
2.55,-0.987125239154766
2.555,-1.00326631640279
2.56,-1.01865045596133
2.565,-1.03323112996884
2.57,-1.0469631496562
2.575,-1.05980271642209
2.58,-1.07170751822255
2.585,-1.08263687012663
2.59,-1.09255189757069
2.595,-1.10141576039407
2.6,-1.10919391516027
2.605,-1.11585441256795
2.61,-1.12136822595149
2.615,-1.12570960598513
2.62,-1.12885645576157
2.625,-1.13079071946141
2.63,-1.13149877689849
2.635,-1.13097183537967
2.64,-1.12920630960037
2.645,-1.12620417977995
2.65,-1.12197331796752
2.655,-1.11652777248064
2.66,-1.10988800081546
2.665,-1.10208104211838
2.67,-1.09314062144207
2.675,-1.08310717952988
2.68,-1.07202782372768
2.685,-1.05995619778252
2.69,-1.04695227065654
2.695,-1.03308204697897
2.7,-1.01841720426637
2.705,-1.00303466444468
2.71,-0.987016109394638
2.715,-0.970447452095884
2.72,-0.953418276388557
2.725,-0.936021259314474
2.73,-0.918351590415716
2.735,-0.900506402230941
2.74,-0.882584225559144
2.745,-0.864684481903229
2.75,-0.846907023921348
2.755,-0.829351732800314
2.76,-0.812118179310243
2.765,-0.795305353014961
2.77,-0.779011461796095
2.775,-0.763333801593073
2.78,-0.748368694154334
2.785,-0.734211488693159
2.79,-0.720956621700705
2.795,-0.708697727815913
2.8,-0.697527793596675
2.805,-0.687539345285002
2.81,-0.678824661187903
2.815,-0.671475999089821
2.82,-0.665585829135529
2.825,-0.661247062849172
2.83,-0.65855326934648
2.835,-0.657598870326427
2.84,-0.658479306067287
2.845,-0.661291165375649
2.85,-0.666132273229072
2.855,-0.673101730699632
2.86,-0.682299902637873
2.865,-0.693828349530259
2.87,-0.707789700915312
2.875,-0.724287468755536
2.88,-0.743425800211824
2.885,-0.765309170355934
2.89,-0.790042016479768
2.895,-0.817728316812543
2.9,-0.848471117625745
2.905,-0.882372013874643
2.91,-0.919530589668099
2.915,-0.960043825943283
2.92,-1.00400548370338
2.925,-1.05150547199891
2.93,-1.10262921042289
2.935,-1.15745699615068
2.94,-1.21606338535707
2.945,-1.27851659800574
2.95,-1.34487795326729
2.955,-1.41520133979158
2.96,-1.48953272012823
2.965,-1.56790966079632
2.97,-1.65036086727662
2.975,-1.73690568393786
2.98,-1.82755348821104
2.985,-1.92230285861152
2.99,-2.02114031416997
2.995,-2.12403828457989
3,-2.23095173201951
