"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-1.24099623206362
1.005,-1.15051682658436
1.01,-1.07160368602729
1.015,-1.00325523613874
1.02,-0.944406783051054
1.025,-0.893983373557856
1.03,-0.850942194177597
1.035,-0.814304237087474
1.04,-0.783175896240579
1.045,-0.756761729361726
1.05,-0.734369889678828
1.055,-0.715411776846952
1.06,-0.699397360460652
1.065,-0.685927458624554
1.07,-0.674684056183607
1.075,-0.66541955218135
1.08,-0.657945649148954
1.085,-0.652122443040135
1.09,-0.647848141144092
1.095,-0.645049722577247
1.1,-0.64367475800062
1.105,-0.643684518979658
1.11,-0.645048431269247
1.115,-0.647739860021402
1.12,-0.651733159172322
1.125,-0.657001873146924
1.13,-0.663517947412704
1.135,-0.67125178562301
1.14,-0.680172984606973
1.145,-0.690251582978018
1.15,-0.701459672685541
1.155,-0.713773243082486
1.16,-0.727174151589774
1.165,-0.741652141549079
1.17,-0.757206854481244
1.175,-0.773849809316891
1.18,-0.791606344375357
1.185,-0.810517538583839
1.19,-0.830642146731394
1.195,-0.852058599885394
1.2,-0.874867137158696
1.205,-0.899192149688342
1.21,-0.925184832964332
1.215,-0.953026260555437
1.22,-0.982931011813489
1.225,-1.01515150910876
1.23,-1.04998324698652
1.235,-1.08777112590515
1.24,-1.12891713483544
1.245,-1.17388965462636
1.25,-1.22323466621345
1.255,-1.27758912156018
1.26,-1.33769662670686
1.265,-1.40442531308549
1.27,-1.47878718379504
1.275,-1.56195704160415
1.28,-1.65528684847468
1.285,-1.76030719281187
1.29,-1.87870006708434
1.295,-2.01221429184738
1.3,-2.16247404165636
1.305,-2.33060042305664
1.31,-2.5165307911096
1.315,-2.71790627518027
1.32,-2.92847991073393
1.325,-3.1363272493173
1.33,-3.32287668919331
1.335,-3.46469863939216
1.34,-3.53983528230298
1.345,-3.53739418730536
1.35,-3.46440547764284
1.355,-3.3438495109739
1.36,-3.20497751785044
1.365,-3.07325739331109
1.37,-2.96541209602136
1.375,-2.88953597383459
1.38,-2.84758938783679
1.385,-2.83806394552646
1.39,-2.85791949333996
1.395,-2.90372668045854
1.4,-2.97223534126161
1.405,-3.06060034189708
1.41,-3.16642858784361
1.415,-3.28774448452241
1.42,-3.42292565903206
1.425,-3.57063400752684
1.43,-3.72975279546607
1.435,-3.89933339713429
1.44,-4.07855198093102
1.445,-4.26667512044419
1.45,-4.46303291723819
1.455,-4.6669982386713
1.46,-4.87797084871317
1.465,-5.09536542421129
1.47,-5.3186026535846
1.475,-5.54710279186179
1.48,-5.78028119204786
1.485,-6.01754545043508
1.49,-6.25829389679967
1.495,-6.50191523353652
1.5,-6.74778918406265
1.505,-6.99528805283077
1.51,-7.24377912884346
1.515,-7.49262788290118
1.52,-7.74120191684737
1.525,-7.98887562156069
1.53,-8.23503549022741
1.535,-8.47908601560781
1.54,-8.72045607610475
1.545,-8.95860568746243
1.55,-9.19303296741063
1.555,-9.42328113249711
1.56,-9.64894532296985
1.565,-9.86967903610232
1.57,-10.0851999436705
1.575,-10.2952948775092
1.58,-10.4998237892318
1.585,-10.6987225259924
1.59,-10.8920043118656
1.595,-11.0797598809666
1.6,-11.2621562697474
1.605,-11.4394343373175
1.61,-11.6119051394913
1.615,-11.7799453303782
1.62,-11.9439918015733
1.625,-12.1045357914867
1.63,-12.2621167056324
1.635,-12.4173158836369
1.64,-12.5707505322951
1.645,-12.723068018876
1.65,-12.8749406881322
1.655,-13.0270613331365
1.66,-13.1801394169458
1.665,-13.3348981114519
1.67,-13.4920721933575
1.675,-13.6524068161273
1.68,-13.8166571616372
1.685,-13.9855889662498
1.69,-14.1599799130659
