"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.26916919928061
2,3.29150594958485
4,3.31400935773701
6,3.3370021897909
8,3.36070946636939
10,3.38523854477743
12,3.41056295596388
14,3.43651108964199
16,3.46276047202893
18,3.48883794546176
20,3.51412558996278
22,3.53787178237301
24,3.5592064229855
26,3.57715911220637
28,3.59067894944771
30,3.59865465004786
32,3.59993381179706
34,3.59334037693653
36,3.57768959028836
38,3.55180001394635
40,3.5145023953866
42,3.46464538001632
44,3.40109820154424
46,3.3227505724858
48,3.2285100365929
50,3.11729704228376
52,2.9880379597572
54,2.83965620267699
56,2.67106153515529
58,2.48113755154984
60,2.26872721365472
62,2.03261621856471
64,1.77151385032039
66,1.48403083725521
68,1.16865359144727
70,0.82371404321894
72,0.447354100175858
74,0.0374835601834074
76,-0.408269892318912
78,-0.892620130387627
80,-1.41869298730705
82,-1.99010872189009
84,-2.61107628001803
86,-3.28649557310635
88,-4.02205575282273
90,-4.82429880372788
92,-5.70057604396565
94,-6.65873192035999
96,-7.70614139180292
98,-8.84726807502564
100,-10.0779465339638
102,-11.3728789984832
104,-12.6614521978536
106,-13.7939698533065
108,-14.5372748973898
110,-14.6847577379704
112,-14.238728341227
114,-13.4084656072915
116,-12.4271823360078
118,-11.4440693246385
120,-10.5296972520664
122,-9.70978573427261
124,-8.98919364790852
126,-8.36429288501557
128,-7.82862463290839
130,-7.37531863601369
132,-6.9980529298717
134,-6.69137756137228
136,-6.450771992202
138,-6.27260035049678
140,-6.15403676486862
142,-6.09299202536327
144,-6.0880547342345
146,-6.13845246883926
148,-6.24403571975618
150,-6.405287028819
152,-6.62335881121851
154,-6.90014550555655
156,-7.23839911037603
158,-7.6419024062651
160,-8.11572236828353
162,-8.66657955054467
164,-9.30339149721456
166,-10.0380870342748
168,-10.8868586395894
170,-11.8721531419196
172,-13.0259639413718
174,-14.3955286541731
176,-16.0536645523555
178,-18.1180828066082
180,-20.7842281786201
