"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.51163297315443
2,3.4649805047849
4,3.41814352811115
6,3.37160185691223
8,3.32579546775966
10,3.28110447939875
12,3.23782839336129
14,3.19616574833891
16,3.15619546779708
18,3.11786119567307
20,3.08095979892535
22,3.04513496632621
24,3.00987646960646
26,2.97452521524692
28,2.93828375612662
30,2.90023150935417
32,2.85934359078122
34,2.81451196303127
36,2.76456751654594
38,2.70830175511446
40,2.64448691444119
42,2.57189357002871
44,2.48930505165105
46,2.39552824208875
48,2.28940057136899
50,2.16979320767769
52,2.0356105846481
54,1.88578649156692
56,1.71927699297794
58,1.53505044480875
60,1.33207484393209
62,1.10930269484588
64,0.865653507358797
66,0.599993957613635
68,0.311115655013948
70,-0.00228963709370108
72,-0.341657573958391
74,-0.708581927562002
76,-1.10484879897014
78,-1.53247472084442
80,-1.99374886658089
82,-2.49127912566272
84,-3.02804076045916
86,-3.60742416671671
88,-4.23327382392427
90,-4.90990168737063
92,-5.64204076119373
94,-6.43466987290921
96,-7.2925718921581
98,-8.21935264000398
100,-9.21539111324201
102,-10.2737457826916
104,-11.3724539380803
106,-12.4616714433328
108,-13.4477417686327
110,-14.1895342819408
112,-14.539586460001
114,-14.4338643709521
116,-13.9433861674129
118,-13.2182311342854
120,-12.3987891787052
122,-11.57738659637
124,-10.8031762858536
126,-10.0981081542482
128,-9.46952906510993
130,-8.91766438484822
132,-8.43957830951165
134,-8.03115052040648
136,-7.6880185781364
138,-7.40599949084128
140,-7.18125464048285
142,-7.01033145957209
144,-6.89014868359891
146,-6.81795842168288
148,-6.79130135975507
150,-6.80796287574656
152,-6.86593355218842
154,-6.96337541606339
156,-7.09859413540655
158,-7.2700167799581
160,-7.47617428173342
162,-7.71568720249045
164,-7.98725267129104
166,-8.28962925184831
168,-8.62161488027566
170,-8.98201069611073
172,-9.36956035470394
174,-9.78285001700148
176,-10.2201484758004
178,-10.6791598904718
180,-11.1566543252867
