"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.66601644645856
2,3.64965494894563
4,3.6318263520032
6,3.61285221502318
8,3.59302672733626
10,3.57260153445986
12,3.55177006114187
14,3.53065215172982
16,3.50927990442878
18,3.48758556096369
20,3.46539221881647
22,3.4424079615033
24,3.41822376662638
26,3.39231527535259
28,3.36404822120611
30,3.33268705323186
32,3.29740607768416
34,3.25730230398495
36,3.21140912395717
38,3.15870997550614
40,3.09815122998346
42,3.02865367647873
44,2.94912213335228
46,2.85845287536817
48,2.7555387054236
50,2.63927161007357
52,2.50854301063353
54,2.36224165474367
56,2.19924918917434
58,2.01843341822976
60,1.8186391892521
62,1.59867676281819
64,1.35730742383838
66,1.09322597164465
68,0.805039589358582
70,0.491242428067132
72,0.150185037316626
74,-0.219962487849521
76,-0.621255116251161
78,-1.05602717649387
80,-1.52695888114638
82,-2.03715843351388
84,-2.5902641305776
86,-3.19057220006463
88,-3.84319761910382
90,-4.55427648631469
92,-5.33121849493014
94,-6.18301339580993
96,-7.12057706647344
98,-8.15706641021137
100,-9.3079300070273
102,-10.5900025729545
104,-12.0176592374762
106,-13.5905027438135
108,-15.2585886088912
110,-16.8417259440071
112,-17.933877963027
114,-18.0724732781242
116,-17.2759747956781
118,-16.0184621743563
120,-14.6943456465496
122,-13.4745590432742
124,-12.4056862553214
126,-11.4876732935486
128,-10.7067481188928
130,-10.0469930169853
132,-9.49392772020264
134,-9.03532885155708
136,-8.66115702926922
138,-8.36324348434566
140,-8.13495510328084
142,-7.97090372962942
144,-7.86671249766783
146,-7.81883493792335
148,-7.8244184388896
150,-7.88120389007312
152,-7.98745487153355
154,-8.14191150518082
156,-8.34376570425175
158,-8.5926559841688
160,-8.88868125680746
162,-9.23243416895172
164,-9.62505560125078
166,-10.0683129114911
168,-10.5647052788505
170,-11.1175997327907
172,-11.7314001899485
174,-12.4117467003768
176,-13.1657272266127
178,-14.0020449599952
180,-14.9309833747312
