"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.30576377877971
2,3.29057219883471
4,3.27340708857414
6,3.25418608136646
8,3.23284746057594
10,3.20935186635254
12,3.18368383186109
14,3.15585310778307
16,3.1258957113051
18,3.09387461384051
20,3.05987996190602
22,3.02402870962865
24,2.98646353124791
26,2.94735087981438
28,2.90687806618869
30,2.86524925233461
32,2.82268028620719
34,2.7793923528578
36,2.73560447711717
38,2.69152498525362
40,2.64734211249281
42,2.60321402464738
44,2.55925859830018
46,2.51554336710396
48,2.47207608391413
50,2.42879636288248
52,2.38556884777946
54,2.34217830133929
56,2.29832692773228
58,2.25363413246559
60,2.20763880026342
62,2.15980404282073
64,2.10952424616585
66,2.05613414193082
68,1.99891954586598
70,1.93712935492929
72,1.8699883722176
74,1.79671053471379
76,1.7165121477103
78,1.62862477578335
80,1.53230749678436
82,1.42685828626155
84,1.31162435971318
86,1.18601135503181
88,1.04949128470087
90,0.901609225308425
92,0.741988740431718
94,0.570336052525912
96,0.386442991447936
98,0.190188753523383
100,-0.0184594921482495
102,-0.239447111710325
104,-0.472633587242666
106,-0.717795121434302
108,-0.9746282045767
110,-1.24275406184576
112,-1.52172387036493
114,-1.81102459933289
116,-2.1100852841912
118,-2.41828350040622
120,-2.73495175829205
122,-3.05938350286155
124,-3.39083837809342
126,-3.72854640942261
128,-4.0717107771539
130,-4.41950890080029
132,-4.77109163176762
134,-5.12558045834023
136,-5.48206275867284
138,-5.83958528782849
140,-6.19714624487601
142,-6.55368642500041
144,-6.90808010766843
146,-7.25912645264706
148,-7.60554225830355
150,-7.94595696838374
152,-8.27891078231873
154,-8.60285661994159
156,-8.91616650830129
158,-9.21714269725958
160,-9.50403348382376
162,-9.77505335878975
164,-10.0284067244116
166,-10.2623141219578
168,-10.4750397110673
170,-10.6649187082101
172,-10.8303836445464
174,-10.9699886310427
176,-11.0824312626599
178,-11.1665722555705
180,-11.2214532726041
