"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.5495958776145
2,3.53072246932703
4,3.51008355037479
6,3.48763360547596
8,3.46334530839492
10,3.43721116137632
12,3.40924486861573
14,3.3794823866976
16,3.34798257829339
18,3.31482737989416
20,3.28012138165867
22,3.24399070957953
24,3.20658109927871
26,3.16805505902332
28,3.12858803895138
30,3.08836355540815
32,3.04756726419351
34,3.00638003361129
36,2.96497013511874
38,2.92348474201147
40,2.88204099922398
42,2.84071699300866
44,2.79954300044228
46,2.75849342826303
48,2.71747985281139
50,2.67634554471449
52,2.63486180359128
54,2.59272634323257
56,2.54956386349072
58,2.50492883097511
60,2.45831037716423
62,2.40913911986246
64,2.35679563038061
66,2.30062020989196
68,2.23992360628135
70,2.17399829643179
72,2.1021299746476
74,2.0236089204737
76,1.93774096253102
78,1.84385780336905
80,1.74132651886013
82,1.62955809074366
84,1.50801487040588
86,1.37621690500078
88,1.23374708381528
90,1.08025508437854
92,0.915460115728481
94,0.739152472232036
96,0.551193927195637
98,0.351517012861361
100,0.140123253683573
102,-0.0829195559026277
104,-0.317480909036714
106,-0.563371825399729
108,-0.820349579742203
110,-1.08812268725347
112,-1.36635587133877
114,-1.65467469971123
116,-1.95266954076082
118,-2.25989846819948
120,-2.57588873265307
122,-2.90013642892263
124,-3.23210402161166
126,-3.5712154537872
128,-3.91684865674215
130,-4.26832540646255
132,-4.62489863603094
134,-4.98573751399886
136,-5.34991083653294
138,-5.71636955335618
140,-6.08392954740428
142,-6.45125610165071
144,-6.81685178837877
146,-7.17904976529393
148,-7.53601459948026
150,-7.8857526863037
152,-8.2261339974358
154,-8.55492619922078
156,-8.86984108579859
158,-9.16859180171435
160,-9.44895762707422
162,-9.70885143016422
164,-9.94638362274035
166,-10.1599159700375
168,-10.3480992050687
170,-10.509890153313
172,-10.6445467782313
174,-10.7516027279437
176,-10.8308259634889
178,-10.882168268288
180,-10.9057134571533
