"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.87939654453047
2,3.86124089310392
4,3.84052912169979
6,3.81761506367086
8,3.79282870415217
10,3.7664603775079
12,3.73874467736835
14,3.7098448877656
16,3.67983877586446
18,3.64870655027649
20,3.61632167980365
22,3.58244509119171
24,3.54672303648744
26,3.50868866440499
28,3.46776707375624
30,3.42328339839149
32,3.37447329535097
34,3.32049509580273
36,3.26044283649008
38,3.19335941268069
40,3.11824916910291
42,3.0340893555417
44,2.93983999985243
46,2.8344518759706
48,2.71687235451437
50,2.58604900980957
52,2.44093091515527
54,2.28046758720783
56,2.10360554243173
58,1.90928240690895
60,1.69641847876331
62,1.46390558240754
64,1.21059297628346
66,0.935269978740517
68,0.636644855077281
70,0.313319353745554
72,-0.0362419219910566
74,-0.413748387872818
76,-0.821128037588639
78,-1.26058161215188
80,-1.73464896533161
82,-2.24629110888308
84,-2.79899263685586
86,-3.39689085050078
88,-4.04494000158838
90,-4.74912158529775
92,-5.51671406419934
94,-6.35663604531479
96,-7.27987036523998
98,-8.29994686373338
100,-9.43336220844172
102,-10.6995071464726
104,-12.1187346432028
106,-13.7043754160084
108,-15.4364440607216
110,-17.1876478924883
112,-18.5833634756927
114,-19.027151664144
116,-18.3277012852657
118,-16.9885191949003
120,-15.5291118231503
122,-14.1789531152136
124,-12.9972201959937
126,-11.9824112287996
128,-11.1168380307146
130,-10.3810924249914
132,-9.75806818067145
134,-9.23365949233976
136,-8.79649571148593
138,-8.43746955983214
140,-8.14928793391963
142,-7.92610177760653
144,-7.76321735817759
146,-7.65687674807884
148,-7.6040936481572
150,-7.60253276131834
152,-7.65042369051763
154,-7.74650286408377
156,-7.88997908323873
158,-8.0805199720713
160,-8.31825797769209
162,-8.60381570309582
164,-8.93835131286783
166,-9.3236255300196
168,-9.76209222159963
170,-10.2570143753412
172,-10.812605438764
174,-11.4341902056611
176,-12.1283641572141
178,-12.9030921179967
180,-13.7675940462528
