"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.39802954331066
2,3.37171115824476
4,3.34338197782127
6,3.31301379972084
8,3.28059921585385
10,3.24615310583147
12,3.20971401644141
14,3.17134538427707
16,3.13113653603766
18,3.0892033770711
20,3.04568865455291
22,3.00076165885681
24,2.95461720732344
26,2.90747374150257
28,2.8595703652867
30,2.81116266075041
32,2.76251714452864
34,2.71390427324641
36,2.66558997369354
38,2.61782576199738
40,2.57083762314815
42,2.52481394176077
44,2.47989289736035
46,2.43614985018507
48,2.39358533209092
50,2.35211430721423
52,2.3115573666049
54,2.27163446295711
56,2.23196167558671
58,2.19205132953672
60,2.15131559114151
62,2.10907344602884
64,2.06456075723195
66,2.01694292240177
68,1.96532951700944
70,1.90879023487974
72,1.84637142045237
74,1.77711252352783
76,1.70006188601231
78,1.61429137722949
80,1.51890951491712
82,1.41307282967949
84,1.29599534086978
86,1.16695610459952
88,1.02530486634056
90,0.870465901032886
92,0.701940154778117
94,0.519305817746794
96,0.322217462408427
98,0.110403879438372
100,-0.11633525968701
102,-0.358133785192513
104,-0.615064323246202
106,-0.887144354990387
108,-1.17434286983653
110,-1.47658740844707
112,-1.7937712468357
114,-2.12576042061311
116,-2.47240022996405
118,-2.83352080447331
120,-3.20894124574588
122,-3.59847180815716
124,-4.00191352687005
126,-4.41905465964677
128,-4.84966327650235
130,-5.2934753102615
132,-5.75017737390416
134,-6.21938366242335
136,-6.70060629879938
138,-7.19321857641801
140,-7.69641072920905
142,-8.20913818094149
144,-8.73006276477333
146,-9.25748826416853
148,-9.78929291926255
150,-10.3228633634443
152,-10.8550368207141
154,-11.3820611467381
156,-11.8995849678502
158,-12.4026918567506
160,-12.8859918091239
162,-13.3437786453921
164,-13.7702521679067
166,-14.1597892485422
168,-14.5072313427641
170,-14.8081428022615
172,-15.0589915379702
174,-15.25721567713
176,-15.4011659149198
178,-15.4899458042038
180,-15.5232000434214
