"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.67190896895034
2,3.64999989194258
4,3.62604006982554
6,3.59996328914346
8,3.57172235735819
10,3.54129088192103
12,3.5086649086233
14,3.47386438802686
16,3.43693441645592
18,3.39794617499294
20,3.35699746750887
22,3.31421273862792
24,3.26974243666023
26,3.22376157721613
28,3.17646736292865
30,3.12807572596866
32,3.07881668510626
34,3.02892844960386
36,2.97865025882175
38,2.92821401816453
40,2.87783487606387
42,2.82770097808236
44,2.77796272579301
46,2.72872195095777
48,2.68002147989568
50,2.63183559929309
52,2.58406193532367
54,2.53651521830353
56,2.48892332509264
58,2.44092587591099
60,2.39207552070603
62,2.34184189581781
64,2.28961807935212
66,2.23472923793665
68,2.17644305049528
70,2.11398142439797
72,2.04653298903472
74,1.97326585991973
76,1.89334020722824
78,1.80592022784987
80,1.71018520001331
82,1.60533938485972
84,1.49062062182434
86,1.36530753808477
88,1.2287253526481
90,1.08025030107978
92,0.919312737561526
94,0.745398988571199
96,0.558052039753246
98,0.356871137891004
100,0.141510386945334
102,-0.088323585556286
104,-0.332874814733748
106,-0.592341953357557
108,-0.866882897294746
110,-1.15661995992151
112,-1.46164544245909
114,-1.78202740829232
116,-2.11781542501582
118,-2.46904599065258
120,-2.83574731274692
122,-3.2179430629714
124,-3.61565468661655
126,-4.02890180534696
128,-4.45770021025474
130,-4.90205689535367
132,-5.36196152141421
134,-5.83737361614005
136,-6.32820469690913
138,-6.83429433359295
140,-7.35537893934199
142,-7.89105177907509
144,-8.44071232130139
146,-9.00350265174253
148,-9.57822827779141
150,-10.1632604088314
152,-10.7564169387935
154,-11.3548203004961
156,-11.9547327754141
158,-12.5513747041585
160,-13.1387395795858
162,-13.7094333408578
164,-14.2545834019387
166,-14.7638832760923
168,-15.2258530656726
170,-15.6283898748079
172,-15.9596373817024
174,-16.2091113302918
176,-16.3688963419985
178,-16.4346352182059
180,-16.4060348882433
