"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.37024917610992
2,3.3573690881286
4,3.34344998020265
6,3.32882103771445
8,3.31377388245051
10,3.29854843439808
12,3.28331892526261
14,3.26818076868563
16,3.25313898766259
18,3.23809883825732
20,3.22285915235877
22,3.20710875986481
24,3.19042615734426
26,3.17228238501578
28,3.15204687709514
30,3.1289958806759
32,3.1023229093586
34,3.07115061777674
36,3.03454345336677
38,2.99152045768084
40,2.94106764232822
42,2.88214944283822
44,2.81371884534725
46,2.73472587498257
48,2.64412422214889
50,2.54087585721958
52,2.42395354163596
54,2.29234118272197
56,2.14503200102083
58,1.98102448417873
60,1.79931609229079
62,1.59889465791124
64,1.37872739055677
66,1.13774735023341
68,0.874837195544515
70,0.588809935927277
72,0.278386319549335
74,-0.0578316380436176
76,-0.421391641834694
78,-0.814027485382515
80,-1.23770191955843
82,-1.69465745243872
84,-2.18747686375267
86,-2.71915557401766
88,-3.29318826239241
90,-3.91367201944803
92,-4.58542724984917
94,-5.314134128097
96,-6.10647350499239
98,-6.97023948163965
100,-7.91433937845812
102,-8.94847522718614
104,-10.0820138046656
106,-11.3208810548131
108,-12.6598236828085
110,-14.0646076571012
112,-15.4367989162528
114,-16.5690123141963
116,-17.1674274131706
118,-17.0531225118181
120,-16.3533258690637
122,-15.3620320813952
124,-14.3111592084238
126,-13.3185464994012
128,-12.4288061310206
130,-11.6521972185892
132,-10.9852890966694
134,-10.4201271744174
136,-9.94796534085543
138,-9.56065981456327
140,-9.25109780084288
142,-9.01324506483726
144,-8.84205723077638
146,-8.73335590776803
148,-8.68370998503735
150,-8.6903369265268
152,-8.75102849632889
154,-8.86410148772637
156,-9.02837301947178
158,-9.24316021574632
160,-9.50830494193205
162,-9.82422549637753
164,-10.1919987457067
166,-10.613478257796
168,-11.0914567526177
170,-11.6298849484983
172,-12.2341638966305
174,-12.9115340630631
176,-13.671590102076
178,-14.5269486148494
180,-15.4940632171121
