Freq_GHz,S11_dB,Gain_dB,patchX,patchY,subH,feedX,feedLength,SimulationIndex,SimulationID
6,-0.315566962547091,2.37305834618426,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.05,-0.319593593075176,2.52158325495565,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.1,-0.32438464273453,2.65829290387824,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.15,-0.329867553024153,2.78463875971823,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.2,-0.335974242931539,2.90200224902236,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.25,-0.342641245781734,3.01167696117849,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.3,-0.349809814558688,3.11485763715453,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.35,-0.357425998738438,3.21263443979736,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.4,-0.365440695721085,3.30599138611822,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.45,-0.373809679951225,3.39580849550812,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.5,-0.382493612783283,3.48286582773179,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.55,-0.391458036087223,3.56784948865067,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.6,-0.400673352509498,3.6513584129837,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.65,-0.410114795210665,3.73391152128995,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.7,-0.419762389801649,3.81595531230496,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.75,-0.429600911101067,3.89787085826149,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.8,-0.439619837241261,3.97998068148859,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.85,-0.449813303565983,4.0625553649316,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.9,-0.460180058691891,4.14581921470857,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
6.95,-0.470723425052983,4.22995562183436,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7,-0.481451266215964,4.31511185088763,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.05,-0.492375963247514,4.40140310671224,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.1,-0.503514402436455,4.48891579959233,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.15,-0.51488797672627,4.57771040960432,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.2,-0.526522603301687,4.66782302554167,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.25,-0.538448759898983,4.75926667384456,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.3,-0.550701542579073,4.85203087985342,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.35,-0.563320747918304,4.94608033652042,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.4,-0.576350982840672,5.04135202516481,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.45,-0.589841805642066,5.13775083764876,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.5,-0.603847902149321,5.23514311339086,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
7.55,-0.618429301422528,5.33334894659798,0.993094882104628,0.970966205326123,0.198092451042703,0.150259214242375,0.689187833001665,91,sim_091
