"Freq [GHz]","dB(St11) []"
6,-0.240307955199127
6.05,-0.245261145709518
6.1,-0.250448499980904
6.15,-0.255864755029488
6.2,-0.261505378924579
6.25,-0.267366597411368
6.3,-0.273445422664142
6.35,-0.279739684409012
6.4,-0.286248063679721
6.45,-0.292970129497781
6.5,-0.299906378799198
6.55,-0.307058279965077
6.6,-0.314428320352839
6.65,-0.322020058269339
6.7,-0.329838179877457
6.75,-0.337888561584807
6.8,-0.346178338527573
6.85,-0.354715979835829
6.9,-0.363511371449658
6.95,-0.372575907350002
7,-0.381922590175644
7.05,-0.391566142320541
7.1,-0.401523128745517
7.15,-0.411812092898554
7.2,-0.422453707320983
7.25,-0.433470940726842
7.3,-0.444889243583644
7.35,-0.456736754499717
7.4,-0.469044530042006
7.45,-0.481846800975641
7.5,-0.495181258340476
7.55,-0.509089373269981
7.6,-0.523616755024936
7.65,-0.538813552371869
7.7,-0.554734904199105
7.75,-0.571441446150038
7.8,-0.588999881085138
7.85,-0.607483622386634
7.9,-0.626973520522553
7.95,-0.647558684925314
8,-0.669337415155858
8.05,-0.692418257566802
8.1,-0.716921206304864
8.15,-0.742979070572427
8.2,-0.770739033680258
8.25,-0.80036443366176
8.3,-0.8320368001923
8.35,-0.865958188391892
8.4,-0.902353856929018
8.45,-0.94147534585368
8.5,-0.983604018950619
8.55,-1.02905514632201
8.6,-1.07818261559477
8.65,-1.13138437481858
8.7,-1.18910872697698
8.75,-1.25186161523222
8.8,-1.32021505963082
8.85,-1.39481692990793
8.9,-1.47640226486201
8.95,-1.56580637568172
9,-1.66397999701429
9.05,-1.7720067727347
9.1,-1.89112337876855
9.15,-2.02274258558057
9.2,-2.16847953628826
9.25,-2.33018144399502
9.3,-2.50996076374642
9.35,-2.71023162173807
9.4,-2.93374880685843
9.45,-3.18364781274018
9.5,-3.46348303110605
9.55,-3.77725883308609
9.6,-4.12944420480991
9.65,-4.52495449416348
9.7,-4.96907121763279
9.75,-5.46724823422746
9.8,-6.02471171050851
9.85,-6.64568811049277
9.9,-7.33196804498587
9.95,-8.0803157608447
10,-8.87800122300391
10.05,-9.69574641645973
10.1,-10.4786344885676
10.15,-11.1400958697718
10.2,-11.572249611478
10.25,-11.6856081671179
10.3,-11.4607743361553
10.35,-10.9613224284302
10.4,-10.2926230667728
10.45,-9.55218831230273
10.5,-8.80748798293257
10.55,-8.09707140025467
10.6,-7.43940402996849
10.65,-6.84100114348676
10.7,-6.3019071311539
10.75,-5.81894919039573
10.8,-5.38755219300832
10.85,-5.00271127325919
10.9,-4.65949229822247
10.95,-4.35327317441559
11,-4.07984488103399
11.05,-3.83543792460842
11.1,-3.61671042868349
11.15,-3.42071779362275
11.2,-3.24487483892278
11.25,-3.08691630799905
11.3,-2.94485879379194
11.35,-2.8169655594384
11.4,-2.70171484418563
11.45,-2.59777176016293
11.5,-2.50396363028805
11.55,-2.41925849374108
11.6,-2.34274645640584
11.65,-2.27362355632097
11.7,-2.21117782906385
11.75,-2.15477728374365
11.8,-2.10385953032614
11.85,-2.05792282963628
11.9,-2.01651836657887
11.95,-1.97924357389335
12,-1.94573635772282
12.05,-1.9156700973797
12.1,-1.8887493100638
12.15,-1.8647058871625
12.2,-1.84329582239964
12.25,-1.82429636377145
12.3,-1.80750353116935
12.35,-1.79272995007797
12.4,-1.7798029589627
12.45,-1.7685629541091
12.5,-1.75886194090741
12.55,-1.75056226502903
12.6,-1.74353550073363
12.65,-1.73766147677956
12.7,-1.73282742316949
12.75,-1.72892722432073
12.8,-1.7258607662677
12.85,-1.72353336723194
12.9,-1.72185528237827
12.95,-1.72074127484942
13,-1.72011024626718
13.05,-1.71988492083099
13.1,-1.71999157795713
13.15,-1.72035982910073
13.2,-1.72092243500472
13.25,-1.72161516013539
13.3,-1.72237666150645
13.35,-1.72314840946785
13.4,-1.72387463835175
13.45,-1.72450232512952
13.5,-1.72498119444642
13.55,-1.72526374856664
13.6,-1.72530532088496
13.65,-1.72506415174226
13.7,-1.72450148532395
13.75,-1.72358168642194
13.8,-1.72227237580417
13.85,-1.72054458285975
13.9,-1.71837291407422
13.95,-1.71573573573707
14,-1.7126153690937
14.05,-1.70899829592749
14.1,-1.70487537229485
14.15,-1.70024204784069
14.2,-1.69509858779479
14.25,-1.68945029439709
14.3,-1.68330772412614
14.35,-1.67668689671717
14.4,-1.66960949156387
14.45,-1.66210302671101
14.5,-1.65420101527663
14.55,-1.64594309380735
14.6,-1.63737511678587
14.65,-1.62854921129412
14.7,-1.61952378570971
14.75,-1.61036348629925
14.8,-1.60113909569156
14.85,-1.59192736748938
14.9,-1.58281079173017
14.95,-1.57387728655366
15,-1.56521981229
15.05,-1.55693590525621
15.1,-1.54912712984245
15.15,-1.54189844897519
15.2,-1.53535751474599
15.25,-1.52961388286213
15.3,-1.52477815656996
15.35,-1.52096106776989
15.4,-1.51827250512101
15.45,-1.51682050094853
15.5,-1.51671019064012
15.55,-1.51804275986064
15.6,-1.52091439624726
15.65,-1.52541526318724
15.7,-1.53162851376144
15.75,-1.53962936290319
15.8,-1.54948423524165
15.85,-1.56125000496018
15.9,-1.57497334231957
15.95,-1.59069017931649
16,-1.60842530433509
16.05,-1.62819209269852
16.1,-1.6499923768438
16.15,-1.67381645655072
16.2,-1.69964324638071
16.25,-1.72744055434893
16.3,-1.75716548297894
16.35,-1.78876494137434
16.4,-1.82217625486629
16.45,-1.85732785721433
16.5,-1.8941400492826
16.55,-1.93252580758602
16.6,-1.9723916260841
16.65,-2.01363837505097
16.7,-2.05616216171283
16.75,-2.09985517854887
16.8,-2.14460652662174
16.85,-2.19030300296068
16.9,-2.23682984278816
16.95,-2.28407140918643
17,-2.33191182458246
17.05,-2.38023554013391
17.1,-2.42892784068262
17.15,-2.47787528437494
17.2,-2.52696607730835
17.25,-2.57609038464086
17.3,-2.62514058049034
17.35,-2.67401143965984
17.4,-2.72260027476171
17.45,-2.77080702269195
17.5,-2.81853428464291
17.55,-2.86568732395609
17.6,-2.91217402612439
17.65,-2.95790482517597
17.7,-3.00279260052326
17.75,-3.04675254816161
17.8,-3.08970202986277
17.85,-3.13156040374478
17.9,-3.17224883932156
17.95,-3.21169011985235
18,-3.24980843453037
