"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-3.58786597482231
2,-4.14763536203148
4,-4.85292621576648
6,-5.71081203316361
8,-6.71179394759396
10,-7.79957197971034
12,-8.80985296449715
14,-9.41171305735001
16,-9.23815173638262
18,-8.26222651265167
20,-6.83026443966162
22,-5.28758809185334
24,-3.81314341597078
26,-2.46949915383964
28,-1.26730783460798
30,-0.198455536566601
32,0.750449104961758
34,1.59313760560683
36,2.34208634264567
38,3.00816469858286
40,3.6007162574419
42,4.12776589549727
44,4.5962402546108
46,5.01216421184047
48,5.38082448807799
50,5.70690177424664
52,5.99457584619051
54,6.24760853552267
56,6.46940889956565
58,6.66308418512108
60,6.8314794645863
62,6.9772082181682
64,7.10267565318534
66,7.21009617717584
68,7.30150615606237
70,7.37877287286234
72,7.44360043996089
74,7.49753329537621
76,7.54195782001769
78,7.57810254016277
80,7.60703732055293
82,7.62967190338967
84,7.64675410307658
86,7.65886792283387
88,7.66643181526079
90,7.66969726331556
92,7.6687478105097
94,7.66349861945853
96,7.65369658682443
98,7.63892099095415
100,7.61858459706785
102,7.59193509453899
104,7.55805669217385
106,7.51587165057313
108,7.46414148516049
110,7.40146752808978
112,7.32629048995471
114,7.23688861002318
116,7.13137392251863
118,7.00768609091548
120,6.86358316542872
122,6.69662849211882
124,6.50417283427083
126,6.28333054415426
128,6.03094832910709
130,5.74356477065892
132,5.41735825943051
134,5.04808038931854
136,4.6309711262873
138,4.16065131971498
140,3.63098764117793
142,3.03492558042732
144,2.3642896454053
146,1.60956127080041
148,0.759676363313207
150,-0.198033000983202
152,-1.27741418573806
154,-2.49169477000332
156,-3.8480017690866
158,-5.3325126169257
160,-6.8744486617358
162,-8.27880718825578
164,-9.18630307138459
166,-9.27161094423305
168,-8.60865184225723
170,-7.57746830546691
172,-6.49322258048882
174,-5.50582118583154
176,-4.6645762688942
178,-3.97631375871919
180,-3.43313051054592
