"Freq [GHz]","dB(St(Stripline_T1,Stripline_T1)) []"
8,-13.7606762522703
8.065,-13.6892153794999
8.13,-13.619303040808
8.195,-13.5513152168894
8.26,-13.4856942174376
8.325,-13.4229614572788
8.39,-13.3637324938452
8.455,-13.3087343985267
8.52,-13.2588252172931
8.585,-13.215014652169
8.65,-13.1784839467255
8.715,-13.1506009443181
8.78,-13.1329229063852
8.845,-13.1271742755304
8.91,-13.1351784916266
8.975,-13.1587121079998
9.04,-13.1992376093568
9.105,-13.2574650042766
9.17,-13.332706953675
9.235,-13.4220555948754
9.3,-13.5195535398063
9.365,-13.6157558596454
9.43,-13.698273369091
9.495,-13.7537796000741
9.56,-13.7712907606249
9.625,-13.7454969460452
9.69,-13.6784324670209
9.755,-13.5785854254861
9.82,-13.4581153412585
9.885,-13.3297565703728
9.95,-13.2046466538899
10.015,-13.0914086066098
10.08,-12.9961697386117
10.145,-12.9230393037665
10.21,-12.8746877061775
10.275,-12.8528423393308
10.34,-12.8586369136254
10.405,-12.8928117017426
10.47,-12.9557820731752
10.535,-13.0475926064295
10.6,-13.1677669933299
10.665,-13.3150569822761
10.73,-13.4870912251203
10.795,-13.679931655781
10.86,-13.8875671863753
10.925,-14.1014197006207
10.99,-14.3100100781576
11.055,-14.4990214074623
11.12,-14.6520561691616
11.185,-14.7523201039787
11.25,-14.7851763680852
11.315,-14.7410182755937
11.38,-14.6174774553635
11.445,-14.4200307427038
11.51,-14.1607309650856
11.575,-13.8556473450999
11.64,-13.5220438817183
11.705,-13.1761434008385
11.77,-12.8318222661603
11.835,-12.500150517352
11.9,-12.189500113092
11.965,-11.9059424195825
12.03,-11.6537364655592
12.095,-11.4357959414973
12.16,-11.2540857100191
12.225,-11.1099352862643
12.29,-11.0042744263014
12.355,-10.9378022578381
12.42,-10.9111017203963
12.485,-10.9247086074165
12.55,-10.97914077254
12.615,-11.0748886477644
12.68,-11.2123631311734
12.745,-11.3917908391603
12.81,-11.6130392775797
12.875,-11.8753454496181
12.94,-12.1769114008126
13.005,-12.5143221135344
13.07,-12.8817431971404
13.135,-13.2698865632117
13.2,-13.6648264497135
13.265,-14.0469535247787
13.33,-14.3906929315169
13.395,-14.6659633396602
13.46,-14.8423009456776
13.525,-14.8955060330164
13.59,-14.8146159544884
13.655,-14.60559258078
13.72,-14.289431262065
13.785,-13.8958796760391
13.85,-13.45628737878
13.915,-12.9984749974424
13.98,-12.5444141196836
14.045,-12.1100252217264
14.11,-11.706057239004
14.175,-11.3392871925333
14.24,-11.0136463018049
14.305,-10.7311316437161
14.37,-10.4924897237602
14.435,-10.2977064660058
14.5,-10.1463476692691
14.565,-10.0377885080207
14.63,-9.9713612377403
14.695,-9.94644115720224
14.76,-9.96248324098156
14.825,-10.0190156248434
14.89,-10.1155908743063
14.955,-10.2516912408218
15.02,-10.426579604666
15.085,-10.6390835251438
15.15,-10.8872963914373
15.215,-11.168178923513
15.28,-11.4770502548059
15.345,-11.8069781213706
15.41,-12.1481241586632
15.475,-12.4871862761955
15.54,-12.8072074206071
15.605,-13.0881493613305
15.67,-13.3086434363652
15.735,-13.4490446432466
15.8,-13.4952469715291
15.865,-13.4419599908854
15.93,-13.2939758859748
15.995,-13.0647951583805
16.06,-12.7733148420386
16.125,-12.4400644661193
16.19,-12.084249268154
16.255,-11.722091484441
16.32,-11.3663135958025
16.385,-11.0263463141176
16.45,-10.708870461118
16.515,-10.4184340401527
16.58,-10.158011254044
16.645,-9.92945340978664
16.71,-9.73382596294295
16.775,-9.57164496825049
16.84,-9.44303165984427
16.905,-9.347803206775
16.97,-9.28551482919925
17.035,-9.25546524467167
17.1,-9.25667455316339
17.165,-9.28784136794713
17.23,-9.34728428846176
17.295,-9.43287172340399
17.36,-9.54194372958009
17.425,-9.67123017834433
17.49,-9.8167715407195
17.555,-9.97385223743444
17.62,-10.1369619470461
17.685,-10.2998069978933
17.75,-10.455400313788
17.815,-10.5962610033571
17.88,-10.714748667479
17.945,-10.803537845403
18.01,-10.8562030660613
18.075,-10.8678408375101
18.14,-10.8356175310933
18.205,-10.759122412623
18.27,-10.6404366294447
18.335,-10.4838958010127
18.4,-10.2955998615863
18.465,-10.0827773823994
18.53,-9.85312480888107
18.595,-9.61421775286467
18.66,-9.37305018943902
18.725,-9.13571758578776
18.79,-8.90723280549036
18.855,-8.69145081810349
18.92,-8.49107591346161
18.985,-8.3077281049428
19.05,-8.14204980724682
19.115,-7.9938377206994
19.18,-7.86218767681325
19.245,-7.74564229969869
19.31,-7.64233318282647
19.375,-7.55011117594092
19.44,-7.46666038169633
19.505,-7.38959345431557
19.57,-7.31652758609187
19.635,-7.24514200504533
19.7,-7.17321881072708
19.765,-7.09866955056211
19.83,-7.01955015249076
19.895,-6.93406677722407
19.96,-6.84057493498775
20.025,-6.73757391387449
20.09,-6.62369825625919
20.155,-6.49770774215157
20.22,-6.35847712331008
20.285,-6.20498671776913
20.35,-6.03631493393691
20.415,-5.85163385882372
20.48,-5.65020923205408
20.545,-5.43140645879399
20.61,-5.19470482245725
20.675,-4.93972278351725
20.74,-4.66625824150858
20.805,-4.37434893493206
20.87,-4.06435976395029
20.935,-3.7371056482403
21,-3.39402025129027
