"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.57830453230335
2,-2.86411219976881
4,-3.29025294882178
6,-3.87030839038719
8,-4.61938056574241
10,-5.54978278002802
12,-6.65722765494883
14,-7.88172832634892
16,-9.01832164684529
18,-9.62457158001094
20,-9.24730231174219
22,-7.97876015500444
24,-6.32251412129517
26,-4.65099890005406
28,-3.1129160542193
30,-1.74299121772817
32,-0.53528504254372
34,0.527322294658208
36,1.46310103811244
38,2.28850702177278
40,3.01760572678057
42,3.66224194278588
44,4.23239261429837
46,4.73651921294578
48,5.18186802175769
50,5.57471146969833
52,5.92053735885236
54,6.2241956724508
56,6.49001196264648
58,6.72187472437059
60,6.92330256422166
62,7.09749563203466
64,7.24737473242444
66,7.37561073755061
68,7.48464632883351
70,7.57671165636693
72,7.65383518099856
74,7.71785072481459
76,7.77040157761328
78,7.81294237205423
80,7.84673933497503
82,7.87286943660459
84,7.89221888535639
86,7.90548134790278
88,7.91315620836743
90,7.91554711423085
92,7.91276098863877
94,7.90470761893807
96,7.89109985987429
98,7.87145441786176
100,7.8450931111326
102,7.8111444302831
104,7.76854515521549
106,7.71604171743109
108,7.65219092978581
110,7.57535963665241
112,7.48372276194214
114,7.37525914484602
116,7.24774444553247
118,7.09874026473774
120,6.92557843804262
122,6.72533921877147
124,6.49482172767129
126,6.23050458914423
128,5.92849404821749
130,5.58445601218563
132,5.19352731684238
134,4.75020001018886
136,4.24817054837518
138,3.68014364516438
140,3.03757874974991
142,2.31036783966109
144,1.48644255628206
146,0.55134426938775
148,-0.512097099288517
150,-1.72349349333854
152,-3.10256056389282
154,-4.66031374945679
156,-6.37142994548779
158,-8.10020706503075
160,-9.47226352586171
162,-9.92907953629324
164,-9.32244551019321
166,-8.13572227661505
168,-6.85642256245592
170,-5.70452887616275
172,-4.74031839643986
174,-3.96537587798225
176,-3.36491645056692
178,-2.92203940758908
180,-2.62190324946516
