"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-4.27271145805727
2,-4.9464201224371
4,-5.75505300825001
6,-6.68414687249985
8,-7.67523067099634
10,-8.57778985952109
12,-9.11217001918175
14,-8.97672599943214
16,-8.12818898165631
18,-6.83143827875218
20,-5.38802247304702
22,-3.97605167413124
24,-2.66886882796578
26,-1.48646845182444
28,-0.426888179892019
30,0.519467048706016
32,1.36399000334474
34,2.11768443101068
36,2.7904630102122
38,3.39102570319545
40,3.92694851149919
42,4.40483366446606
44,4.8304634462917
46,5.20893738731101
48,5.5447877241927
50,5.84207385749487
52,6.10445846250792
54,6.33526825982024
56,6.53754221302603
58,6.71406950707368
60,6.86741923852676
62,6.99996337818812
64,7.11389426185318
66,7.21123762333203
68,7.29386199618822
70,7.36348516662068
72,7.42167825003461
74,7.46986787988512
76,7.50933693246826
78,7.54122415983752
80,7.56652306036398
82,7.58608027898246
84,7.60059379404052
86,7.61061111280168
88,7.61652766164102
90,7.61858551902865
92,7.61687259930028
94,7.61132235320909
96,7.60171400794479
98,7.58767332552824
100,7.56867381516201
102,7.54403829308704
104,7.51294064340047
106,7.47440759541539
108,7.42732029731813
110,7.37041543137928
112,7.30228558145719
114,7.22137852697485
116,7.12599509619217
118,7.01428516186821
120,6.88424129983743
122,6.73368955010527
124,6.56027661411693
126,6.36145268290321
128,6.13444890968076
130,5.87624830739232
132,5.58354855808414
134,5.25271486449223
136,4.87972056987326
138,4.46007287901388
140,3.98872079418012
142,3.45994273641617
144,2.86721320669574
146,2.20305347679718
148,1.45888589481125
150,0.624947273712823
152,-0.309596416985125
154,-1.35598261025815
156,-2.52377720035835
158,-3.81535544378422
160,-5.21238598687094
162,-6.64614914124919
164,-7.94796740297837
166,-8.82615327083571
168,-9.00920638072695
170,-8.51591308397427
172,-7.63441408225254
174,-6.64822247944986
176,-5.71528439766255
178,-4.89891062483284
180,-4.21597575217224
