"Freq [GHz]","dB(St(Stripline_T1,Stripline_T1)) []"
8,-8.75037166268138
8.065,-8.78634704368437
8.13,-8.82206693600891
8.195,-8.85768548164046
8.26,-8.8933932494913
8.325,-8.92942096992642
8.39,-8.96604250618594
8.455,-9.00357640034167
8.52,-9.04238505840552
8.585,-9.08287029881524
8.65,-9.12546359067668
8.715,-9.17060888938645
8.78,-9.21873562011721
8.845,-9.27021921775774
8.91,-9.32532695565643
8.975,-9.38414794352348
9.04,-9.44650858172253
9.105,-9.51187881384035
9.17,-9.57928030421762
9.235,-9.64721454703265
9.3,-9.71363508480033
9.365,-9.77599033215281
9.43,-9.83135810345605
9.495,-9.87667708602677
9.56,-9.90905528184641
9.625,-9.92610778590024
9.69,-9.92625775192152
9.755,-9.90893578258384
9.82,-9.8746370582555
9.885,-9.82483371621864
9.95,-9.76177650260381
10.015,-9.68824064843559
10.08,-9.60727154292604
10.145,-9.52197102343565
10.21,-9.4353444811747
10.275,-9.35021076829163
10.34,-9.26916519527695
10.405,-9.19458094130815
10.47,-9.12863407207253
10.535,-9.07333976606499
10.6,-9.03059050180711
10.665,-9.00218980953619
10.73,-8.98987730214163
10.795,-8.99534200159443
10.86,-9.02022157058474
10.925,-9.06608509432403
10.99,-9.13439667317396
11.055,-9.226456396176
11.12,-9.3433143732588
11.185,-9.48565255180705
11.25,-9.65362829587015
11.315,-9.84667369503739
11.38,-10.0632463173802
11.445,-10.3005324351417
11.51,-10.5541154783553
11.575,-10.8176443250811
11.64,-11.0825711628797
11.705,-11.338075563314
11.77,-11.5713363835838
11.835,-11.7683219368034
11.9,-11.9151895400591
11.965,-12.0001808968287
12.03,-12.0156120014795
12.095,-11.9593466860837
12.16,-11.8352103237352
12.225,-11.6521856560673
12.29,-11.4227188252423
12.355,-11.1607425603808
12.42,-10.8799698069467
12.485,-10.5927479618409
12.55,-10.3094953892042
12.615,-10.038585902582
12.68,-9.78650772130117
12.745,-9.5581519193119
12.81,-9.35713435789923
12.875,-9.18609861079213
12.94,-9.04697737808976
13.005,-8.94120731142049
13.07,-8.86990073947553
13.135,-8.83398100298848
13.2,-8.83428846218514
13.265,-8.87166321944936
13.33,-8.94700898509876
13.395,-9.06134062830072
13.46,-9.21581583565864
13.525,-9.41174878473711
13.59,-9.65060048776618
13.655,-9.93393592085925
13.72,-10.263331394915
13.785,-10.6402056546961
13.85,-11.065533369104
13.915,-11.5393784933793
13.98,-12.0601575496882
14.045,-12.6235155845254
14.11,-13.2206947224589
14.175,-13.836362347162
14.24,-14.4461791159517
14.305,-15.0151104956431
14.37,-15.4985948240486
14.435,-15.8492667290207
14.5,-16.0298478454969
14.565,-16.0271470729911
14.63,-15.8579021289414
14.695,-15.5618356681635
14.76,-15.1873763794076
14.825,-14.77922673234
14.89,-14.3722459355803
14.955,-13.9906766357422
15.02,-13.6499968962977
15.085,-13.3593887739886
15.15,-13.123906631359
15.215,-12.9461082357047
15.28,-12.8271966662342
15.345,-12.7677960789663
15.41,-12.7684783357235
15.475,-12.8301308221376
15.54,-12.9542304525284
15.605,-13.1430705917708
15.67,-13.399976644345
15.735,-13.7295414751047
15.8,-14.1379131791001
15.865,-14.6331755814592
15.93,-15.2258782244273
15.995,-15.9298013747901
16.06,-16.7630886552009
16.125,-17.7499501970624
16.19,-18.923216811571
16.255,-20.3279685110228
16.32,-22.0254521286023
16.385,-24.0900574942722
16.45,-26.5554561603257
16.515,-29.0930960121431
16.58,-30.1793485050929
16.645,-28.6787250424773
16.71,-26.2785272518534
16.775,-24.1194128632736
16.84,-22.3629745184849
16.905,-20.9505946079575
16.97,-19.8096656571401
17.035,-18.8835925993341
17.1,-18.1311823332913
17.165,-17.522533613571
17.23,-17.035663272828
17.295,-16.6541565909061
17.36,-16.3655614682743
17.425,-16.1602545826693
17.49,-16.0305824214287
17.555,-15.9701365355196
17.62,-15.9730554439099
17.685,-16.0332636848915
17.75,-16.1435734214515
17.815,-16.2946036714106
17.88,-16.4735461219532
17.945,-16.6629665967804
18.01,-16.8401096833282
18.075,-16.9775140007246
18.14,-17.0458645444633
18.205,-17.0193806193915
18.27,-16.8823995704773
18.335,-16.6341198732433
18.4,-16.2886932137633
18.465,-15.8705584035298
18.53,-15.407722408431
18.595,-14.9261042371643
18.66,-14.4464210869104
18.725,-13.9833951808638
18.79,-13.5463540713661
18.855,-13.1403790736702
18.92,-12.7674928627408
18.985,-12.4276638883706
19.05,-12.1195724267984
19.115,-11.8411583609785
19.18,-11.5899948185134
19.245,-11.363532663871
19.31,-11.1592534788854
19.375,-10.9747597906581
19.44,-10.8078234437207
19.505,-10.6564068191658
19.57,-10.5186670058927
19.635,-10.3929497344982
19.7,-10.2777775777817
19.765,-10.1718353347025
19.83,-10.0739544382827
19.895,-9.9830975079643
19.96,-9.89834369230797
20.025,-9.81887514034154
20.09,-9.74396474483551
20.155,-9.67296518076075
20.22,-9.60529919156174
20.285,-9.54045103731475
20.35,-9.47795900069505
20.415,-9.41740884120573
20.48,-9.35842809022415
20.545,-9.30068108578156
20.61,-9.24386465449091
20.675,-9.18770435734702
20.74,-9.13195122544366
20.805,-9.07637892052074
20.87,-9.02078126343116
20.935,-8.96497008099612
21,-8.90877332828131
