"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-3.32688706644117
2,-3.79646816446078
4,-4.36059218582344
6,-5.00303848153961
8,-5.6842222786753
10,-6.3246244859962
12,-6.79261936570629
14,-6.92681724065507
16,-6.61871113003707
18,-5.89548068428067
20,-4.89649323049992
22,-3.77647088818467
24,-2.64518966511814
26,-1.5630325994954
28,-0.557161454668281
30,0.363555935754409
32,1.19928057372316
34,1.95423084875899
36,2.63419174722674
38,3.24532272648757
40,3.79361746934676
42,4.28468335849542
44,4.72367411044825
46,5.11529283390172
48,5.46382471539911
50,5.77317949152904
52,6.04693434969328
54,6.28837313294066
56,6.50052031165474
58,6.68616943318983
60,6.84790633223609
62,6.9881276180089
64,7.10905502278749
66,7.21274618870357
68,7.30110243093854
70,7.37587396766394
72,7.43866306020902
74,7.49092546488186
76,7.53397056123351
78,7.56896048941321
80,7.59690860003152
82,7.61867749188742
84,7.63497688442125
86,7.64636154153598
88,7.65322943060303
90,7.65582026460985
92,7.6542145365446
94,7.64833311368868
96,7.63793741627071
98,7.62263016091515
100,7.60185660556659
102,7.57490619010354
104,7.5409144264945
106,7.4988648546016
108,7.44759084470646
110,7.38577699515802
112,7.31195984238498
114,7.22452756958508
116,7.12171836803563
118,7.00161706927414
120,6.86214962551535
122,6.70107496822734
124,6.51597372072076
126,6.30423318268846
128,6.06302795137569
130,5.7892955152144
132,5.47970619290163
134,5.13062697800752
136,4.73807935287009
138,4.2976922848604
140,3.80465406496109
142,3.25367169362258
144,2.63895678102597
146,1.95427772748465
148,1.19316013338415
150,0.349402916134011
152,-0.581750602451904
154,-1.60111397677
156,-2.70047294721615
158,-3.85291206221198
160,-4.99684021822811
162,-6.01801563534174
164,-6.7532158439252
166,-7.05531329738624
168,-6.89878725272095
170,-6.40252020420767
172,-5.73712358219388
174,-5.03774622561565
176,-4.38372143483997
178,-3.81328569964642
180,-3.34132041406058
