"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.95226759026498
2,-3.367817497717
4,-3.9314162191713
6,-4.65799125214644
8,-5.56026682412861
10,-6.6368330318639
12,-7.83831828792751
14,-8.98810650652742
16,-9.68443193826639
18,-9.45635751430874
20,-8.30196924281328
22,-6.6892945723799
24,-5.01800984263786
26,-3.46251989258614
28,-2.06972103391073
30,-0.838377275998425
32,0.247000806859563
34,1.20421496207961
36,2.0496702125799
38,2.79751640684137
40,3.45971247920144
42,4.04634203561495
44,4.56595473471224
46,5.02586550387523
48,5.43239828126604
50,5.79107860408104
52,6.10678378942696
54,6.38385940129993
56,6.62620935358164
58,6.83736549029887
60,7.02054116603552
62,7.17867229606526
64,7.31444853768873
66,7.43033665669174
68,7.5285976806917
70,7.61129910624813
72,7.68032317877776
74,7.73737208028366
76,7.78397072194694
78,7.82146773321932
80,7.85103515587403
82,7.87366728265185
84,7.89017901974435
86,7.90120409603206
88,7.90719338671621
90,7.90841356285931
92,7.90494622046064
94,7.89668758290413
96,7.88334880938512
98,7.86445688008149
100,7.83935596734424
102,7.80720914189324
104,7.76700020440734
106,7.71753537590813
108,7.65744452408326
110,7.58518154534272
112,7.49902346097462
114,7.39706771595464
116,7.27722708487173
118,7.13722148324219
120,6.97456584394105
122,6.78655303419662
124,6.57023054108302
126,6.32236931994081
128,6.03942275139941
130,5.71747305234126
132,5.35216169273504
134,4.93859934620096
136,4.47124964211811
138,3.94377959571467
140,3.34886848893493
142,2.67796742365039
144,1.92100727212978
146,1.06607276154783
148,0.0991205129721208
150,-0.996010857515142
152,-2.23657454031909
154,-3.6368244411977
156,-5.19523396631819
158,-6.85910416953192
160,-8.44465672267428
162,-9.54916794715696
164,-9.73046046618539
166,-9.02212349729502
168,-7.88813292223651
170,-6.71093436045604
172,-5.65784907332016
174,-4.77589645711196
176,-4.06645186477445
178,-3.51726174957796
180,-3.11386352818722
