"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.46694847100605
2,-2.73890390776497
4,-3.14917516108251
6,-3.71028615531662
8,-4.43586603987372
10,-5.3362806949507
12,-6.40529575375913
14,-7.58374864401403
16,-8.67947677742564
18,-9.28589903188657
20,-8.97451469290054
22,-7.79454401972183
24,-6.20253138944955
26,-4.56690143032142
28,-3.04693977242339
30,-1.6856450496912
32,-0.48167610403804
34,0.579707112893222
36,1.51554180993098
38,2.34163110751388
40,3.07168690794586
42,3.71735940833653
44,4.28851832738554
46,4.7935675210102
48,5.23972471307269
50,5.63325128101799
52,5.97963478404128
54,6.28373175253414
56,6.54987857273356
58,6.78197723152027
60,6.9835613697166
62,7.15784690547098
64,7.30777052600845
66,7.4360185999765
68,7.54504849825019
70,7.63710388923178
72,7.71422526101274
74,7.77825668942469
76,7.83084969619672
78,7.87346490832511
80,7.90737212540992
82,7.93364931623427
84,7.95318099178752
86,7.96665633376929
88,7.97456739151806
90,7.97720759385645
92,7.97467075429086
94,7.96685067806853
96,7.95344140821979
98,7.93393807578149
100,7.90763824794394
102,7.87364359776988
104,7.83086165083312
106,7.77800729732656
108,7.71360369163526
110,7.63598209260279
112,7.54328012286557
114,7.43343783915023
116,7.3041908997965
118,7.1530599810251
120,6.97733541660193
122,6.77405579964614
124,6.53997896854923
126,6.27154337352478
128,5.9648172520992
130,5.6154322925778
132,5.2184975007646
134,4.76848780597842
136,4.2591006535882
138,3.68307283930365
140,3.03195035103471
142,2.29580929773463
144,1.4629449436569
146,0.519602063380243
148,-0.550022491320922
150,-1.76283772375197
152,-3.1331062656995
154,-4.66078508770721
156,-6.29933985521948
158,-7.88220311941568
160,-9.0335446989727
162,-9.30672279676166
164,-8.67830898429515
166,-7.58251969240084
168,-6.41524446470696
170,-5.3606305106227
172,-4.47465044199473
174,-3.76261317954264
176,-3.21400738385117
178,-2.81527756213351
180,-2.55400655599492
