"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-3.72338279241831
2,-4.30249023573592
4,-5.00402826143187
6,-5.81680025077985
8,-6.69885046286285
10,-7.54546912897679
12,-8.15613513225047
14,-8.27154619623237
16,-7.75270956873151
18,-6.72129741109611
20,-5.43365289834881
22,-4.09493491996146
24,-2.81358447855604
26,-1.63275509553766
28,-0.563197714637745
30,0.398116384175817
32,1.25925918299552
34,2.02957964230795
36,2.71819019833193
38,3.3334317784401
40,3.88275008233233
42,4.37273499471499
44,4.80921589289105
46,5.19736765459012
48,5.54180948101813
50,5.84669056649731
52,6.11576169452551
54,6.35243382299102
56,6.55982535352316
58,6.74079983988861
60,6.89799573026692
62,7.0338495146885
64,7.15061342813093
66,7.25036866657914
68,7.33503491401852
70,7.40637685117793
72,7.46600821719539
74,7.51539391777237
76,7.55585061250296
78,7.58854616513775
80,7.6144982994557
82,7.63457276675452
84,7.64948129600455
86,7.65977956239685
88,7.66586537297188
90,7.66797722848498
92,7.66619337847366
94,7.66043144195571
96,7.65044862000816
98,7.6358424796035
100,7.6160522415497
102,7.59036046016119
104,7.55789493911448
106,7.51763068717533
108,7.46839167899556
110,7.40885214925359
112,7.33753711169902
114,7.25282175611147
116,7.15292933303605
118,7.03592708490467
120,6.89971971851778
122,6.74203983280652
124,6.56043461159354
126,6.35224795761243
128,6.1145970756691
130,5.84434230632963
132,5.53804877074396
134,5.19193813315515
136,4.80182858034878
138,4.36306110327403
140,3.87041068138321
142,3.31798276732459
144,2.69910022384727
146,2.00619732539948
148,1.23076408549778
150,0.363445429745478
152,-0.605459594360486
154,-1.68453095864983
156,-2.87750071899699
158,-4.17446268012643
160,-5.53281042192875
162,-6.84284960010599
164,-7.89354984757146
166,-8.41835885954431
168,-8.29150471067123
170,-7.66064784246912
172,-6.79531057979907
174,-5.89981656995368
176,-5.07855358877273
178,-4.37214698549746
180,-3.79062101880058
