"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.26298834468162
2,-2.56770918844072
4,-2.96039034225335
6,-3.43413356450682
8,-3.97162229865817
10,-4.53728313201528
12,-5.06730588912781
14,-5.46401448917519
16,-5.61057538512705
18,-5.4188122607312
20,-4.88345412133779
22,-4.08511655859982
24,-3.13836394146756
26,-2.14146923169873
28,-1.15903297572349
30,-0.226604967240168
32,0.639323327158126
34,1.43320316881348
36,2.15527807373733
38,2.80864184168036
40,3.39764598596788
42,3.92706789022121
44,4.40169223531793
46,4.82611245186885
48,5.20464734352154
50,5.5413165583764
52,5.8398448117411
54,6.10367887937626
56,6.33600898426254
58,6.53979030220888
60,6.7177625238102
62,6.87246659754202
64,7.00625840855347
66,7.1213194742334
68,7.21966489992656
70,7.30314891248519
72,7.37346831726888
74,7.43216422815843
76,7.4806224118178
78,7.5200725725409
80,7.55158688500075
82,7.57607805980251
84,7.5942972008554
86,7.60683168389899
88,7.61410325180365
90,7.616366484534
92,7.61370776028244
94,7.60604477996483
96,7.59312668103146
98,7.5745347195935
100,7.54968345347445
102,7.51782231418052
104,7.47803741396402
106,7.42925339585722
108,7.37023510016554
110,7.29958879047071
112,7.21576265549905
114,7.11704627998642
116,7.00156875793057
118,6.8672951062345
120,6.7120206284008
122,6.53336288278992
124,6.32875094044969
126,6.09541169739433
128,5.83035317942875
130,5.53034512460013
132,5.19189779575784
134,4.81124123158971
136,4.3843094817299
138,3.90673870243327
140,3.37389601290967
142,2.78097090054268
144,2.12318860341969
146,1.39625597069324
148,0.597243018006713
150,-0.273735988233792
152,-1.21043118155577
154,-2.19508493689051
156,-3.19009082247665
158,-4.12810059743179
160,-4.90858292318052
162,-5.41790044322284
164,-5.58146596207647
166,-5.41268936120451
168,-5.0042862810715
170,-4.47256624593662
172,-3.91232965479427
174,-3.38461799866085
176,-2.92313746520546
178,-2.54414611971674
180,-2.25401283860467
