"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.95611699895403
2,-3.37549082224413
4,-3.91872925774524
6,-4.58889976625013
8,-5.37851380491257
10,-6.25410851636378
12,-7.12678596609793
14,-7.81498701439855
16,-8.05738346772038
18,-7.66875872470928
20,-6.7203570035841
22,-5.46316813154196
24,-4.12347117699178
26,-2.82823224588865
28,-1.6304353128014
30,-0.544994685909351
32,0.429680915130166
34,1.30138388416826
36,2.07963250683184
38,2.77385726329397
40,3.392744336113
42,3.9440660666701
44,4.43470589594605
46,4.87075168251809
48,5.25760422364798
50,5.6000797799647
52,5.90249932427352
54,6.16876313993967
56,6.40241173522745
58,6.60667481335295
60,6.78451014575894
62,6.93863404511197
64,7.07154490526363
66,7.18554104442478
68,7.28273388402935
70,7.3650573268423
72,7.43427406229904
74,7.49197941986914
76,7.53960330649124
78,7.57841069607277
80,7.60950108255559
82,7.63380725877183
84,7.6520937377439
86,7.66495508854374
88,7.67281441345287
90,7.6759221458511
92,7.67435529859395
94,7.66801724078532
96,7.65663802743139
98,7.63977525237215
100,7.61681534112231
102,7.58697514770378
104,7.54930366881768
106,7.50268363991608
108,7.44583273041146
110,7.37730400818526
112,7.29548529467443
114,7.19859697815932
116,7.084687790486
118,6.95162797630134
120,6.79709918778223
122,6.61858031446228
124,6.41332829875805
126,6.17835278446165
128,5.91038319051393
130,5.60582649433251
132,5.2607136623792
134,4.87063233401973
136,4.43064319180729
138,3.93517778579643
140,3.37791723401194
142,2.75165606618401
144,2.04816782757357
146,1.25811896713945
148,0.371148733649029
150,-0.62359814333095
152,-1.73579845360094
154,-2.96951748062635
156,-4.31239279173507
158,-5.71161327484439
160,-7.0309485383993
162,-8.01566739597902
164,-8.37889545554863
166,-8.05267945422256
168,-7.26619091768272
170,-6.31241825778332
172,-5.37842752700288
174,-4.54796682737096
176,-3.84855714037253
178,-3.2833739281065
180,-2.8465716057055
