"Freq [GHz]","dB(St(Stripline_T1,Stripline_T1)) []"
8,-11.7123600237549
8.065,-11.7427738460566
8.13,-11.741176243058
8.195,-11.7107395214583
8.26,-11.6547530940538
8.325,-11.5765756106691
8.39,-11.4796011706705
8.455,-11.3672349379898
8.52,-11.2428744419797
8.585,-11.1098933955614
8.65,-10.9716252257561
8.715,-10.8313438494019
8.78,-10.6922396487561
8.845,-10.5573891798302
8.91,-10.4297179142777
8.975,-10.3119562607843
9.04,-10.2065901658235
9.105,-10.1158086294132
9.17,-10.041451315471
9.235,-9.98495989969465
9.3,-9.94733672578006
9.365,-9.92911366729668
9.43,-9.930332882493
9.495,-9.95053960847159
9.56,-9.98878558623277
9.625,-10.043640503711
9.69,-10.1132083281603
9.755,-10.1951458211432
9.82,-10.2866820119672
9.885,-10.3846399271616
9.95,-10.4854652437371
10.015,-10.5852703327189
10.08,-10.6799056339016
10.145,-10.7650722598995
10.21,-10.83648854344
10.275,-10.8901171782758
10.34,-10.9224476033687
10.405,-10.9308111722793
10.47,-10.913688217565
10.535,-10.8709529822026
10.6,-10.804001815587
10.665,-10.7157260618033
10.73,-10.6103211441503
10.795,-10.4929582390956
10.86,-10.3693727957778
10.925,-10.2454363585035
10.99,-10.1267729464547
11.055,-10.0184633198363
11.12,-9.92485746041826
11.185,-9.84949440804675
11.25,-9.79511331823288
11.315,-9.76373138259009
11.38,-9.7567621772122
11.445,-9.77515020769524
11.51,-9.81950190141408
11.575,-9.89019839017893
11.64,-9.98747998382707
11.705,-10.1114956399975
11.77,-10.2623128082065
11.835,-10.4398839097986
11.9,-10.6439657797212
11.965,-10.8739882049345
12.03,-11.1288680496861
12.095,-11.4067675312141
12.16,-11.7048007292766
12.225,-12.0187037922303
12.29,-12.3425043831509
12.355,-12.6682566569955
12.42,-12.9859472370692
12.485,-13.2837130368561
12.55,-13.5485153940689
12.615,-13.7673463300011
12.68,-13.9288742301556
12.745,-14.0252012354331
12.81,-14.0532269723746
12.875,-14.0151491190787
12.94,-13.9179253122661
13.005,-13.7719198845512
13.07,-13.5892198978642
13.135,-13.3821029634428
13.2,-13.1619450235676
13.265,-12.938628579084
13.33,-12.7203612473087
13.395,-12.5137615539434
13.46,-12.324081011572
13.525,-12.1554693029476
13.59,-12.0112275790925
13.655,-11.8940235039005
13.72,-11.8060597111455
13.785,-11.7491972154263
13.85,-11.7250399082565
13.915,-11.73498778561
13.98,-11.780266384763
14.045,-11.8619388012766
14.11,-11.9809049354902
14.175,-12.1378903633893
14.24,-12.3334243910958
14.305,-12.5678033141841
14.37,-12.8410304860069
14.435,-13.1527192828189
14.5,-13.5019382372656
14.565,-13.8869695479318
14.63,-14.3049437955024
14.695,-14.7513082569017
14.76,-15.2190920987865
14.825,-15.697966984808
14.89,-16.1731981018607
14.955,-16.6247782147597
15.02,-17.0273437918675
15.085,-17.3517587557499
15.15,-17.5691324782291
15.215,-17.6570120284281
15.28,-17.6056745263273
15.345,-17.4213150514699
15.41,-17.1241972492623
15.475,-16.7428853493963
15.54,-16.3076774199562
15.605,-15.8458131990207
15.67,-15.3792073185619
15.735,-14.9241339395298
15.8,-14.4919472050307
15.865,-14.0901409301728
15.93,-13.7233734941153
15.995,-13.3943148475739
16.06,-13.1042935983047
16.125,-12.8537704796389
16.19,-12.6426759468187
16.255,-12.4706460302719
16.32,-12.3371825946459
16.385,-12.2417561503025
16.45,-12.183862662745
16.515,-12.1630404966804
16.58,-12.1788494154838
16.645,-12.2308101054408
16.71,-12.3182998121658
16.775,-12.4403974129531
16.84,-12.5956700438449
16.905,-12.7818943271361
16.97,-12.9957103641918
17.035,-13.2322193864563
17.1,-13.4845610405497
17.165,-13.743548323479
17.23,-13.9974968350343
17.295,-14.2324451418064
17.36,-14.4329826157008
17.425,-14.5838118345616
17.49,-14.6719210668142
17.555,-14.6888784947785
17.62,-14.6324960310775
17.685,-14.507209813745
17.75,-14.323028528353
17.815,-14.0935034471156
17.88,-13.8334765272061
17.945,-13.5572410099977
18.01,-13.2773986668407
18.075,-13.004381529272
18.14,-12.7464473241504
18.205,-12.509938171085
18.27,-12.2996413843248
18.335,-12.1191537206311
18.4,-11.9712001925029
18.465,-11.8578902738234
18.53,-11.7809113813239
18.595,-11.7416670672175
18.66,-11.7413695530764
18.725,-11.7810957277232
18.79,-11.8618139815677
18.855,-11.9843869389575
18.92,-12.1495525165321
18.985,-12.3578827927122
19.05,-12.6097168533533
19.115,-12.9050600444702
19.18,-13.2434380447824
19.245,-13.6236903923835
19.31,-14.0436858880061
19.375,-14.4999444671783
19.44,-14.9871619335525
19.505,-15.4976637997654
19.57,-16.0208728747906
19.635,-16.5429679342801
19.7,-17.0470211353552
19.765,-17.5139629467979
19.83,-17.9246074843182
19.895,-18.262560704039
19.96,-18.5172093531953
20.025,-18.6855665351507
20.09,-18.7720302274577
20.155,-18.7860832890384
20.22,-18.7389375525238
20.285,-18.6404104674154
20.35,-18.4969069336207
20.415,-18.3107526519787
20.48,-18.0806900258265
20.545,-17.8031691233519
20.61,-17.4740272917336
20.675,-17.0901550480185
20.74,-16.6507859365759
20.805,-16.1581613395246
20.87,-15.6175109465297
20.935,-15.0364919740834
21,-14.4243562911556
