"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.62380460075068
2,-2.88205423627016
4,-3.27436646765002
6,-3.81015308883526
8,-4.49752492194096
10,-5.33695719578914
12,-6.30508537241615
14,-7.31781643442353
16,-8.16860672397645
18,-8.51147221465437
20,-8.07188053872821
22,-6.95079222448711
24,-5.49946632245469
26,-3.99983208113576
28,-2.58667608129131
30,-1.30461457325737
32,-0.159046307620981
34,0.858806820598043
36,1.7616475382099
38,2.56228141462029
40,3.27236056137522
42,3.9021064459122
44,4.46038281422518
46,4.95487349650383
48,5.39227254633896
50,5.77845479831081
52,6.11861866221893
54,6.41740180879116
56,6.6789732480194
58,6.90710580626573
60,7.10523267134249
62,7.27649110305798
64,7.42375583431854
66,7.54966419371283
68,7.65663458074954
70,7.7468796121575
72,7.82241501720518
74,7.88506517640463
76,7.93646605734505
78,7.97806619203905
80,8.01112625249932
82,8.03671770766488
84,8.05572097933727
86,8.06882345304083
88,8.07651763860081
90,8.07909971284445
92,8.07666861231664
94,8.0691257772703
96,8.05617558009434
98,8.03732640283796
100,8.01189226076837
102,7.97899480300902
104,7.93756545788488
106,7.88634742963864
108,7.82389719380945
110,7.74858507889291
112,7.65859445886983
114,7.55191901044665
116,7.42635740459377
118,7.27950469678315
120,7.10873954497503
122,6.91120620764895
124,6.68379004280344
126,6.42308492834688
128,6.12535064121479
130,5.78645776095329
132,5.40181712103612
134,4.96629029715508
136,4.47407732650037
138,3.91857838646724
140,3.29222897262377
142,2.58631670239279
144,1.7908107164943
146,0.894292579159918
148,-0.115777569152557
150,-1.25186421846916
152,-2.52273738069323
154,-3.92381603155204
156,-5.41365338223136
158,-6.8657949393464
160,-8.01203239259497
162,-8.50509872193255
164,-8.22045199476562
166,-7.40782599535769
168,-6.41193069533006
170,-5.4478970002996
172,-4.6064215799339
174,-3.91426001858237
176,-3.37243490989039
178,-2.97342142424163
180,-2.70797512747109
