"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.12790275892355
2,-2.32995726409419
4,-2.63373176061271
6,-3.03813826661203
8,-3.53633813772664
10,-4.10976331017387
12,-4.71803129246756
14,-5.28539184853172
16,-5.69272880382668
18,-5.79906149665512
20,-5.50964089527686
22,-4.8427856039427
24,-3.91460571081068
26,-2.86186921172175
28,-1.78761971446177
30,-0.752253868285466
32,0.214852458147295
34,1.10251295970995
36,1.90906889314008
38,2.63745447198508
40,3.29259494016369
42,3.88009504397447
44,4.40560502662715
46,4.87453327109299
48,5.29193285805281
50,5.66247303722625
52,5.99045004807389
54,6.27981414743407
56,6.53420128294228
58,6.75696383928601
60,6.95119797345646
62,7.11976663409861
64,7.26531815032827
66,7.39030065472291
68,7.49697277253522
70,7.58741106944994
72,7.66351475840021
74,7.72700815033123
76,7.7794413081995
78,7.82218933405205
80,7.85645068779164
82,7.88324490322382
84,7.90341003136648
86,7.91760010177769
88,7.92628284904833
90,7.92973790329049
92,7.92805559064976
94,7.9211364333336
96,7.90869137957913
98,7.89024273387554
100,7.86512569821119
102,7.83249037763124
104,7.79130404917712
106,7.74035344308451
108,7.67824673914055
110,7.60341493895908
112,7.51411223573343
114,7.40841496556145
116,7.28421868755642
118,7.13923290320921
120,6.97097289022164
122,6.77674809745649
124,6.55364653829642
126,6.29851465609655
128,6.00793227041505
130,5.67818254894089
132,5.30521768493507
134,4.88462247334498
136,4.41158100499518
138,3.88085766903285
140,3.28681538282998
142,2.62351701704431
144,1.88500132244259
146,1.06591352794103
148,0.16284188902751
150,-0.822975863406913
152,-1.88041838101142
154,-2.97910963493169
156,-4.05526238862329
158,-4.99864356120581
160,-5.66282821158628
162,-5.92701488724497
164,-5.78039643289119
166,-5.33195833758606
168,-4.73232628030582
170,-4.10289695443298
172,-3.51784803325347
174,-3.01520667630227
176,-2.61160136987869
178,-2.31254547803076
180,-2.11830899646347
