Theta_deg,Gain_dB,SimulationID,Wslot,Wtaper,Ltapper,Wbalun,Wstrip,Lstrip_offset
0,-2.79294631887532,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
2,-3.15194211154048,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
4,-3.63993789573656,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
6,-4.26488042904858,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
8,-5.02976962829696,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
10,-5.92218718811735,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
12,-6.89037314633535,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
14,-7.79851328126418,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
16,-8.38497774964426,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
18,-8.34217798804894,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
20,-7.58320769964455,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
22,-6.34077022530992,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
24,-4.92054978026081,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
26,-3.51571639952218,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
28,-2.20990406409381,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
30,-1.02807479843326,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
32,0.0297122260423931,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
34,0.972386951006177,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
36,1.81125889408775,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
38,2.55748532778978,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
40,3.22121974542051,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
42,3.81142643678515,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
44,4.33594275352034,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
46,4.80161896623695,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
48,5.21446863582173,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
50,5.57980510850706,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
52,5.90235721068759,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
54,6.18636407161832,SIM056,0.0288254172715157,1.78262353337862,3.7463234418146,0.342971911770845,0.152498724847128,0.320382597808595
