"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.05743991129478
2,-2.16228268225311
4,-2.39964138949021
6,-2.77780831408114
8,-3.30686886737073
10,-3.99697613735272
12,-4.85308293578549
14,-5.86045382456413
16,-6.94874321000734
18,-7.92228545990367
20,-8.41123361640255
22,-8.06647285661212
24,-6.95065433099768
26,-5.45458549967276
28,-3.903148432855
30,-2.44770208493626
32,-1.13516703942232
34,0.0308938360282546
36,1.06159941695297
38,1.97160246409315
40,2.77517934829546
42,3.48506601146615
44,4.11228548233546
46,4.66630274193343
48,5.15526066693633
50,5.58621013718053
52,5.96530785938689
54,6.297977787052
56,6.58903957705443
58,6.84280944531467
60,7.06317866617409
62,7.25367421493978
64,7.41750521581511
66,7.55759811232898
68,7.67662287036487
70,7.77701204979517
72,7.86097421829673
74,7.93050290643232
76,7.98738209508431
78,8.03318906691702
80,8.06929532831588
82,8.09686620587316
84,8.11685963325027
86,8.13002456365858
88,8.13689936569025
90,8.1378104828743
92,8.13287155860341
94,8.12198314758557
96,8.10483305317318
98,8.08089724778015
100,8.04944125224686
102,8.00952177039392
104,7.95998829751417
106,7.89948434573011
108,7.82644785338838
110,7.73911026698681
112,7.63549369791924
114,7.51340545609567
116,7.37042913959727
118,7.20391130275989
120,7.0109425202712
122,6.78833139446074
124,6.53256969602748
126,6.23978636195478
128,5.90568747796623
130,5.52547864243359
132,5.09376529093476
134,4.60442583915304
136,4.05045240634293
138,3.42375580306345
140,2.71493893923027
142,1.91306476749446
144,1.00550413214105
146,-0.0218954365227362
148,-1.18367195021901
150,-2.49093540601639
152,-3.94052032157186
154,-5.48711847321425
156,-6.98373988207042
158,-8.11257088051496
160,-8.48354994714138
162,-8.0204823441157
164,-7.0617341557621
166,-5.97860051637788
168,-4.97131663942085
170,-4.11315519057328
172,-3.42024669327643
174,-2.88825191785539
176,-2.50729106060717
178,-2.26741609020266
180,-2.16042789348072
