"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.25675498004765
2,-2.4899049965392
4,-2.82185816296467
6,-3.25141076752616
8,-3.77100525313417
10,-4.36038851687957
12,-4.97610836390277
14,-5.53805205565521
16,-5.92352340407325
18,-5.99374882763992
20,-5.66509706564076
22,-4.96918335111405
24,-4.02753527936846
26,-2.97411660292302
28,-1.9066954147887
30,-0.881493326524239
32,0.0746008128865784
34,0.951676394682399
36,1.74865428772427
38,2.46868597698823
40,3.11673586520887
42,3.69836474406814
44,4.21914304516898
46,4.68438631175312
48,5.09905234776106
50,5.46771724378103
52,5.79458784121844
54,6.08352906222067
56,6.33809532959403
58,6.56156089231873
60,6.75694675994672
62,6.92704342564941
64,7.07442929585929
66,7.201485097372
68,7.31040468674404
70,7.40320274027629
72,7.48171980749598
74,7.54762519343576
76,7.60241810823208
78,7.647427492437
80,7.68381089493851
82,7.71255274758413
84,7.73446234576267
86,7.75017180640452
88,7.76013423339836
90,7.76462227497556
92,7.76372720835119
94,7.75735863447732
96,7.74524481120383
98,7.72693359776291
100,7.70179392870947
102,7.66901768259109
104,7.6276217607751
106,7.57645014572466
108,7.51417566581862
110,7.43930115528688
112,7.35015966230438
114,7.24491332484192
116,7.12155050172736
118,6.97788071548731
120,6.81152693568868
122,6.61991471213207
124,6.40025766883864
126,6.14953891790715
128,5.86448809697475
130,5.54155407069625
132,5.17687404651209
134,4.76624128188846
136,4.30507636055853
138,3.78841245160095
140,3.21091548487034
142,2.56698054726292
144,1.85098529149789
146,1.05785740950641
148,0.18425799645034
150,-0.769055820550219
152,-1.79271266421006
154,-2.86067117458107
156,-3.91785156987988
158,-4.86748492995735
160,-5.57525208481122
162,-5.9167152275214
164,-5.85604598217462
166,-5.47471808870676
168,-4.91240020831824
170,-4.29387891634498
172,-3.70099001116139
174,-3.17821369502673
176,-2.74633740218954
178,-2.41319087188513
180,-2.18013372631807
